gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.69361e-005,0.000130299,0.000398599,0.000465569,0.000207342,3.48851e-005,2.23603e-006,0.00016527,0.00127152,0.00388972,0.00454324,0.00202335,0.000340425,2.18203e-005,0.000659281,0.00507221,0.0155165,0.0181235,0.00807135,0.001358,8.70436e-005,0.00104437,0.0080349,0.0245797,0.0287094,0.0127858,0.0021512,0.000137886,0.000659282,0.00507222,0.0155165,0.0181235,0.00807138,0.001358,8.7044e-005,0.000165271,0.00127152,0.00388973,0.00454326,0.00202336,0.000340428,2.18205e-005,1.69362e-005,0.000130299,0.000398602,0.000465573,0.000207344,3.48855e-005,2.23606e-006
1,0.0185364,5.39517e-006,5.30403e-005,0.000204282,0.000297986,0.000164071,3.37103e-005,2.60914e-006,5.26486e-005,0.000517592,0.00199348,0.00290789,0.00160108,0.000328961,2.54612e-005,0.000210021,0.00206473,0.00795221,0.0115999,0.00638688,0.00131226,0.000101568,0.000332694,0.00327074,0.0125971,0.0183754,0.0101175,0.00207876,0.000160893,0.000210021,0.00206473,0.00795222,0.0115999,0.0063869,0.00131227,0.000101568,5.26487e-005,0.000517594,0.00199349,0.00290791,0.00160109,0.000328963,2.54614e-005,5.39519e-006,5.30406e-005,0.000204283,0.000297989,0.000164072,3.37106e-005,2.60916e-006
2,0.0372875,4.04046e-006,4.02251e-005,0.000156535,0.000230308,0.000127709,2.63941e-005,2.0533e-006,3.94287e-005,0.000392535,0.00152754,0.00224745,0.00124625,0.000257566,2.00371e-005,0.000157286,0.00156587,0.00609352,0.00896534,0.00497141,0.00102746,7.99304e-005,0.000249156,0.00248049,0.00965275,0.014202,0.00787523,0.0016276,0.000126618,0.000157286,0.00156587,0.00609353,0.00896537,0.00497143,0.00102746,7.99309e-005,3.9429e-005,0.000392538,0.00152755,0.00224747,0.00124625,0.000257568,2.00374e-005,4.0405e-006,4.02254e-005,0.000156536,0.00023031,0.00012771,2.63944e-005,2.05334e-006
3,0.0562558,3.27551e-006,3.57541e-005,0.000155731,0.000262807,0.00017145,4.27788e-005,4.15007e-006,3.19639e-005,0.000348904,0.00151969,0.00256459,0.00167309,0.000417456,4.04983e-005,0.000127507,0.00139181,0.00606221,0.0102304,0.00667415,0.00166528,0.000161552,0.000201983,0.00220477,0.00960314,0.016206,0.0105725,0.00263797,0.000255916,0.000127506,0.00139181,0.0060622,0.0102304,0.00667416,0.00166528,0.000161553,3.19636e-005,0.000348902,0.00151969,0.00256459,0.0016731,0.000417458,4.04986e-005,3.27547e-006,3.57538e-005,0.00015573,0.000262807,0.000171451,4.27791e-005,4.15011e-006
4,0.0754439,2.40094e-006,2.68688e-005,0.000119025,0.000202895,0.000132928,3.31599e-005,3.2061e-006,2.34295e-005,0.000262199,0.0011615,0.00197995,0.00129717,0.00032359,3.12866e-005,9.3463e-005,0.00104594,0.00463336,0.00789822,0.00517455,0.00129083,0.000124805,0.000148055,0.00165688,0.00733972,0.0125116,0.00819702,0.00204481,0.000197704,9.34634e-005,0.00104595,0.00463338,0.00789825,0.00517456,0.00129084,0.000124805,2.34297e-005,0.000262201,0.00116151,0.00197996,0.00129718,0.00032359,3.12866e-005,2.40097e-006,2.68692e-005,0.000119026,0.000202897,0.000132928,3.316e-005,3.2061e-006
5,0.0948544,1.93041e-006,2.20001e-005,9.95608e-005,0.000173892,0.00011693,2.9947e-005,2.97163e-006,1.88378e-005,0.000214687,0.00097156,0.00169692,0.00114106,0.000292237,2.89987e-005,7.51459e-005,0.000856408,0.00387565,0.00676919,0.00455182,0.00116577,0.000115679,0.000119039,0.00135664,0.00613942,0.0107231,0.00721054,0.0018467,0.000183248,7.51458e-005,0.000856407,0.00387565,0.0067692,0.00455183,0.00116577,0.00011568,1.88378e-005,0.000214686,0.00097156,0.00169692,0.00114107,0.00029224,2.89991e-005,1.9304e-006,2.2e-005,9.95608e-005,0.000173893,0.000116931,2.99475e-005,2.9717e-006
6,0.11449,1.44708e-006,1.73261e-005,8.26278e-005,0.000152753,0.000109277,2.99761e-005,3.22596e-006,1.41212e-005,0.000169075,0.000806315,0.00149062,0.00106637,0.000292519,3.14803e-005,5.63306e-005,0.000674456,0.00321646,0.00594623,0.00425386,0.00116689,0.000125578,8.92328e-005,0.0010684,0.00509517,0.00941938,0.00673852,0.00184846,0.000198928,5.63299e-005,0.000674448,0.00321643,0.00594617,0.00425383,0.00116688,0.000125577,1.41209e-005,0.000169072,0.0008063,0.0014906,0.00106636,0.000292515,3.148e-005,1.44703e-006,1.73255e-005,8.26253e-005,0.000152748,0.000109275,2.99754e-005,3.22591e-006
7,0.134352,1.05648e-006,1.29261e-005,6.31813e-005,0.000120468,8.97069e-005,2.59142e-005,2.98422e-006,1.03096e-005,0.000126139,0.000616551,0.00117559,0.000875402,0.000252883,2.91215e-005,4.1126e-005,0.00050318,0.00245949,0.00468953,0.00349207,0.00100878,0.000116169,6.51476e-005,0.000797086,0.00389607,0.00742869,0.00553179,0.00159801,0.000184023,4.11259e-005,0.000503179,0.00245949,0.00468953,0.00349208,0.00100878,0.000116169,1.03095e-005,0.000126138,0.00061655,0.00117559,0.000875404,0.000252884,2.91217e-005,1.05647e-006,1.2926e-005,6.31811e-005,0.000120468,8.97072e-005,2.59144e-005,2.98425e-006
8,0.154445,8.54064e-007,1.06732e-005,5.3125e-005,0.000102965,7.78447e-005,2.28145e-005,2.66551e-006,8.33436e-006,0.000104154,0.000518419,0.00100478,0.000759645,0.000222635,2.60112e-005,3.32467e-005,0.000415482,0.00206803,0.00400818,0.00303031,0.000888113,0.000103762,5.26663e-005,0.000658166,0.00327597,0.00634936,0.00480031,0.00140686,0.000164369,3.32469e-005,0.000415484,0.00206804,0.00400819,0.00303031,0.000888113,0.000103761,8.33444e-006,0.000104155,0.000518423,0.00100479,0.000759648,0.000222635,2.60112e-005,8.54075e-007,1.06733e-005,5.31256e-005,0.000102966,7.78451e-005,2.28145e-005,2.6655e-006
9,0.174771,6.24655e-007,8.01213e-006,4.11558e-005,8.27103e-005,6.50389e-005,1.98508e-005,2.41764e-006,6.09563e-006,7.81856e-005,0.000401615,0.000807123,0.000634679,0.000193713,2.35925e-005,2.4316e-005,0.000311889,0.00160208,0.00321969,0.0025318,0.000772741,9.41128e-005,3.85187e-005,0.000494061,0.00253784,0.00510029,0.00401061,0.0012241,0.000149084,2.43157e-005,0.000311886,0.00160207,0.00321967,0.00253179,0.00077274,9.41127e-005,6.09548e-006,7.8184e-005,0.000401609,0.000807114,0.000634675,0.000193712,2.35924e-005,6.24632e-007,8.01188e-006,4.11548e-005,8.27089e-005,6.50383e-005,1.98507e-005,2.41764e-006
10,0.195332,4.81859e-007,6.30114e-006,3.2985e-005,6.74347e-005,5.37812e-005,1.65942e-005,2.03866e-006,4.7022e-006,6.14892e-005,0.000321882,0.000658056,0.00052482,0.000161933,1.98942e-005,1.87575e-005,0.000245286,0.00128402,0.00262504,0.00209355,0.000645966,7.93596e-005,2.97137e-005,0.000388557,0.002034,0.00415831,0.00331638,0.00102327,0.000125713,1.87574e-005,0.000245285,0.00128401,0.00262502,0.00209354,0.000645961,7.93591e-005,4.70216e-006,6.14885e-005,0.000321877,0.000658045,0.000524811,0.000161931,1.98939e-005,4.81853e-007,6.30102e-006,3.29843e-005,6.7433e-005,5.37799e-005,1.65938e-005,2.03862e-006
11,0.216131,3.36729e-007,4.52338e-006,2.43995e-005,5.17129e-005,4.30925e-005,1.4018e-005,1.83914e-006,3.28593e-006,4.41409e-005,0.000238101,0.000504637,0.000420517,0.000136794,1.79472e-005,1.31078e-005,0.000176082,0.000949805,0.00201305,0.00167748,0.000545688,7.15933e-005,2.07639e-005,0.00027893,0.00150458,0.00318886,0.0026573,0.000864424,0.000113411,1.31076e-005,0.00017608,0.000949797,0.00201304,0.00167748,0.000545688,7.15936e-005,3.28583e-006,4.414e-005,0.000238097,0.000504633,0.000420515,0.000136795,1.79473e-005,3.36713e-007,4.52322e-006,2.43989e-005,5.17122e-005,4.30924e-005,1.40181e-005,1.83916e-006
12,0.237172,2.45812e-007,3.35626e-006,1.83412e-005,3.93026e-005,3.30788e-005,1.08674e-005,1.44182e-006,2.39874e-006,3.27517e-005,0.000178981,0.000383531,0.000322796,0.000106048,1.40698e-005,9.56879e-006,0.00013065,0.000713969,0.00152994,0.00128766,0.000423035,5.61254e-005,1.51579e-005,0.000206961,0.00113099,0.00242356,0.00203977,0.000670125,8.89076e-005,9.56872e-006,0.000130649,0.000713962,0.00152992,0.00128764,0.000423029,5.61245e-005,2.39871e-006,3.27512e-005,0.000178977,0.000383522,0.000322788,0.000106045,1.40693e-005,2.45807e-007,3.35617e-006,1.83406e-005,3.93013e-005,3.30775e-005,1.08669e-005,1.44175e-006
