gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0206058,0.0741519,0.148205,0.242696,0,0,0,0.0206058,0.0741519,0.148205,0.242696,0,0,0,0.0206058,0.0741519,0.148205,0.242696,0,0,0,0.0206058,0.0741518,0.148205,0.242696,0,0,0,0.0206057,0.0741518,0.148205,0.242696,0,0,0,0.0206057,0.0741518,0.148205,0.242696,0,0,0,0.0206057,0.0741518,0.148205,0.242696
1,0.0185364,0,0,0,0.0336765,0.089626,0.164234,0.259372,0,0,0,0.0338009,0.0897744,0.164387,0.259532,0,0,0,0.0339254,0.0899227,0.16454,0.259691,0,0,0,0.0340499,0.090071,0.164693,0.25985,0,0,0,0.0341743,0.0902193,0.164845,0.26001,0,0,0,0.0342988,0.0903677,0.164998,0.260169,0,0,0,0.0344232,0.090516,0.165151,0.260329
2,0.0372875,0,0,0.00346039,0.0475091,0.105196,0.180583,0.276306,0,0,0.00374617,0.0477754,0.105489,0.180897,0.276627,0,0,0.00403195,0.0480417,0.105783,0.18121,0.276948,0,0,0.00431768,0.048308,0.106076,0.181524,0.277268,0,0,0.00460335,0.0485742,0.106369,0.181837,0.277589,0,0,0.00488913,0.0488405,0.106662,0.182151,0.27791,0,0,0.00517492,0.0491068,0.106955,0.182464,0.27823
3,0.0562558,0,0,0.018702,0.0619408,0.121093,0.197336,0.293502,0,0,0.0190801,0.0623578,0.121552,0.197811,0.293988,0,0,0.0194582,0.0627748,0.122011,0.198286,0.294474,0,0,0.0198363,0.0631917,0.12247,0.19876,0.29496,0,0,0.0202143,0.0636086,0.122928,0.199235,0.295446,0,0,0.0205924,0.0640255,0.123387,0.19971,0.295932,0,0,0.0209705,0.0644425,0.123846,0.200185,0.296419
4,0.0754439,0,0,0.0322434,0.0769886,0.137551,0.214342,0.310952,0,0,0.0327504,0.0775926,0.138171,0.214979,0.311606,0,0,0.0332575,0.0781966,0.138791,0.215616,0.312261,0,0,0.0337645,0.0788006,0.139411,0.216254,0.312916,0,0,0.0342715,0.0794045,0.140031,0.216895,0.31357,0,0,0.0347786,0.0800086,0.140651,0.217537,0.314225,0,0,0.0352856,0.0806126,0.141271,0.218178,0.31488
5,0.0948544,0,0.0109037,0.0464847,0.0933057,0.154301,0.23166,0.328656,0,0.0116307,0.0471622,0.0940652,0.155082,0.232467,0.329482,0,0.0123578,0.0478397,0.0948246,0.155864,0.233273,0.330308,0,0.0130849,0.0485172,0.095571,0.156646,0.23408,0.331134,0,0.0138118,0.0491947,0.0963168,0.157428,0.234887,0.33196,0,0.0145389,0.0498722,0.0970627,0.15821,0.235693,0.332786,0,0.015266,0.0505498,0.0978087,0.158992,0.2365,0.333612
6,0.11449,0,0.0257067,0.0613932,0.109546,0.171296,0.249282,0.346614,0,0.0264768,0.062241,0.110446,0.17224,0.250263,0.347614,0,0.0272469,0.0630888,0.111347,0.173184,0.251243,0.348615,0,0.028017,0.0639366,0.112247,0.174127,0.252224,0.349616,0,0.0287871,0.0647844,0.113147,0.175077,0.253205,0.350616,0,0.0295572,0.0656322,0.114048,0.17604,0.254186,0.351617,9.39073e-005,0.0303274,0.06648,0.114965,0.177002,0.255167,0.352617
7,0.134352,0.0108165,0.0398875,0.0769512,0.126378,0.188763,0.267184,0.364841,0.0118464,0.0408473,0.0780273,0.127475,0.189893,0.26834,0.366016,0.0128764,0.041807,0.0791034,0.128571,0.191022,0.269495,0.36719,0.0139063,0.0427667,0.0801795,0.129667,0.192152,0.270651,0.368364,0.0149362,0.0437264,0.0812555,0.130764,0.193282,0.271807,0.369541,0.0159662,0.0446862,0.0823316,0.13186,0.194411,0.272962,0.37072,0.0169961,0.0456459,0.0834077,0.132956,0.195542,0.274118,0.371898
8,0.154445,0.0259604,0.0549587,0.0938494,0.143661,0.206551,0.285356,0.383331,0.0270001,0.056062,0.0950823,0.144931,0.207856,0.286691,0.384686,0.0280399,0.0571977,0.0962973,0.1462,0.20916,0.288026,0.38604,0.0290796,0.0583403,0.0975122,0.14747,0.210464,0.28936,0.387395,0.0301193,0.0594828,0.0987272,0.148739,0.211769,0.290695,0.388749,0.0311591,0.0606255,0.0999422,0.150009,0.213073,0.29203,0.390104,0.0321988,0.0617681,0.101157,0.151278,0.214377,0.293364,0.391458
9,0.174771,0.0405144,0.0707017,0.110657,0.161219,0.224635,0.303808,0.402079,0.041763,0.0719947,0.112031,0.162659,0.226121,0.305325,0.403616,0.0430116,0.0732877,0.113406,0.164099,0.227608,0.306841,0.405153,0.0442602,0.0745807,0.114792,0.165539,0.229094,0.308358,0.40669,0.0455088,0.0759094,0.116219,0.166979,0.230581,0.309874,0.408227,0.0467574,0.0773099,0.117645,0.168419,0.232067,0.311391,0.409765,0.048006,0.0787104,0.119072,0.169859,0.233553,0.312907,0.411302
