gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0332662,0.129959,0.268106,0.443821,0,0,0,0.0332661,0.129959,0.268106,0.443821,0,0,0,0.0332661,0.129959,0.268106,0.443821,0,0,0,0.0332661,0.129959,0.268106,0.443821,0,0,0,0.033266,0.129959,0.268106,0.443821,0,0,0,0.033266,0.129959,0.268106,0.443821,0,0,0,0.0332659,0.129959,0.268106,0.44382
1,0.0185364,0,0,0,0.0449831,0.144971,0.283446,0.460437,0,0,0,0.0451228,0.145154,0.283611,0.460612,0,0,0,0.0452625,0.145336,0.283776,0.460786,0,0,0,0.0454022,0.145519,0.283942,0.460961,0,0,0,0.0455419,0.145702,0.284107,0.461135,0,0,0,0.0456816,0.145885,0.284272,0.46131,0,0,0,0.0458213,0.146067,0.284438,0.461483
2,0.0372875,0,0,0,0.0573161,0.160831,0.29885,0.476275,0,0,0,0.0576378,0.161197,0.299205,0.476615,0,0,0,0.0579595,0.161563,0.29956,0.476954,0,0,0,0.0582813,0.161929,0.299916,0.477294,0,0,0,0.058603,0.162295,0.300271,0.477633,0,0,0,0.0589247,0.162661,0.300626,0.477973,0,0,0,0.0592465,0.163027,0.300981,0.478312
3,0.0562558,0,0,0,0.071394,0.17666,0.314745,0.492672,0,0,0,0.071843,0.177126,0.315246,0.493198,0,0,0,0.0722921,0.177591,0.315747,0.493724,0,0,0,0.0727411,0.178056,0.316248,0.494249,0,0,0,0.0731901,0.178522,0.316749,0.494775,0,0,0,0.0736391,0.178987,0.31725,0.495301,0,0,0,0.0740881,0.179453,0.317751,0.495826
4,0.0754439,0,0,0.00811431,0.085463,0.191372,0.330867,0.509752,0,0,0.00877543,0.0860593,0.191988,0.331536,0.510422,0,0,0.00943655,0.0866556,0.192603,0.332204,0.511091,0,0,0.0100977,0.087252,0.193219,0.332873,0.51176,0,0,0.0107588,0.0878483,0.193835,0.333541,0.512429,0,0,0.0114199,0.0884446,0.194451,0.33421,0.513098,0,0,0.012081,0.0890409,0.195067,0.334879,0.513767
5,0.0948544,0,0,0.0220989,0.0993757,0.206618,0.347276,0.526371,0,0,0.0226979,0.100054,0.207406,0.348108,0.527212,0,0,0.023297,0.100733,0.208194,0.348941,0.528054,0,0,0.023896,0.101411,0.208982,0.349773,0.528895,0,0,0.024495,0.10209,0.20977,0.350606,0.529736,0,0,0.025094,0.102768,0.210559,0.351438,0.530577,0,0,0.025718,0.103446,0.211347,0.35227,0.531419
6,0.11449,0,0,0.0341996,0.11308,0.222824,0.364292,0.543363,0,0,0.0348222,0.113786,0.22368,0.365169,0.544248,0,0,0.0354448,0.114491,0.224536,0.366046,0.545134,0,0,0.0360674,0.115218,0.225391,0.366924,0.54602,0,0,0.03669,0.115946,0.226247,0.367801,0.546905,0,0,0.0373148,0.116674,0.227103,0.368679,0.547791,0,0,0.0379913,0.117401,0.227959,0.369564,0.548677
7,0.134352,0,0,0.0464985,0.126592,0.238854,0.380849,0.559822,0,0,0.0474461,0.127598,0.240048,0.382038,0.561078,0,0,0.0483937,0.128603,0.241242,0.383228,0.562335,0,0,0.0493412,0.129608,0.242436,0.384418,0.563591,0,0,0.0502888,0.130614,0.24363,0.385608,0.564847,0,0,0.0512364,0.131619,0.244823,0.386798,0.566104,0,0,0.052184,0.132625,0.246017,0.387988,0.56736
8,0.154445,0,0,0.0587563,0.140902,0.254928,0.397606,0.5779,0,0,0.060426,0.142871,0.256606,0.399138,0.579364,0,0,0.0620956,0.144841,0.258283,0.400671,0.580829,0,0.00132003,0.0637652,0.146811,0.259936,0.402203,0.582293,0,0.00303384,0.0654349,0.148781,0.261586,0.403735,0.583752,0,0.00474766,0.0671045,0.15075,0.263236,0.405267,0.585119,0,0.00646148,0.0687741,0.15272,0.264886,0.406799,0.586486
9,0.174771,0,0.0134178,0.075551,0.16058,0.272854,0.415613,0.595532,0,0.0146977,0.0767988,0.162135,0.274361,0.417243,0.597036,0,0.0159777,0.0780467,0.16369,0.275867,0.418873,0.59854,0,0.0172577,0.0792945,0.165244,0.277374,0.420503,0.600044,0,0.0185374,0.0805424,0.166799,0.278881,0.422132,0.601548,0,0.0195517,0.0817902,0.168354,0.280391,0.423762,0.603052,0,0.0205661,0.0830381,0.169909,0.281913,0.425392,0.604556
10,0.195332,0,0.0271062,0.0909566,0.178207,0.290423,0.434353,0.613134,0,0.0281712,0.092309,0.179606,0.292004,0.436098,0.614818,0,0.0292362,0.0936614,0.181005,0.293585,0.437843,0.616501,0,0.0303012,0.094999,0.182403,0.295166,0.439561,0.618185,0,0.0313662,0.096226,0.183802,0.296747,0.44128,0.619869,0,0.0324312,0.0974529,0.185201,0.298328,0.442998,0.621552,0,0.0334962,0.0986799,0.186599,0.299909,0.444717,0.623236
11,0.216131,0,0.0394581,0.105099,0.193567,0.307754,0.452874,0.631309,0,0.040877,0.106541,0.195162,0.309548,0.454775,0.633145,0,0.042296,0.107984,0.196845,0.311341,0.456677,0.635014,0,0.0437149,0.109426,0.198539,0.313134,0.458578,0.636998,0,0.0451338,0.110868,0.200233,0.314927,0.46048,0.638982,0,0.0465528,0.112311,0.201926,0.31672,0.462341,0.640966,0,0.0479717,0.113753,0.20362,0.318513,0.46416,0.64295
12,0.237172,0.00298292,0.0534619,0.119527,0.210345,0.325626,0.471295,0.650936,0.00472067,0.0549288,0.121055,0.212122,0.327501,0.473232,0.653081,0.00645842,0.056415,0.122582,0.213899,0.329376,0.47517,0.655226,0.00819617,0.0580859,0.124109,0.215676,0.33125,0.477107,0.65737,0.00993392,0.0597568,0.125636,0.217511,0.333125,0.479045,0.659515,0.0116717,0.0614277,0.127164,0.219366,0.335,0.480982,0.661515,0.0134094,0.0630986,0.128691,0.221221,0.336874,0.48292,0.663405
13,0.258456,0.0191425,0.0687585,0.133711,0.227319,0.343036,0.489287,0.669529,0.0206237,0.0706354,0.135906,0.229465,0.345204,0.491602,0.671651,0.022105,0.0725123,0.138346,0.231611,0.347413,0.493918,0.673773,0.0235862,0.0743892,0.140786,0.233757,0.34965,0.496233,0.675894,0.0250675,0.0762757,0.143226,0.235903,0.351886,0.498548,0.678016,0.0265487,0.0781746,0.145666,0.238061,0.354123,0.500863,0.680138,0.0280299,0.0800735,0.148107,0.240236,0.35636,0.503178,0.682259
14,0.279986,0.0319664,0.0845227,0.153331,0.244892,0.361253,0.508462,0.68755,0.0336451,0.0867026,0.156036,0.247351,0.363746,0.51093,0.690036,0.0353238,0.0888825,0.158706,0.249809,0.366239,0.51337,0.692485,0.0370025,0.0910623,0.161376,0.252268,0.368732,0.51581,0.695008,0.0387881,0.0932422,0.164046,0.254726,0.371221,0.51825,0.697531,0.0405957,0.0953562,0.166715,0.257185,0.373711,0.52069,0.700054,0.0424032,0.0972831,0.169385,0.259639,0.3762,0.52313,0.702577
15,0.301766,0.0446331,0.0994027,0.172889,0.263075,0.379957,0.527247,0.707247,0.0469537,0.101743,0.175621,0.265716,0.38264,0.529915,0.709966,0.0492743,0.104083,0.177961,0.268357,0.385322,0.532583,0.712686,0.0515949,0.106423,0.1803,0.270998,0.388005,0.535223,0.715607,0.0539155,0.108763,0.182639,0.27364,0.390688,0.537834,0.718568,0.0562361,0.111103,0.184979,0.276281,0.393367,0.540446,0.721528,0.0588904,0.113443,0.187318,0.278922,0.396045,0.543057,0.724488
16,0.323799,0.0611905,0.115474,0.189995,0.282201,0.399216,0.546305,0.72854,0.063408,0.117454,0.1922,0.284883,0.401968,0.549027,0.731717,0.0656256,0.119435,0.194405,0.287565,0.40472,0.551749,0.734893,0.0678432,0.121416,0.196736,0.290247,0.407472,0.554472,0.73807,0.0700608,0.123397,0.199159,0.292929,0.410225,0.557194,0.741112,0.0722784,0.125378,0.201581,0.295611,0.412977,0.559994,0.743966,0.074496,0.127358,0.204004,0.298293,0.415775,0.562887,0.746821
17,0.346087,0.077334,0.129822,0.206739,0.301154,0.418481,0.56549,0.749523,0.0799517,0.132039,0.209448,0.304046,0.421445,0.568627,0.752574,0.0825693,0.134255,0.212157,0.306921,0.424543,0.571765,0.755624,0.085187,0.137568,0.214866,0.309796,0.427642,0.574902,0.758675,0.0878046,0.140931,0.217641,0.312671,0.43074,0.578039,0.761725,0.0904223,0.144294,0.220474,0.315547,0.433839,0.581177,0.764776,0.0930399,0.147658,0.223308,0.318422,0.436938,0.584285,0.767849
18,0.368632,0.0941761,0.14929,0.224803,0.320075,0.438549,0.58599,0.769799,0.0967759,0.153086,0.227866,0.323137,0.441759,0.589087,0.773091,0.0992811,0.156777,0.230928,0.326146,0.444969,0.592185,0.776384,0.101786,0.160408,0.23399,0.329139,0.44818,0.595283,0.779676,0.104292,0.16404,0.237052,0.332133,0.45139,0.598381,0.782968,0.106797,0.167671,0.240113,0.335127,0.454601,0.601479,0.78626,0.109302,0.171303,0.243174,0.33812,0.457811,0.604576,0.789552
19,0.391439,0.109907,0.17218,0.244201,0.339272,0.459046,0.605924,0.790985,0.112342,0.175453,0.247263,0.34231,0.46228,0.609117,0.794376,0.114767,0.178018,0.250325,0.345349,0.465443,0.612345,0.797732,0.117111,0.180582,0.253387,0.348545,0.468607,0.615573,0.801086,0.119456,0.183147,0.256449,0.351791,0.471771,0.618801,0.80444,0.1218,0.185711,0.259519,0.355037,0.474935,0.622029,0.807794,0.124145,0.188276,0.262604,0.358283,0.478099,0.625257,0.811149
20,0.414511,0.124573,0.188744,0.263318,0.359034,0.478985,0.626319,0.812415,0.127093,0.191501,0.266586,0.362472,0.482284,0.629632,0.815804,0.129614,0.194259,0.269854,0.365909,0.485593,0.632945,0.819192,0.132135,0.197253,0.273121,0.369337,0.489036,0.63636,0.822561,0.134863,0.200398,0.276389,0.372725,0.492479,0.63987,0.825787,0.139103,0.203543,0.279657,0.376113,0.495922,0.643381,0.829012,0.143343,0.206687,0.28312,0.379501,0.499364,0.646891,0.832238
21,0.437849,0.142749,0.206397,0.283124,0.379671,0.499871,0.64776,0.83337,0.147228,0.209669,0.286748,0.38314,0.503394,0.65135,0.836667,0.151706,0.212941,0.290373,0.386609,0.506917,0.654941,0.839964,0.156086,0.216216,0.293997,0.390078,0.510426,0.658531,0.843262,0.160309,0.219654,0.297621,0.393519,0.513899,0.661987,0.846559,0.164532,0.223091,0.301246,0.396944,0.517372,0.66529,0.849856,0.168755,0.226528,0.304709,0.400368,0.520845,0.668592,0.853262
22,0.461458,0.167519,0.225499,0.303825,0.399636,0.520259,0.66836,0.853189,0.171835,0.229122,0.307504,0.40336,0.524097,0.672011,0.857035,0.175685,0.232745,0.311182,0.407083,0.527934,0.675663,0.860881,0.178542,0.236367,0.31486,0.410807,0.531771,0.679315,0.864727,0.1814,0.239939,0.318538,0.414531,0.535558,0.682966,0.868573,0.184257,0.243497,0.322216,0.418387,0.53928,0.686618,0.872419,0.187115,0.247055,0.32579,0.422244,0.543002,0.690518,0.876265
23,0.485341,0.185716,0.245002,0.323773,0.420019,0.540855,0.688415,0.874381,0.188768,0.248802,0.327506,0.424137,0.54483,0.692647,0.878489,0.19182,0.252601,0.331239,0.428255,0.548805,0.696879,0.882655,0.194873,0.2564,0.334971,0.432374,0.55278,0.701111,0.886822,0.198409,0.260226,0.338703,0.436492,0.556755,0.705343,0.89099,0.202031,0.264082,0.342436,0.440575,0.560847,0.709575,0.895158,0.205652,0.267939,0.346177,0.444642,0.565046,0.713846,0.899325
24,0.5095,0.202456,0.264411,0.342754,0.441116,0.561605,0.710339,0.89605,0.206433,0.268582,0.346873,0.445449,0.566014,0.714877,0.900493,0.210411,0.272753,0.351383,0.449783,0.570422,0.719576,0.904935,0.214388,0.276924,0.355893,0.454117,0.574831,0.724275,0.909407,0.218498,0.281223,0.360403,0.458515,0.579239,0.728973,0.913916,0.22271,0.285878,0.364913,0.462887,0.583648,0.733672,0.918425,0.226922,0.290533,0.369401,0.467206,0.587961,0.738371,0.922934
