gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
0,0,0,0,0,0.0314096,0.0674965,0.123337,0.201516,0,0,0,0.0314096,0.0674965,0.123337,0.201516,0,0,0,0.0314097,0.0674966,0.123337,0.201516,0,0,0,0.0314097,0.0674966,0.123337,0.201516,0,0,0,0.0314097,0.0674966,0.123337,0.201516,0,0,0,0.0314097,0.0674967,0.123337,0.201516,0,0,0,0.0314098,0.0674967,0.123337,0.201516,0,0,0,0.0314098,0.0674967,0.123337,0.201516,0,0,0,0.0314098,0.0674968,0.123337,0.201516,0,0,0,0.0314099,0.0674968,0.123337,0.201516,0,0,0,0.0314099,0.0674968,0.123338,0.201516,0,0,0,0.0314099,0.0674968,0.123338,0.201516,0,0,0,0.0314099,0.0674969,0.123338,0.201516
1,0.0185364,0,0,0.00951961,0.0405675,0.0775534,0.136081,0.215899,0,0,0.00951965,0.0405676,0.0775534,0.136101,0.215919,0,0,0.00951969,0.0405676,0.0775534,0.13612,0.21594,0,0,0.00951973,0.0405676,0.0775535,0.136139,0.21596,0,0,0.00951978,0.0405677,0.0775535,0.136158,0.215981,0,0,0.00951982,0.0405677,0.0775535,0.136177,0.216001,0,0,0.00951986,0.0405677,0.0775536,0.136197,0.216022,0,0,0.0095199,0.0405678,0.0775536,0.136216,0.216043,0,0,0.00951995,0.0405678,0.0775536,0.136235,0.216063,0,0,0.00951999,0.0405678,0.0775537,0.136254,0.216084,0,0,0.00952003,0.0405678,0.0775537,0.136273,0.216104,0,0,0.00952007,0.0405679,0.0775538,0.136292,0.216125,0,0,0.00952011,0.0405679,0.0775538,0.136312,0.216147
2,0.0372875,0,0,0.0212302,0.0500576,0.0890833,0.149656,0.23165,0,0,0.0212302,0.0500577,0.0891163,0.149695,0.231695,0,0,0.0212303,0.0500577,0.0891494,0.149734,0.23174,0,0,0.0212303,0.0500577,0.0891824,0.149772,0.231785,0,0,0.0212303,0.0500577,0.0892154,0.149811,0.231829,0,0,0.0212303,0.0500578,0.0892485,0.149849,0.231874,0,0,0.0212304,0.0500578,0.0892815,0.149888,0.231919,0,0,0.0212304,0.0500578,0.0893146,0.149926,0.231964,0,0,0.0212304,0.0500579,0.0893476,0.149965,0.232009,0,0,0.0212305,0.0500579,0.0893806,0.150004,0.232053,0,0,0.0212305,0.0500579,0.0894137,0.150042,0.232098,0,0,0.0212305,0.0500579,0.0894467,0.150081,0.232143,0,0,0.0212306,0.050058,0.0894797,0.150119,0.232188
3,0.0562558,0,0.00276506,0.03048,0.0595156,0.10164,0.164217,0.246289,0,0.0027651,0.03048,0.0595572,0.101697,0.164217,0.246289,0,0.00276514,0.03048,0.0595988,0.101753,0.164217,0.246289,0,0.00276519,0.0304801,0.0596404,0.10181,0.164217,0.246289,0,0.00276523,0.0304801,0.0596819,0.101866,0.164217,0.246289,0,0.00276527,0.0304801,0.0597235,0.101923,0.164217,0.246289,0,0.00276531,0.0304802,0.0597651,0.101979,0.164217,0.246289,0,0.00276536,0.0304802,0.0598067,0.102035,0.164217,0.246289,0,0.0027654,0.0305579,0.0598483,0.102092,0.164217,0.246289,0,0.00276544,0.0305967,0.0598899,0.102148,0.164217,0.246289,0,0.00276548,0.0306356,0.0599315,0.102205,0.164217,0.246289,0,0.00276552,0.0306744,0.0599731,0.102261,0.164217,0.246289,0,0.00276557,0.0307133,0.0600147,0.102317,0.164217,0.246289
4,0.0754439,0,0.0158464,0.0396123,0.0694481,0.115539,0.178763,0.260059,0,0.0158464,0.0396664,0.0695038,0.115539,0.178763,0.260059,0,0.0158464,0.0397205,0.0695596,0.115539,0.178763,0.260059,0,0.0158465,0.0397747,0.0696154,0.115539,0.178763,0.260059,0,0.0158465,0.0398288,0.0696711,0.115539,0.178763,0.260059,0,0.0158466,0.0398829,0.0697269,0.115539,0.178763,0.260059,0,0.0158466,0.0399371,0.0697827,0.11554,0.178763,0.260059,0,0.0158467,0.0399912,0.0698384,0.115613,0.178763,0.260059,0,0.0158467,0.0400453,0.0698942,0.115686,0.178763,0.260059,0,0.0160651,0.0400995,0.06995,0.11576,0.178763,0.260059,0,0.0161379,0.0401536,0.0700057,0.115833,0.178763,0.260059,0,0.0162107,0.0402077,0.0700615,0.115907,0.178763,0.260059,0,0.0162836,0.0402619,0.0701173,0.11598,0.178763,0.260059
5,0.0948544,0.00194271,0.025686,0.0493652,0.08028,0.12834,0.19241,0.274609,0.00203427,0.0257515,0.0494333,0.0803636,0.128433,0.192509,0.274609,0.00212583,0.025817,0.0495013,0.0804473,0.128525,0.192607,0.274609,0.00221739,0.0258825,0.0495694,0.080531,0.128617,0.192706,0.274609,0.00230895,0.025948,0.0496374,0.0806147,0.12871,0.192804,0.274609,0.0024005,0.0260135,0.0497055,0.0806983,0.128802,0.192903,0.274609,0.00249206,0.026079,0.0497735,0.080782,0.128894,0.193001,0.274609,0.00258362,0.0261445,0.0498416,0.0808657,0.128987,0.1931,0.274609,0.00267518,0.02621,0.0499096,0.0809494,0.129079,0.193198,0.274609,0.00276674,0.0262755,0.0499777,0.081033,0.129172,0.193297,0.274609,0.0028583,0.026341,0.0500457,0.0811167,0.129264,0.193395,0.274609,0.00294986,0.0264065,0.0501138,0.0812004,0.129356,0.193494,0.274609,0.00304141,0.026472,0.0501818,0.0812841,0.129449,0.193592,0.274609
6,0.11449,0.0152163,0.0351813,0.0593094,0.0924114,0.142176,0.207593,0.289647,0.0153269,0.0352603,0.0593937,0.0925124,0.142294,0.207721,0.289784,0.0154374,0.0353394,0.059478,0.0926134,0.142412,0.20785,0.28992,0.0155479,0.0354184,0.0595623,0.0927144,0.142531,0.207978,0.290056,0.0156584,0.0354975,0.0596466,0.0928154,0.142649,0.208106,0.290192,0.0157689,0.0355765,0.0597309,0.0929164,0.142767,0.208234,0.290329,0.0158794,0.0356555,0.0598152,0.0930174,0.142885,0.208363,0.290465,0.0159899,0.0357346,0.0598995,0.0931184,0.143003,0.208491,0.290601,0.0161004,0.0358136,0.0599837,0.0932194,0.143121,0.208619,0.290737,0.0162109,0.0358927,0.060068,0.0933203,0.14324,0.208748,0.290874,0.0163214,0.0359717,0.0601523,0.0934213,0.143358,0.208876,0.29101,0.0164319,0.0360508,0.0602366,0.0935223,0.143476,0.209004,0.291146,0.0165424,0.0361298,0.0603209,0.0936233,0.143594,0.209133,0.291283
7,0.134352,0.0257679,0.0450876,0.0695522,0.106102,0.156638,0.223681,0.306151,0.0258607,0.045184,0.0696511,0.106238,0.156784,0.223843,0.306309,0.0259535,0.0452805,0.0697501,0.106374,0.156929,0.224004,0.306467,0.0260462,0.045377,0.069849,0.106509,0.157075,0.224165,0.306625,0.026139,0.0454735,0.0699479,0.106645,0.15722,0.224326,0.306783,0.0262318,0.04557,0.0700468,0.10678,0.157366,0.224487,0.306941,0.0263246,0.0456664,0.0701457,0.106916,0.157511,0.224648,0.307099,0.0264173,0.0457629,0.0702446,0.107052,0.157656,0.224809,0.307257,0.0265101,0.0458594,0.0703435,0.107187,0.157802,0.224971,0.307415,0.0266029,0.0459559,0.0704424,0.107323,0.157947,0.225132,0.307572,0.0266956,0.0460523,0.0705413,0.107458,0.158093,0.225293,0.30773,0.0267884,0.0461488,0.0706402,0.107594,0.158238,0.225454,0.307888,0.0268812,0.0462453,0.0707392,0.10773,0.158384,0.225615,0.308046
8,0.154445,0.0354862,0.0551942,0.0807802,0.121007,0.172879,0.240938,0.323782,0.0355928,0.0553051,0.080916,0.121007,0.172879,0.240938,0.323782,0.0356994,0.055416,0.0810517,0.121007,0.172879,0.240938,0.323782,0.0358061,0.0555269,0.0811875,0.121007,0.172879,0.240938,0.323782,0.0359127,0.0556378,0.0813232,0.120706,0.172879,0.240938,0.323782,0.0360194,0.0557487,0.0814589,0.120857,0.17288,0.240938,0.323782,0.036126,0.0558596,0.0815947,0.121007,0.17288,0.240938,0.323782,0.0362326,0.0559705,0.0817304,0.121157,0.17288,0.240938,0.323782,0.0363393,0.0560814,0.0818661,0.121308,0.17288,0.240938,0.323782,0.0364459,0.0561923,0.0820019,0.121458,0.17288,0.240938,0.323782,0.0365526,0.0563042,0.0821376,0.121609,0.17288,0.240938,0.323783,0.0366592,0.0564175,0.0822734,0.121759,0.17288,0.240939,0.323783,0.0367659,0.0565308,0.0824091,0.12191,0.17288,0.240939,0.323783
9,0.174771,0.0456445,0.0656154,0.0932937,0.13503,0.187949,0.255345,0.336878,0.0457701,0.0657436,0.0934473,0.13503,0.187949,0.255345,0.336878,0.0458957,0.0658718,0.0936009,0.13503,0.187949,0.255345,0.336878,0.0460213,0.066,0.0937545,0.13503,0.187949,0.255345,0.336878,0.0461469,0.0661282,0.0939081,0.13503,0.187949,0.255345,0.336878,0.0462725,0.0662564,0.0940617,0.13503,0.18795,0.255345,0.336878,0.0463981,0.0663846,0.0942153,0.13503,0.18795,0.255345,0.336878,0.0465237,0.0665128,0.0943689,0.13503,0.18795,0.255345,0.336878,0.0466493,0.066641,0.0945225,0.13503,0.18795,0.255346,0.336878,0.0467749,0.0667692,0.0946761,0.13503,0.18795,0.255346,0.336878,0.0469005,0.0668974,0.0948297,0.13503,0.18795,0.255346,0.336878,0.0470261,0.0670256,0.0950034,0.13503,0.18795,0.255346,0.336878,0.0471517,0.0671538,0.0951809,0.13503,0.18795,0.255346,0.336878
