gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0.0071146,0.00740664,0.0076989,0.00799091,0.00828287,0.00857439,0.00886574
2,0.0372875,0.0237323,0.024154,0.0245757,0.0249973,0.0254187,0.0258398,0.0262606
3,0.0562558,0.0396066,0.0402059,0.0408051,0.0414039,0.0420025,0.0426004,0.0431981
4,0.0754439,0.0561702,0.0569425,0.0577166,0.0584904,0.0592642,0.0600374,0.0608103
5,0.0948544,0.0731921,0.0741377,0.0750829,0.0760326,0.0769854,0.0779375,0.0788894
6,0.11449,0.090547,0.0916785,0.0928102,0.0939415,0.095074,0.0962111,0.0973471
7,0.134352,0.108234,0.109547,0.110861,0.112174,0.113487,0.114802,0.116124
8,0.154445,0.12627,0.127766,0.129262,0.130757,0.132251,0.133744,0.135244
9,0.174771,0.144648,0.146331,0.148014,0.149696,0.151378,0.153058,0.15474
10,0.195332,0.16335,0.165225,0.1671,0.168974,0.170848,0.172721,0.174593
11,0.216131,0.182363,0.184433,0.186504,0.188573,0.190642,0.192711,0.194779
12,0.237172,0.201678,0.203946,0.206214,0.208481,0.210748,0.213014,0.21528
13,0.258456,0.221286,0.223755,0.226223,0.22869,0.231157,0.233623,0.236088
14,0.279986,0.241183,0.243854,0.246525,0.249194,0.251863,0.254532,0.2572
15,0.301766,0.261366,0.264241,0.267116,0.26999,0.272864,0.275737,0.278609
16,0.323799,0.28183,0.284913,0.287995,0.291076,0.294157,0.297236,0.300316
17,0.346087,0.302576,0.305868,0.309159,0.31245,0.31574,0.319029,0.322317
18,0.368632,0.323601,0.327105,0.330608,0.334111,0.337613,0.341113,0.344613
19,0.391439,0.344908,0.348625,0.352342,0.356059,0.359775,0.36349,0.367204
20,0.414511,0.366494,0.370427,0.374361,0.378295,0.382228,0.386159,0.390091
21,0.437849,0.388361,0.392512,0.396667,0.400819,0.404972,0.409122,0.413273
22,0.461458,0.41051,0.414883,0.419259,0.423634,0.428008,0.43238,0.436752
23,0.485341,0.432943,0.43754,0.44214,0.446739,0.451337,0.455934,0.46053
24,0.5095,0.455658,0.460483,0.465309,0.470135,0.474961,0.479785,0.484608
25,0.533939,0.478658,0.483713,0.488769,0.493826,0.498881,0.503935,0.508988
