gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0139275,0.0642293,0.134307,0.225746,0,0,0,0.0138971,0.0642087,0.134289,0.225731,0,0,0,0.0138666,0.0641882,0.134272,0.225716,0,0,0,0.0138359,0.0641674,0.134255,0.225702,0,0,0,0.0138054,0.064147,0.134238,0.225687,0,0,0,0.0137749,0.0641263,0.134221,0.225672,0,0,0,0.0137442,0.0641056,0.134204,0.225657
1,0.0185364,0,0,0,0.0265116,0.0782212,0.149661,0.241635,0,0,0,0.0264886,0.0782016,0.149644,0.241621,0,0,0,0.0264654,0.0781821,0.149627,0.241607,0,0,0,0.0264422,0.0781623,0.14961,0.241592,0,0,0,0.0264191,0.0781428,0.149592,0.241578,0,0,0,0.026396,0.0781232,0.149575,0.241563,0,0,0,0.0263727,0.0781035,0.149558,0.241549
2,0.0372875,0,0,0,0.0385393,0.0928595,0.165259,0.257718,0,0,0,0.0385162,0.0928409,0.165243,0.257704,0,0,0,0.038493,0.0928222,0.165226,0.25769,0,0,0,0.0384697,0.0928033,0.165209,0.257676,0,0,0,0.0384466,0.0927848,0.165193,0.257662,0,0,0,0.0384234,0.092766,0.165176,0.257648,0,0,0,0.0384,0.0927473,0.16516,0.257634
3,0.0562558,0,0,0.0111644,0.0519031,0.107902,0.181094,0.274202,0,0,0.0111336,0.051882,0.107884,0.181078,0.274188,0,0,0.0111027,0.0518609,0.107866,0.181062,0.274174,0,0,0.0110717,0.0518396,0.107847,0.181046,0.27416,0,0,0.0110409,0.0518186,0.107829,0.18103,0.274146,0,0,0.01101,0.0517974,0.107811,0.181014,0.274132,0,0,0.0109789,0.0517762,0.107792,0.180998,0.274118
4,0.0754439,0,0,0.0246523,0.0659961,0.123228,0.197175,0.290925,0,0,0.024629,0.0659758,0.12321,0.19716,0.290911,0,0,0.0246055,0.0659555,0.123192,0.197145,0.290898,0,0,0.0245819,0.065935,0.123174,0.197129,0.290884,0,0,0.0245585,0.0659148,0.123157,0.197114,0.29087,0,0,0.0245349,0.0658944,0.123139,0.197098,0.290857,0,0,0.0245113,0.0658739,0.123121,0.197083,0.290843
5,0.0948544,0,0.00314622,0.0369756,0.0807457,0.138935,0.213626,0.307903,0,0.00311445,0.0369546,0.0807263,0.138917,0.213611,0.30789,0,0.00308252,0.0369335,0.0807069,0.1389,0.213596,0.307877,0,0.00305048,0.0369122,0.0806872,0.138882,0.213581,0.307863,0,0.00301866,0.0368911,0.0806679,0.138865,0.213566,0.30785,0,0.00298672,0.03687,0.0806484,0.138847,0.213551,0.307836,0,0.00295462,0.0368487,0.0806289,0.138829,0.213537,0.307823
6,0.11449,0,0.018296,0.0507746,0.096097,0.155206,0.230426,0.325156,0,0.0182661,0.0507534,0.0960782,0.155189,0.230411,0.325143,0,0.0182361,0.0507321,0.0960594,0.155172,0.230396,0.32513,0,0.018206,0.0507106,0.0960404,0.155154,0.230382,0.325117,0,0.0181761,0.0506894,0.0960217,0.155137,0.230367,0.325104,0,0.0181461,0.0506681,0.0960027,0.15512,0.230352,0.325091,0,0.018116,0.0506467,0.0959838,0.155103,0.230338,0.325078
7,0.134352,0.00267363,0.0309499,0.0653015,0.111886,0.171759,0.247457,0.342657,0.0026418,0.0309278,0.0652811,0.111868,0.171743,0.247442,0.342644,0.00260981,0.0309055,0.0652607,0.11185,0.171727,0.247428,0.342632,0.00257771,0.0308831,0.0652402,0.111832,0.17171,0.247414,0.342619,0.00254583,0.0308609,0.0652198,0.111814,0.171694,0.2474,0.342606,0.00251383,0.0308385,0.0651993,0.111796,0.171678,0.247385,0.342593,0.00248167,0.0308161,0.0651788,0.111778,0.171661,0.247371,0.34258
8,0.154445,0.0181768,0.0444107,0.0805541,0.12797,0.188562,0.264776,0.360391,0.0181469,0.0443885,0.0805347,0.127953,0.188547,0.264762,0.360378,0.0181169,0.0443663,0.0805153,0.127935,0.188531,0.264748,0.360366,0.0180868,0.0443438,0.0804956,0.127918,0.188515,0.264734,0.360353,0.0180569,0.0443217,0.0804763,0.1279,0.1885,0.26472,0.360341,0.0180269,0.0442993,0.0804568,0.127883,0.188484,0.264706,0.360328,0.0179967,0.0442769,0.0804372,0.127865,0.188469,0.264692,0.360316
9,0.174771,0.0311467,0.0588849,0.0964512,0.144594,0.205702,0.282459,0.378413,0.0311245,0.0588636,0.0964324,0.144577,0.205687,0.282445,0.3784,0.0311023,0.0588422,0.0964136,0.14456,0.205672,0.282431,0.378388,0.0310799,0.0588207,0.0963946,0.144542,0.205657,0.282417,0.378375,0.0310577,0.0587995,0.0963759,0.144525,0.205642,0.282404,0.378363,0.0310354,0.0587781,0.096357,0.144507,0.205627,0.28239,0.378351,0.031013,0.0587566,0.0963381,0.14449,0.205612,0.282376,0.378339
