gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0139263,0.0642368,0.134336,0.225766,0,0,0,0.0138959,0.0642163,0.134319,0.225751,0,0,0,0.0138654,0.0641958,0.134302,0.225736,0,0,0,0.0138347,0.064175,0.134285,0.225721,0,0,0,0.0138043,0.0641546,0.134268,0.225707,0,0,0,0.0137737,0.0641339,0.13425,0.225692,0,0,0,0.013743,0.0641133,0.134233,0.225677
1,0.0185364,0,0,0,0.0265103,0.0782281,0.149688,0.241677,0,0,0,0.0264872,0.0782086,0.149671,0.241663,0,0,0,0.0264641,0.078189,0.149654,0.241648,0,0,0,0.0264408,0.0781692,0.149637,0.241634,0,0,0,0.0264178,0.0781498,0.14962,0.24162,0,0,0,0.0264083,0.0781413,0.149611,0.241608,0,0,0,0.0264091,0.0781484,0.149621,0.241623
2,0.0372875,0,0,0,0.0385376,0.0928658,0.165281,0.257757,0,0,0,0.0385145,0.0928472,0.165265,0.257743,0,0,0,0.0384913,0.0928285,0.165248,0.257729,0,0,0,0.038468,0.0928097,0.165232,0.257715,0,0,0,0.0384525,0.0927968,0.165218,0.257701,0,0,0,0.0384829,0.0928346,0.165259,0.257743,0,0,0,0.0385132,0.0928808,0.165309,0.257794
3,0.0562558,0,0,0.0111616,0.0519024,0.107912,0.18111,0.274226,0,0,0.0111308,0.0518814,0.107894,0.181094,0.274212,0,0,0.0110999,0.0518602,0.107875,0.181078,0.274198,0,0,0.0110689,0.051839,0.107857,0.181062,0.274184,0,0,0.011076,0.0518488,0.107869,0.181074,0.274189,0,0,0.0111421,0.0519123,0.107951,0.181158,0.274279,0,0,0.0112671,0.0520297,0.10805,0.181247,0.27437
4,0.0754439,0,0,0.0246479,0.0659941,0.123241,0.197185,0.29092,0,0,0.0246245,0.0659738,0.123224,0.19717,0.290906,0,0,0.024601,0.0659535,0.123206,0.197155,0.290893,0,0,0.0245774,0.0659331,0.123188,0.197139,0.290879,0,0,0.0246005,0.0659677,0.123223,0.197174,0.29091,0,0,0.0246887,0.066068,0.123341,0.197295,0.291043,0,0,0.024828,0.0662506,0.123523,0.197503,0.291163
5,0.0948544,0,0.00314325,0.0369685,0.0807416,0.138951,0.213632,0.30788,0,0.00311149,0.0369474,0.0807222,0.138933,0.213618,0.307867,0,0.00307956,0.0369263,0.0807027,0.138916,0.213603,0.307853,0,0.00304751,0.036905,0.0806831,0.138898,0.213588,0.30784,0,0.0031152,0.03696,0.0807501,0.138964,0.213651,0.307899,0,0.00331074,0.0371202,0.0809463,0.139122,0.213808,0.308056,0,0.00348485,0.0372628,0.081121,0.139372,0.214082,0.308334
6,0.11449,0,0.0182895,0.0507664,0.096092,0.155219,0.230446,0.325147,0,0.0182596,0.0507452,0.0960731,0.155202,0.230432,0.325134,0,0.0182296,0.0507239,0.0960543,0.155185,0.230417,0.325121,0,0.0181995,0.0507024,0.0960353,0.155168,0.230403,0.325107,0,0.0182983,0.0507988,0.0961315,0.155262,0.230493,0.325192,0,0.0184313,0.0509577,0.0963159,0.155449,0.230679,0.325375,0,0.0186723,0.0511793,0.0965887,0.155756,0.231017,0.325715
7,0.134352,0.00266934,0.0309395,0.0652902,0.111885,0.171768,0.24748,0.342654,0.00263751,0.0309173,0.0652698,0.111867,0.171752,0.247466,0.342641,0.00260552,0.030895,0.0652494,0.111849,0.171736,0.247451,0.342628,0.00257342,0.0308726,0.0652288,0.111831,0.171719,0.247437,0.342615,0.00270259,0.0309746,0.065355,0.111969,0.171845,0.247557,0.342729,0.00297264,0.0312092,0.0656374,0.112272,0.172165,0.247811,0.342958,0.00338356,0.0314521,0.0658709,0.112492,0.172421,0.248166,0.34337
8,0.154445,0.0181672,0.0443957,0.0805387,0.127972,0.188568,0.264792,0.360391,0.0181373,0.0443735,0.0805192,0.127954,0.188553,0.264778,0.360378,0.0181073,0.0443512,0.0804998,0.127937,0.188537,0.264764,0.360366,0.0180772,0.0443288,0.0804801,0.127919,0.188521,0.26475,0.360353,0.0182324,0.0444757,0.0806364,0.128082,0.188682,0.264906,0.3605,0.0185264,0.0447493,0.0809798,0.128437,0.189042,0.265295,0.360778,0.0187416,0.0449913,0.0812296,0.128697,0.189341,0.265607,0.361229
9,0.174771,0.0311314,0.0588668,0.0964341,0.144596,0.205712,0.282465,0.37843,0.0311092,0.0588455,0.0964152,0.144579,0.205697,0.282451,0.378417,0.0310869,0.0588241,0.0963964,0.144562,0.205682,0.282438,0.378405,0.0310645,0.0588026,0.0963774,0.144544,0.205667,0.282424,0.378393,0.0312255,0.0589846,0.0965746,0.144738,0.205868,0.282602,0.378562,0.0315374,0.0593444,0.0969605,0.145156,0.206299,0.283047,0.378913,0.0320325,0.0598821,0.0974949,0.145546,0.206658,0.283403,0.379399
10,0.195332,0.0449372,0.0742529,0.112782,0.161671,0.223221,0.300379,0.396747,0.044915,0.0742338,0.112764,0.161654,0.223207,0.300366,0.396735,0.0448928,0.0742147,0.112746,0.161637,0.223192,0.300353,0.396723,0.0448704,0.0741953,0.112728,0.16162,0.223177,0.300339,0.396711,0.0450755,0.0744035,0.112951,0.161841,0.223406,0.30054,0.396902,0.0454409,0.0748103,0.113385,0.162314,0.223863,0.301039,0.397261,0.046007,0.0752456,0.113805,0.162708,0.224254,0.301439,0.39784
11,0.216131,0.0597946,0.0904379,0.129441,0.179021,0.241045,0.318651,0.415258,0.0597734,0.090419,0.129424,0.179005,0.241031,0.318638,0.415246,0.0597522,0.0904002,0.129406,0.178989,0.241016,0.318625,0.415234,0.0597308,0.0903811,0.129389,0.178972,0.241002,0.318611,0.415222,0.0599924,0.0906245,0.129624,0.17922,0.241257,0.31882,0.415416,0.0604424,0.0910971,0.130128,0.179749,0.241764,0.319249,0.415797,0.0611754,0.0917992,0.130801,0.180242,0.242199,0.319845,0.416421
12,0.237172,0.0755401,0.107085,0.146707,0.196648,0.259083,0.337189,0.434007,0.0755203,0.107067,0.14669,0.196633,0.259069,0.337176,0.433995,0.0755005,0.107048,0.146673,0.196617,0.259055,0.337163,0.433983,0.0754805,0.10703,0.146655,0.196602,0.25904,0.33715,0.433971,0.0755147,0.107066,0.146829,0.19684,0.259287,0.337381,0.434186,0.0755488,0.107542,0.147231,0.197196,0.259613,0.337733,0.434564,0.0762841,0.108238,0.14792,0.197904,0.26032,0.338147,0.434921
13,0.258456,0.0921548,0.124085,0.164398,0.214713,0.277599,0.355965,0.453113,0.092136,0.124067,0.164381,0.214698,0.277585,0.355952,0.453101,0.0921173,0.12405,0.164365,0.214683,0.277572,0.35594,0.453089,0.0920983,0.124032,0.164348,0.214668,0.277557,0.355927,0.453077,0.0924519,0.124356,0.164666,0.214973,0.277871,0.356202,0.453337,0.0929621,0.124922,0.165277,0.215619,0.278534,0.356876,0.453821,0.0938055,0.125789,0.166118,0.216222,0.279088,0.357417,0.4546
