gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0.00873177,0.00873176,0.00873178,0.00873177,0.00873178,0.00873176,0.00873177
2,0.0372875,0.0217887,0.0217887,0.0217887,0.0217887,0.0217887,0.0217887,0.0217887
3,0.0562558,0.0312857,0.0312857,0.0312857,0.0312857,0.0312857,0.0312857,0.0312857
4,0.0754439,0.0409533,0.0409533,0.0409533,0.0409533,0.0409533,0.0409533,0.0409533
5,0.0948544,0.050835,0.050835,0.050835,0.050835,0.050835,0.050835,0.050835
6,0.11449,0.0608655,0.0608655,0.0608655,0.0608655,0.0608655,0.0608655,0.0608655
7,0.134352,0.0710533,0.0710533,0.0710533,0.0710533,0.0710533,0.0710533,0.0710533
8,0.154445,0.0813827,0.0813827,0.0813827,0.0813827,0.0813827,0.0813827,0.0813827
9,0.174771,0.0918495,0.0918495,0.0918495,0.0918495,0.0918495,0.0918495,0.0918495
10,0.195332,0.102456,0.102456,0.102456,0.102456,0.102456,0.102456,0.102456
11,0.216131,0.113192,0.113192,0.113192,0.113192,0.113192,0.113192,0.113192
12,0.237172,0.124067,0.124067,0.124067,0.124067,0.124067,0.124067,0.124067
13,0.258456,0.135071,0.135071,0.135071,0.135071,0.135071,0.135071,0.135071
14,0.279986,0.146214,0.146214,0.146214,0.146214,0.146214,0.146214,0.146214
15,0.301766,0.157488,0.157488,0.157488,0.157488,0.157488,0.157488,0.157488
16,0.323799,0.168898,0.168898,0.168898,0.168898,0.168898,0.168898,0.168898
17,0.346087,0.180444,0.180444,0.180444,0.180444,0.180444,0.180444,0.180444
18,0.368632,0.192127,0.192127,0.192127,0.192127,0.192127,0.192127,0.192127
19,0.391439,0.203949,0.203949,0.203949,0.203949,0.203949,0.203949,0.203949
20,0.414511,0.215909,0.215909,0.215909,0.215909,0.215909,0.215909,0.215909
21,0.437849,0.228011,0.228011,0.228011,0.228011,0.228011,0.228011,0.228011
22,0.461458,0.240255,0.240255,0.240255,0.240255,0.240255,0.240255,0.240255
23,0.485341,0.252642,0.252642,0.252642,0.252642,0.252642,0.252642,0.252642
24,0.5095,0.265175,0.265175,0.265175,0.265175,0.265175,0.265175,0.265175
25,0.533939,0.277854,0.277854,0.277854,0.277854,0.277854,0.277854,0.277854
26,0.558661,0.290681,0.290681,0.290681,0.290681,0.290681,0.290681,0.290681
27,0.58367,0.303658,0.303658,0.303658,0.303658,0.303658,0.303658,0.303658
28,0.608968,0.316787,0.316787,0.316787,0.316787,0.316787,0.316787,0.316787
29,0.634559,0.330068,0.330068,0.330068,0.330068,0.330068,0.330068,0.330068
30,0.660447,0.343504,0.343504,0.343505,0.343504,0.343505,0.343504,0.343504
31,0.686635,0.357097,0.357097,0.357097,0.357097,0.357097,0.357097,0.357097
32,0.713126,0.370848,0.370848,0.370848,0.370848,0.370848,0.370848,0.370848
33,0.739924,0.384759,0.384759,0.384759,0.384759,0.384759,0.384759,0.384759
34,0.767033,0.398832,0.398832,0.398832,0.398832,0.398832,0.398832,0.398832
35,0.794456,0.413068,0.413068,0.413068,0.413068,0.413068,0.413068,0.413068
36,0.822196,0.42747,0.42747,0.42747,0.42747,0.42747,0.42747,0.42747
37,0.850258,0.442039,0.442039,0.442039,0.442039,0.442039,0.442039,0.442039
38,0.878644,0.456777,0.456777,0.456777,0.456777,0.456777,0.456777,0.456777
39,0.90736,0.471687,0.471687,0.471687,0.471687,0.471687,0.471687,0.471687
40,0.936408,0.486769,0.486769,0.486769,0.486769,0.486769,0.486769,0.486769
41,0.965793,0.502027,0.502027,0.502027,0.502027,0.502027,0.502027,0.502027
42,0.995519,0.517462,0.517462,0.517462,0.517462,0.517462,0.517462,0.517462
43,1.02559,0.533076,0.533076,0.533076,0.533076,0.533076,0.533076,0.533076
44,1.05601,0.548871,0.548871,0.548871,0.548871,0.548871,0.548871,0.548871
45,1.08678,0.56485,0.56485,0.56485,0.56485,0.56485,0.56485,0.56485
46,1.1179,0.581014,0.581013,0.581014,0.581014,0.581014,0.581013,0.581014
47,1.14939,0.597365,0.597365,0.597365,0.597365,0.597365,0.597365,0.597365
48,1.18124,0.613906,0.613906,0.613906,0.613906,0.613906,0.613906,0.613906
49,1.21346,0.630639,0.630639,0.630639,0.630639,0.630639,0.630639,0.630639
50,1.24606,0.647566,0.647566,0.647566,0.647566,0.647566,0.647566,0.647566
51,1.27903,0.664689,0.664689,0.66469,0.664689,0.66469,0.664689,0.664689
52,1.31239,0.682011,0.682011,0.682011,0.682011,0.682011,0.682011,0.682011
53,1.34613,0.699534,0.699534,0.699534,0.699534,0.699534,0.699534,0.699534
54,1.38026,0.71726,0.71726,0.71726,0.71726,0.71726,0.71726,0.71726
