gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0.01,0.139476,0.170836,0.209747,0.255449,0.312217,0.381009,0.465137,0.13951,0.17087,0.20978,0.255482,0.312249,0.381042,0.465168,0.139544,0.170903,0.209812,0.255516,0.312281,0.381075,0.4652,0.139578,0.170937,0.209845,0.25555,0.312313,0.381108,0.465231,0.139612,0.17097,0.209878,0.255584,0.312345,0.381141,0.465263,0.139646,0.171003,0.20991,0.255618,0.312377,0.381175,0.465295,0.13968,0.171037,0.209943,0.255651,0.312409,0.381208,0.465326
1,0.0285363,0.154078,0.185434,0.223976,0.27013,0.326432,0.395684,0.479636,0.154138,0.185497,0.224039,0.270202,0.326509,0.39577,0.479724,0.154199,0.18556,0.224103,0.270273,0.326585,0.395855,0.479811,0.154259,0.185624,0.224167,0.270345,0.326662,0.395941,0.479899,0.154319,0.185687,0.22423,0.270416,0.326738,0.396026,0.479986,0.15438,0.185751,0.224294,0.270488,0.326815,0.396112,0.480074,0.15444,0.185814,0.224357,0.270559,0.326891,0.396198,0.480161
2,0.0472874,0.168556,0.200609,0.23785,0.284688,0.340771,0.410144,0.494383,0.168714,0.200774,0.237997,0.284846,0.340927,0.410298,0.494543,0.168872,0.200939,0.238143,0.285004,0.341083,0.410452,0.494703,0.16903,0.201104,0.23829,0.285162,0.341239,0.410607,0.494862,0.169189,0.201269,0.238437,0.28532,0.341396,0.410761,0.495022,0.169347,0.201435,0.238583,0.285478,0.341552,0.410915,0.495181,0.169505,0.2016,0.23873,0.285636,0.341708,0.41107,0.495341
3,0.0662556,0.183348,0.215314,0.252315,0.299384,0.35554,0.424788,0.509107,0.183575,0.215529,0.252527,0.299566,0.355709,0.424941,0.50925,0.183802,0.215744,0.252739,0.299748,0.355878,0.425093,0.509392,0.184028,0.215959,0.25295,0.29993,0.356047,0.425246,0.509535,0.184255,0.216174,0.253162,0.300113,0.356216,0.425399,0.509678,0.184481,0.216389,0.253373,0.300295,0.356386,0.425551,0.50982,0.184708,0.216604,0.253585,0.300477,0.356556,0.425704,0.509963
4,0.0854437,0.19984,0.230384,0.268363,0.314632,0.370944,0.439814,0.523882,0.199888,0.230426,0.26841,0.314676,0.370989,0.439902,0.524048,0.199936,0.230469,0.268456,0.314721,0.371034,0.439991,0.524213,0.199984,0.230511,0.268501,0.314765,0.371079,0.44008,0.524379,0.200032,0.230553,0.268547,0.314809,0.371124,0.440169,0.524544,0.20008,0.230596,0.268592,0.314854,0.371169,0.440258,0.52471,0.200128,0.230638,0.268638,0.314898,0.371214,0.440347,0.524875
5,0.104854,0.21409,0.243752,0.282727,0.328704,0.385225,0.454107,0.538444,0.214474,0.244117,0.283102,0.329062,0.38558,0.454452,0.538772,0.214859,0.244481,0.283476,0.329421,0.385936,0.454798,0.539101,0.215243,0.244846,0.283851,0.32978,0.386291,0.455143,0.539429,0.215627,0.245211,0.284225,0.330138,0.386647,0.455489,0.539757,0.216011,0.245575,0.2846,0.330497,0.387002,0.455834,0.540085,0.216396,0.24594,0.284975,0.330856,0.387358,0.45618,0.540414
6,0.124489,0.22877,0.259393,0.298055,0.344135,0.400866,0.469712,0.554469,0.229188,0.259836,0.298435,0.344473,0.401138,0.469954,0.554724,0.229605,0.260279,0.298816,0.344812,0.40141,0.470197,0.554978,0.230022,0.260721,0.299196,0.345151,0.40168,0.470439,0.555232,0.23044,0.261164,0.299577,0.345489,0.40195,0.470681,0.555486,0.230857,0.261606,0.299957,0.345828,0.40222,0.470924,0.555741,0.231274,0.262049,0.300338,0.346167,0.40249,0.471166,0.555995
7,0.144352,0.242911,0.275083,0.312982,0.359113,0.415605,0.484553,0.569871,0.243425,0.275632,0.313518,0.359655,0.416112,0.485067,0.57038,0.243939,0.276182,0.314054,0.360197,0.416619,0.485582,0.570889,0.244453,0.276731,0.314589,0.36074,0.417126,0.486096,0.571398,0.244968,0.27728,0.315125,0.361282,0.417634,0.486611,0.571907,0.245482,0.277829,0.315661,0.361824,0.418141,0.487125,0.572416,0.245996,0.278379,0.316197,0.362366,0.418648,0.48764,0.572924
8,0.164445,0.258937,0.290896,0.328458,0.374811,0.431179,0.500252,0.585714,0.259556,0.291462,0.329007,0.375354,0.431724,0.500796,0.586281,0.260175,0.292028,0.329557,0.375898,0.432269,0.501339,0.586849,0.260793,0.292595,0.330106,0.376441,0.432814,0.501883,0.587416,0.261412,0.293161,0.330655,0.376985,0.433359,0.502426,0.587983,0.262031,0.293727,0.331205,0.377529,0.433904,0.502969,0.58855,0.26265,0.294294,0.331754,0.378072,0.434449,0.503513,0.589117
9,0.18477,0.27517,0.306516,0.344196,0.39034,0.44707,0.516138,0.601632,0.275874,0.307153,0.344829,0.390927,0.447627,0.516679,0.602162,0.276578,0.307789,0.345461,0.391514,0.44818,0.51722,0.602693,0.277283,0.308425,0.346093,0.392101,0.448731,0.517761,0.603223,0.277987,0.309062,0.346725,0.392688,0.449282,0.518302,0.603753,0.278692,0.309698,0.347357,0.393275,0.449833,0.518843,0.604283,0.279396,0.310334,0.347989,0.393862,0.450385,0.519384,0.604814
