gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0.01,0.0465614,0.0730209,0.105892,0.148759,0.203071,0.271705,0.359214,0.0465881,0.0730465,0.105921,0.148785,0.2031,0.271735,0.359246,0.0466147,0.0730721,0.105949,0.148812,0.20313,0.271766,0.359279,0.0466413,0.0730977,0.105978,0.148839,0.20316,0.271797,0.359311,0.0466678,0.0731233,0.106006,0.148866,0.20319,0.271827,0.359344,0.0466945,0.0731489,0.106035,0.148892,0.203219,0.271858,0.359376,0.0467211,0.0731745,0.106063,0.148919,0.203249,0.271889,0.359409
1,0.0285363,0.0588162,0.0848921,0.119439,0.161791,0.217035,0.286298,0.373945,0.0589047,0.0849777,0.119535,0.161881,0.217131,0.286399,0.374047,0.0589933,0.0850633,0.119631,0.161971,0.217227,0.2865,0.374149,0.0590818,0.0851489,0.119726,0.162061,0.217324,0.286601,0.37425,0.0591703,0.0852344,0.119822,0.162151,0.21742,0.286701,0.374352,0.0592589,0.08532,0.119917,0.162241,0.217516,0.286802,0.374454,0.0593475,0.0854056,0.120013,0.162331,0.217612,0.286903,0.374555
2,0.0472874,0.0711084,0.0976993,0.132797,0.175727,0.231186,0.30104,0.38882,0.0712413,0.0978378,0.132938,0.175879,0.231339,0.301199,0.38898,0.0713741,0.0979764,0.13308,0.176031,0.231492,0.301358,0.38914,0.0715069,0.0981148,0.133222,0.176184,0.231646,0.301517,0.3893,0.0716397,0.0982533,0.133363,0.176336,0.231799,0.301675,0.389461,0.0717725,0.0983918,0.133505,0.176488,0.231952,0.301834,0.389621,0.0719053,0.0985303,0.133646,0.176641,0.232105,0.301993,0.389781
3,0.0662556,0.0833284,0.111178,0.146118,0.190147,0.245595,0.316058,0.404081,0.0834938,0.111368,0.146299,0.190344,0.24579,0.316264,0.404308,0.0836593,0.111559,0.14648,0.190542,0.245986,0.31647,0.404535,0.0838247,0.111749,0.14666,0.190739,0.246181,0.316676,0.404762,0.0839901,0.111939,0.146841,0.190937,0.246376,0.316883,0.404989,0.0841555,0.112129,0.147022,0.191135,0.246571,0.317089,0.405217,0.0843209,0.112319,0.147203,0.191332,0.246766,0.317295,0.405444
4,0.0854437,0.0962798,0.125287,0.159594,0.204876,0.260615,0.331425,0.420602,0.0965245,0.125519,0.159821,0.205124,0.260869,0.331684,0.420888,0.0967693,0.12575,0.160049,0.205372,0.261123,0.331944,0.421174,0.097014,0.125981,0.160276,0.205616,0.261378,0.332203,0.421459,0.0972587,0.126212,0.160503,0.20586,0.261632,0.332462,0.421745,0.0975035,0.126443,0.160731,0.206103,0.261886,0.332721,0.422031,0.0977483,0.126674,0.160958,0.206347,0.262141,0.33298,0.422317
5,0.104854,0.109917,0.138681,0.173786,0.219336,0.275772,0.347138,0.436516,0.110258,0.139,0.174142,0.219689,0.276144,0.347524,0.4369,0.110599,0.139319,0.174499,0.220042,0.276517,0.347909,0.437283,0.11094,0.139638,0.174856,0.220395,0.276889,0.348295,0.437667,0.111281,0.139957,0.175212,0.220748,0.277262,0.34868,0.43805,0.111622,0.140276,0.175569,0.221101,0.277635,0.349065,0.438434,0.111963,0.140596,0.175925,0.221454,0.278007,0.349451,0.438817
6,0.124489,0.124508,0.152361,0.188785,0.234132,0.29139,0.363095,0.45263,0.124876,0.152732,0.189194,0.234532,0.291811,0.363532,0.453094,0.125244,0.153104,0.189603,0.234933,0.292231,0.363968,0.453558,0.125612,0.153475,0.190012,0.235333,0.292652,0.364405,0.454021,0.12598,0.153846,0.190422,0.235734,0.293072,0.364841,0.454485,0.126347,0.154218,0.190831,0.236134,0.293493,0.365278,0.454949,0.126715,0.154589,0.19124,0.236534,0.293913,0.365714,0.455413
7,0.144352,0.139169,0.167437,0.204899,0.249851,0.307451,0.379258,0.469352,0.139276,0.167555,0.205083,0.250094,0.307806,0.379675,0.46982,0.139382,0.167674,0.205266,0.250336,0.308161,0.380093,0.470288,0.139489,0.167793,0.205447,0.250578,0.308515,0.38051,0.470755,0.139595,0.167911,0.205626,0.25082,0.30887,0.380927,0.471223,0.139702,0.16803,0.205805,0.251062,0.309225,0.381345,0.471702,0.139809,0.168148,0.205984,0.251305,0.309579,0.381762,0.472192
8,0.164445,0.152057,0.181719,0.219058,0.264753,0.32287,0.394992,0.486461,0.152555,0.182285,0.21961,0.265342,0.323483,0.395609,0.487131,0.153054,0.18285,0.220163,0.265932,0.324096,0.396226,0.487802,0.153552,0.183415,0.220715,0.266521,0.324709,0.396843,0.488472,0.15405,0.18398,0.221268,0.267111,0.325321,0.397459,0.489142,0.154548,0.184546,0.22182,0.2677,0.325934,0.398076,0.489812,0.155046,0.185112,0.222373,0.26829,0.326547,0.398693,0.490483
9,0.18477,0.166313,0.197386,0.234274,0.280983,0.339225,0.411958,0.503447,0.166942,0.198009,0.234876,0.281629,0.339894,0.412661,0.504102,0.167571,0.198633,0.235479,0.282275,0.340564,0.413365,0.504758,0.1682,0.199256,0.236081,0.282922,0.341234,0.414068,0.505414,0.168828,0.199879,0.236684,0.283568,0.341903,0.414771,0.50607,0.169457,0.200502,0.237287,0.284215,0.342573,0.415475,0.506726,0.170086,0.201125,0.237889,0.284861,0.343242,0.416178,0.507381
