gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0372875,0.00867057,0.00867057,0.00867057,0.00867057,0.00867057,0.00867057,0.00867057,0.00893436,0.00893436,0.00893436,0.00893436,0.00893436,0.00893436,0.00893436,0.00919814,0.00919814,0.00919814,0.00919814,0.00919814,0.00919814,0.00919814,0.00946193,0.00946193,0.00946193,0.00946193,0.00946193,0.00946193,0.00946193,0.00972572,0.00972572,0.00972572,0.00972572,0.00972572,0.00972572,0.00972572,0.0099895,0.0099895,0.0099895,0.0099895,0.0099895,0.0099895,0.0099895,0.0102533,0.0102533,0.0102533,0.0102533,0.0102533,0.0102533,0.0102533
3,0.0562558,0.0216912,0.0216912,0.0216912,0.0216912,0.0216912,0.0216912,0.0216912,0.0220445,0.0220445,0.0220445,0.0220445,0.0220445,0.0220445,0.0220445,0.0223978,0.0223978,0.0223978,0.0223978,0.0223978,0.0223978,0.0223978,0.022751,0.022751,0.022751,0.022751,0.022751,0.022751,0.022751,0.0231043,0.0231043,0.0231043,0.0231043,0.0231043,0.0231043,0.0231043,0.0234576,0.0234576,0.0234576,0.0234576,0.0234576,0.0234576,0.0234576,0.0238109,0.0238109,0.0238109,0.0238109,0.0238109,0.0238109,0.0238109
4,0.0754439,0.0337421,0.0337421,0.0337421,0.0337421,0.0337421,0.0337421,0.0337421,0.0342159,0.0342159,0.0342159,0.0342159,0.0342159,0.0342159,0.0342159,0.0346896,0.0346896,0.0346896,0.0346896,0.0346896,0.0346896,0.0346896,0.0351634,0.0351634,0.0351634,0.0351634,0.0351634,0.0351634,0.0351634,0.0356372,0.0356372,0.0356372,0.0356372,0.0356372,0.0356372,0.0356372,0.036111,0.036111,0.036111,0.036111,0.036111,0.036111,0.036111,0.0365848,0.0365848,0.0365848,0.0365848,0.0365848,0.0365848,0.0365848
5,0.0948544,0.0471006,0.0471006,0.0471006,0.0471006,0.0471006,0.0471006,0.0471006,0.0477768,0.0477768,0.0477768,0.0477768,0.0477768,0.0477768,0.0477768,0.048453,0.048453,0.048453,0.048453,0.048453,0.048453,0.048453,0.0491292,0.0491292,0.0491292,0.0491292,0.0491292,0.0491292,0.0491292,0.0498053,0.0498053,0.0498053,0.0498053,0.0498053,0.0498053,0.0498053,0.0504815,0.0504815,0.0504815,0.0504815,0.0504815,0.0504815,0.0504815,0.0511577,0.0511577,0.0511577,0.0511577,0.0511577,0.0511577,0.0511577
6,0.11449,0.0610868,0.0610868,0.0610868,0.0610868,0.0610868,0.0610868,0.0610868,0.0619009,0.0619009,0.0619009,0.0619009,0.0619009,0.0619009,0.0619009,0.0627151,0.0627151,0.0627151,0.0627151,0.0627151,0.0627151,0.0627151,0.0635293,0.0635293,0.0635293,0.0635293,0.0635293,0.0635293,0.0635293,0.0643434,0.0643434,0.0643434,0.0643434,0.0643434,0.0643434,0.0643434,0.0651576,0.0651576,0.0651576,0.0651576,0.0651576,0.0651576,0.0651576,0.0659718,0.0659718,0.0659718,0.0659718,0.0659718,0.0659718,0.0659718
7,0.134352,0.0752124,0.0752124,0.0752124,0.0752124,0.0752124,0.0752124,0.0752124,0.0762223,0.0762223,0.0762223,0.0762223,0.0762223,0.0762223,0.0762223,0.0772497,0.0772497,0.0772497,0.0772497,0.0772497,0.0772497,0.0772497,0.078277,0.078277,0.078277,0.078277,0.078277,0.078277,0.078277,0.0793044,0.0793044,0.0793044,0.0793044,0.0793044,0.0793044,0.0793044,0.0803317,0.0803317,0.0803317,0.0803317,0.0803317,0.0803317,0.0803317,0.0813591,0.0813591,0.0813591,0.0813591,0.0813591,0.0813591,0.0813591
8,0.154445,0.0918513,0.0918513,0.0918513,0.0918513,0.0918513,0.0918513,0.0918513,0.0926012,0.0926012,0.0926012,0.0926012,0.0926012,0.0926012,0.0926012,0.0933511,0.0933511,0.0933511,0.0933511,0.0933511,0.0933511,0.0933511,0.0941011,0.0941011,0.0941011,0.0941011,0.0941011,0.0941011,0.0941011,0.094851,0.094851,0.094851,0.094851,0.094851,0.094851,0.094851,0.0956086,0.0956086,0.0956086,0.0956086,0.0956086,0.0956086,0.0956086,0.0963662,0.0963662,0.0963662,0.0963662,0.0963662,0.0963662,0.0963662
9,0.174771,0.106219,0.106219,0.106219,0.106219,0.106219,0.106219,0.106219,0.107569,0.107569,0.107569,0.107569,0.107569,0.107569,0.107569,0.108919,0.108919,0.108919,0.108919,0.108919,0.108919,0.108919,0.110269,0.110269,0.110269,0.110269,0.110269,0.110269,0.110269,0.11162,0.11162,0.11162,0.11162,0.11162,0.11162,0.11162,0.11297,0.11297,0.11297,0.11297,0.11297,0.11297,0.11297,0.11432,0.11432,0.11432,0.11432,0.11432,0.11432,0.11432
10,0.195332,0.122187,0.122187,0.122187,0.122187,0.122187,0.122187,0.122187,0.123713,0.123713,0.123713,0.123713,0.123713,0.123713,0.123713,0.125238,0.125238,0.125238,0.125238,0.125238,0.125238,0.125238,0.126764,0.126764,0.126764,0.126764,0.126764,0.126764,0.126764,0.128289,0.128289,0.128289,0.128289,0.128289,0.128289,0.128289,0.129815,0.129815,0.129815,0.129815,0.129815,0.129815,0.129815,0.13134,0.13134,0.13134,0.13134,0.13134,0.13134,0.13134
11,0.216131,0.138454,0.138454,0.138454,0.138454,0.138454,0.138454,0.138454,0.140151,0.140151,0.140151,0.140151,0.140151,0.140151,0.140151,0.141848,0.141848,0.141848,0.141848,0.141848,0.141848,0.141848,0.143545,0.143545,0.143545,0.143545,0.143545,0.143545,0.143545,0.145242,0.145242,0.145242,0.145242,0.145242,0.145242,0.145242,0.14694,0.14694,0.14694,0.14694,0.14694,0.14694,0.14694,0.148637,0.148637,0.148637,0.148637,0.148637,0.148637,0.148637
12,0.237172,0.154985,0.154985,0.154985,0.154985,0.154985,0.154985,0.154985,0.156877,0.156877,0.156877,0.156877,0.156877,0.156877,0.156877,0.15877,0.15877,0.15877,0.15877,0.15877,0.15877,0.15877,0.160662,0.160662,0.160662,0.160662,0.160662,0.160662,0.160662,0.162555,0.162555,0.162555,0.162555,0.162555,0.162555,0.162555,0.164447,0.164447,0.164447,0.164447,0.164447,0.164447,0.164447,0.16634,0.16634,0.16634,0.16634,0.16634,0.16634,0.16634
13,0.258456,0.171969,0.171969,0.171969,0.171969,0.171969,0.171969,0.171969,0.174031,0.174031,0.174031,0.174031,0.174031,0.174031,0.174031,0.176125,0.176125,0.176125,0.176125,0.176125,0.176125,0.176125,0.178236,0.178236,0.178236,0.178236,0.178236,0.178236,0.178236,0.180347,0.180347,0.180347,0.180347,0.180347,0.180347,0.180347,0.182457,0.182457,0.182457,0.182457,0.182457,0.182457,0.182457,0.184568,0.184568,0.184568,0.184568,0.184568,0.184568,0.184568
14,0.279986,0.193324,0.193324,0.193324,0.193324,0.193324,0.193324,0.193324,0.19433,0.19433,0.19433,0.19433,0.19433,0.19433,0.19433,0.195336,0.195336,0.195336,0.195336,0.195336,0.195336,0.195336,0.196346,0.196346,0.196346,0.196346,0.196346,0.196346,0.196346,0.197357,0.197357,0.197357,0.197357,0.197357,0.197357,0.197357,0.198367,0.198367,0.198367,0.198367,0.198367,0.198367,0.198367,0.199377,0.199377,0.199377,0.199377,0.199377,0.199377,0.199377
15,0.301766,0.210589,0.210589,0.210589,0.210589,0.210589,0.210589,0.210589,0.211975,0.211975,0.211975,0.211975,0.211975,0.211975,0.211975,0.213361,0.213361,0.213361,0.213361,0.213361,0.213361,0.213361,0.214747,0.214747,0.214747,0.214747,0.214747,0.214747,0.214747,0.216133,0.216133,0.216133,0.216133,0.216133,0.216133,0.216133,0.217521,0.217521,0.217521,0.217521,0.217521,0.217521,0.217521,0.218908,0.218908,0.218908,0.218908,0.218908,0.218908,0.218908
16,0.323799,0.225408,0.225408,0.225408,0.225408,0.225408,0.225408,0.225408,0.228067,0.228067,0.228067,0.228067,0.228067,0.228067,0.228067,0.230725,0.230725,0.230725,0.230725,0.230725,0.230725,0.230725,0.233384,0.233384,0.233384,0.233384,0.233384,0.233384,0.233384,0.236042,0.236042,0.236042,0.236042,0.236042,0.236042,0.236042,0.238713,0.238713,0.238713,0.238713,0.238713,0.238713,0.238713,0.241394,0.241394,0.241394,0.241394,0.241394,0.241394,0.241394
17,0.346087,0.243762,0.243762,0.243762,0.243762,0.243762,0.243762,0.243762,0.246627,0.246627,0.246627,0.246627,0.246627,0.246627,0.246627,0.249493,0.249493,0.249493,0.249493,0.249493,0.249493,0.249493,0.252358,0.252358,0.252358,0.252358,0.252358,0.252358,0.252358,0.255223,0.255223,0.255223,0.255223,0.255223,0.255223,0.255223,0.258088,0.258088,0.258088,0.258088,0.258088,0.258088,0.258088,0.260972,0.260972,0.260972,0.260972,0.260972,0.260972,0.260972
