gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368,0,0,0,0.0229975,0.0229975,0.0229975,0.0904368,0.0904368,0.0904368
1,0.0572595,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095,0.0191036,0.0191036,0.0191036,0.0740103,0.0740103,0.0740103,0.140095,0.140095,0.140095
2,0.116568,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656,0.0716011,0.0716011,0.0716011,0.123758,0.123758,0.123758,0.192656,0.192656,0.192656
3,0.177999,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973,0.122153,0.122153,0.122153,0.177194,0.177194,0.177194,0.247973,0.247973,0.247973
4,0.241629,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383,0.176968,0.176968,0.176968,0.23368,0.23368,0.23368,0.306383,0.306383,0.306383
5,0.307536,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819,0.234965,0.234965,0.234965,0.293381,0.293381,0.293381,0.367819,0.367819,0.367819
6,0.375801,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945,0.296289,0.296289,0.296289,0.356293,0.356293,0.356293,0.431945,0.431945,0.431945
7,0.44651,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877,0.36107,0.36107,0.36107,0.42221,0.42221,0.42221,0.49877,0.49877,0.49877
8,0.519749,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.551734,0.551734,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.551734,0.551734,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.551734,0.551734,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.569987,0.569987,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.569987,0.569987,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.569987,0.569987,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.588241,0.588241,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.588241,0.588241,0.568333,0.429057,0.429057,0.429057,0.491042,0.491042,0.491042,0.588241,0.588241,0.568333
9,0.595608,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.61453,0.616525,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.61453,0.616525,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.61453,0.616525,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.643274,0.643059,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.643274,0.643059,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.643274,0.643059,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.672018,0.669593,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.672018,0.669593,0.640687,0.500131,0.500131,0.500131,0.562789,0.562789,0.562789,0.672018,0.669593,0.640687
