gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135
1,0.0685139,0,0,0,0.0605206,0.0605206,0.0605206,0.161708,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.161708,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.161708,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166278,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166278,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166278,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.170849,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.170849,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.170849,0.166853,0.166853
2,0.139962,0.0322553,0.0322553,0.0322553,0.0891854,0.11174,0.11174,0.200219,0.200219,0.212628,0.0322553,0.0322553,0.0322553,0.0891854,0.11174,0.11174,0.200219,0.200219,0.212628,0.0322553,0.0322553,0.0322553,0.0891854,0.11174,0.11174,0.200219,0.200219,0.212628,0.0322553,0.0322553,0.0322553,0.108684,0.11174,0.11174,0.222598,0.222598,0.224712,0.0322553,0.0322553,0.0322553,0.108684,0.11174,0.11174,0.222598,0.222598,0.224712,0.0322553,0.0322553,0.0322553,0.108684,0.11174,0.11174,0.222598,0.222598,0.224712,0.0322553,0.0322553,0.0322553,0.128182,0.11174,0.11174,0.245315,0.245315,0.236813,0.0322553,0.0322553,0.0322553,0.128182,0.11174,0.11174,0.245315,0.245315,0.236813,0.0322553,0.0322553,0.0322553,0.128182,0.11174,0.11174,0.245315,0.245315,0.236813
3,0.214469,0.0864516,0.0864516,0.0864516,0.13278,0.167487,0.167487,0.250673,0.250673,0.258684,0.0864516,0.0864516,0.0864516,0.13278,0.167487,0.167487,0.250673,0.250673,0.258684,0.0864516,0.0864516,0.0864516,0.13278,0.167487,0.167487,0.250673,0.250673,0.258684,0.0864516,0.0864516,0.0864516,0.16516,0.167487,0.167487,0.285484,0.285484,0.285993,0.0864516,0.0864516,0.0864516,0.16516,0.167487,0.167487,0.285484,0.285484,0.285993,0.0864516,0.0864516,0.0864516,0.16516,0.167487,0.167487,0.285484,0.285484,0.285993,0.0864516,0.0864516,0.0864516,0.198331,0.167487,0.167487,0.320929,0.320929,0.314074,0.0864516,0.0864516,0.0864516,0.198331,0.167487,0.167487,0.320929,0.320929,0.314074,0.0864516,0.0864516,0.0864516,0.198331,0.167487,0.167487,0.320929,0.320929,0.314074
4,0.292166,0.13824,0.13824,0.13824,0.182461,0.229682,0.229682,0.303899,0.303899,0.303899,0.13824,0.13824,0.13824,0.182461,0.229682,0.229682,0.303899,0.303899,0.303899,0.13824,0.13824,0.13824,0.182461,0.229682,0.229682,0.303899,0.303899,0.303899,0.13824,0.13824,0.13824,0.227916,0.229682,0.229682,0.35239,0.35239,0.35239,0.13824,0.13824,0.13824,0.227916,0.229682,0.229682,0.35239,0.35239,0.35239,0.13824,0.13824,0.13824,0.227916,0.229682,0.229682,0.35239,0.35239,0.35239,0.13824,0.13824,0.13824,0.274017,0.229682,0.229682,0.401005,0.401005,0.401005,0.13824,0.13824,0.13824,0.274017,0.229682,0.229682,0.401005,0.401005,0.401005,0.13824,0.13824,0.13824,0.274017,0.229682,0.229682,0.401005,0.401005,0.401005
5,0.373191,0.201186,0.201186,0.201186,0.235512,0.294868,0.294868,0.36038,0.36038,0.36038,0.201186,0.201186,0.201186,0.235512,0.294868,0.294868,0.36038,0.36038,0.36038,0.201186,0.201186,0.201186,0.235512,0.294868,0.294868,0.36038,0.36038,0.36038,0.201186,0.201186,0.201186,0.294467,0.294868,0.294868,0.422538,0.422538,0.422538,0.201186,0.201186,0.201186,0.294467,0.294868,0.294868,0.422538,0.422538,0.422538,0.201186,0.201186,0.201186,0.294467,0.294868,0.294868,0.422538,0.422538,0.422538,0.201186,0.201186,0.201186,0.355193,0.294868,0.294868,0.485237,0.485237,0.485237,0.201186,0.201186,0.201186,0.355193,0.294868,0.294868,0.485237,0.485237,0.485237,0.201186,0.201186,0.201186,0.355193,0.294868,0.294868,0.485237,0.485237,0.485237
6,0.457685,0.267259,0.267259,0.267259,0.291508,0.364848,0.364848,0.419485,0.419485,0.419485,0.267259,0.267259,0.267259,0.291508,0.364848,0.364848,0.419485,0.419485,0.419485,0.267259,0.267259,0.267259,0.291508,0.364848,0.364848,0.419485,0.419485,0.419485,0.267259,0.267259,0.267259,0.365962,0.364848,0.364848,0.496467,0.496467,0.496467,0.267259,0.267259,0.267259,0.365962,0.364848,0.364848,0.496467,0.496467,0.496467,0.267259,0.267259,0.267259,0.365962,0.364848,0.364848,0.496467,0.496467,0.496467,0.267259,0.267259,0.267259,0.44096,0.364848,0.364848,0.574519,0.574519,0.574519,0.267259,0.267259,0.267259,0.44096,0.364848,0.364848,0.574519,0.574519,0.574519,0.267259,0.267259,0.267259,0.44096,0.364848,0.364848,0.574519,0.574519,0.574519
7,0.545798,0.338002,0.338002,0.338002,0.351705,0.439144,0.439144,0.4816,0.4816,0.4816,0.338002,0.338002,0.338002,0.351705,0.439144,0.439144,0.4816,0.4816,0.4816,0.338002,0.338002,0.338002,0.351705,0.439144,0.439144,0.4816,0.4816,0.4816,0.338002,0.338002,0.338002,0.441042,0.439144,0.439144,0.574605,0.574605,0.574605,0.338002,0.338002,0.338002,0.441042,0.439144,0.439144,0.574605,0.574605,0.574605,0.338002,0.338002,0.338002,0.441042,0.439144,0.439144,0.574605,0.574605,0.574605,0.338002,0.338002,0.338002,0.532308,0.439144,0.439144,0.668565,0.668565,0.668565,0.338002,0.338002,0.338002,0.532308,0.439144,0.439144,0.668565,0.668565,0.668565,0.338002,0.338002,0.338002,0.532308,0.439144,0.439144,0.668565,0.668565,0.668565
8,0.637684,0.413837,0.413837,0.413837,0.414824,0.517993,0.517993,0.547103,0.547103,0.547103,0.413837,0.413837,0.413837,0.414824,0.517993,0.517993,0.547103,0.547103,0.547103,0.413837,0.413837,0.413837,0.414824,0.517993,0.517993,0.547103,0.547103,0.547103,0.413837,0.413837,0.413837,0.520888,0.517993,0.517993,0.656841,0.656841,0.656841,0.413837,0.413837,0.413837,0.520888,0.517993,0.517993,0.656841,0.656841,0.656841,0.413837,0.413837,0.413837,0.520888,0.517993,0.517993,0.656841,0.656841,0.656841,0.413837,0.413837,0.413837,0.629255,0.517993,0.517993,0.766877,0.766877,0.766877,0.413837,0.413837,0.413837,0.629255,0.517993,0.517993,0.766877,0.766877,0.766877,0.413837,0.413837,0.413837,0.629255,0.517993,0.517993,0.766877,0.766877,0.766877
9,0.733504,0.494612,0.494612,0.494612,0.481379,0.601296,0.601296,0.616331,0.616331,0.616331,0.494612,0.494612,0.494612,0.481379,0.601296,0.601296,0.616331,0.616331,0.616331,0.494612,0.494612,0.494612,0.481379,0.601296,0.601296,0.616331,0.616331,0.616331,0.494612,0.494612,0.494612,0.605478,0.601296,0.601296,0.742777,0.742777,0.742777,0.494612,0.494612,0.494612,0.605478,0.601296,0.601296,0.742777,0.742777,0.742777,0.494612,0.494612,0.494612,0.605478,0.601296,0.601296,0.742777,0.742777,0.742777,0.494612,0.494612,0.494612,0.730774,0.601296,0.601296,0.869898,0.869898,0.869898,0.494612,0.494612,0.494612,0.730774,0.601296,0.601296,0.869898,0.869898,0.869898,0.494612,0.494612,0.494612,0.730774,0.601296,0.601296,0.869898,0.869898,0.869898
10,0.833427,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304
11,0.937629,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216
