gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135
1,0.0685139,0,0,0,0.0527486,0.0605206,0.0605206,0.157096,0.160003,0.161611,0,0,0,0.0527486,0.0605206,0.0605206,0.157096,0.160003,0.161611,0,0,0,0.0527486,0.0605206,0.0605206,0.157096,0.160003,0.161611,0,0,0,0.0596631,0.0605206,0.0605206,0.166656,0.167175,0.167271,0,0,0,0.0596631,0.0605206,0.0605206,0.166656,0.167175,0.167271,0,0,0,0.0596631,0.0605206,0.0605206,0.166656,0.167175,0.167271,0,0,0,0.0665776,0.0605206,0.0605206,0.176216,0.174347,0.172931,0,0,0,0.0665776,0.0605206,0.0605206,0.176216,0.174347,0.172931,0,0,0,0.0665776,0.0605206,0.0605206,0.176216,0.174347,0.172931
2,0.139962,0.0322553,0.0322553,0.0322553,0.0919663,0.11174,0.11174,0.203046,0.203046,0.208163,0.0322553,0.0322553,0.0322553,0.0919663,0.11174,0.11174,0.203046,0.203046,0.208163,0.0322553,0.0322553,0.0322553,0.0919663,0.11174,0.11174,0.203046,0.203046,0.208163,0.0322553,0.0322553,0.0322553,0.111325,0.11174,0.11174,0.225437,0.225437,0.225857,0.0322553,0.0322553,0.0322553,0.111325,0.11174,0.11174,0.225437,0.225437,0.225857,0.0322553,0.0322553,0.0322553,0.111325,0.11174,0.11174,0.225437,0.225437,0.225857,0.0322553,0.0322553,0.0322553,0.130683,0.11174,0.11174,0.24803,0.24803,0.24364,0.0322553,0.0322553,0.0322553,0.130683,0.11174,0.11174,0.24803,0.24803,0.24364,0.0322553,0.0322553,0.0322553,0.130683,0.11174,0.11174,0.24803,0.24803,0.24364
3,0.214469,0.0864516,0.0864516,0.0864516,0.135248,0.167487,0.167487,0.253358,0.253358,0.253358,0.0864516,0.0864516,0.0864516,0.135248,0.167487,0.167487,0.253358,0.253358,0.253358,0.0864516,0.0864516,0.0864516,0.135248,0.167487,0.167487,0.253358,0.253358,0.253358,0.0864516,0.0864516,0.0864516,0.167822,0.167487,0.167487,0.287978,0.287978,0.287978,0.0864516,0.0864516,0.0864516,0.167822,0.167487,0.167487,0.287978,0.287978,0.287978,0.0864516,0.0864516,0.0864516,0.167822,0.167487,0.167487,0.287978,0.287978,0.287978,0.0864516,0.0864516,0.0864516,0.200947,0.167487,0.167487,0.323399,0.323399,0.323399,0.0864516,0.0864516,0.0864516,0.200947,0.167487,0.167487,0.323399,0.323399,0.323399,0.0864516,0.0864516,0.0864516,0.200947,0.167487,0.167487,0.323399,0.323399,0.323399
4,0.292166,0.13824,0.13824,0.13824,0.185099,0.223624,0.229682,0.3064,0.3064,0.3064,0.13824,0.13824,0.13824,0.185099,0.223624,0.229682,0.3064,0.3064,0.3064,0.13824,0.13824,0.13824,0.185099,0.223624,0.229682,0.3064,0.3064,0.3064,0.13824,0.13824,0.13824,0.230483,0.229994,0.229682,0.354804,0.354804,0.354804,0.13824,0.13824,0.13824,0.230483,0.229994,0.229682,0.354804,0.354804,0.354804,0.13824,0.13824,0.13824,0.230483,0.229994,0.229682,0.354804,0.354804,0.354804,0.13824,0.13824,0.13824,0.276349,0.236364,0.229682,0.403388,0.403388,0.403388,0.13824,0.13824,0.13824,0.276349,0.236364,0.229682,0.403388,0.403388,0.403388,0.13824,0.13824,0.13824,0.276349,0.236364,0.229682,0.403388,0.403388,0.403388
5,0.373191,0.201186,0.201186,0.201186,0.23804,0.292007,0.294868,0.362779,0.362779,0.362779,0.201186,0.201186,0.201186,0.23804,0.292007,0.294868,0.362779,0.362779,0.362779,0.201186,0.201186,0.201186,0.23804,0.292007,0.294868,0.362779,0.362779,0.362779,0.201186,0.201186,0.201186,0.296789,0.295006,0.294868,0.424916,0.424916,0.424916,0.201186,0.201186,0.201186,0.296789,0.295006,0.294868,0.424916,0.424916,0.424916,0.201186,0.201186,0.201186,0.296789,0.295006,0.294868,0.424916,0.424916,0.424916,0.201186,0.201186,0.201186,0.357519,0.298011,0.294868,0.487598,0.487598,0.487598,0.201186,0.201186,0.201186,0.357519,0.298011,0.294868,0.487598,0.487598,0.487598,0.201186,0.201186,0.201186,0.357519,0.298011,0.294868,0.487598,0.487598,0.487598
6,0.457685,0.267259,0.267259,0.267259,0.293809,0.357287,0.364848,0.421863,0.421863,0.421863,0.267259,0.267259,0.267259,0.293809,0.357287,0.364848,0.421863,0.421863,0.421863,0.267259,0.267259,0.267259,0.293809,0.357287,0.364848,0.421863,0.421863,0.421863,0.267259,0.267259,0.267259,0.368289,0.36541,0.364848,0.498808,0.498808,0.498808,0.267259,0.267259,0.267259,0.368289,0.36541,0.364848,0.498808,0.498808,0.498808,0.267259,0.267259,0.267259,0.368289,0.36541,0.364848,0.498808,0.498808,0.498808,0.267259,0.267259,0.267259,0.443332,0.37354,0.364848,0.57674,0.57674,0.57674,0.267259,0.267259,0.267259,0.443332,0.37354,0.364848,0.57674,0.57674,0.57674,0.267259,0.267259,0.267259,0.443332,0.37354,0.364848,0.57674,0.57674,0.57674
7,0.545798,0.338002,0.338002,0.338002,0.354031,0.423429,0.439144,0.483967,0.483967,0.483967,0.338002,0.338002,0.338002,0.354031,0.423429,0.439144,0.483967,0.483967,0.483967,0.338002,0.338002,0.338002,0.354031,0.423429,0.439144,0.483967,0.483967,0.483967,0.338002,0.338002,0.338002,0.443414,0.440511,0.439144,0.576825,0.576825,0.576825,0.338002,0.338002,0.338002,0.443414,0.440511,0.439144,0.576825,0.576825,0.576825,0.338002,0.338002,0.338002,0.443414,0.440511,0.439144,0.576825,0.576825,0.576825,0.338002,0.338002,0.338002,0.534523,0.457593,0.439144,0.670622,0.670622,0.670622,0.338002,0.338002,0.338002,0.534523,0.457593,0.439144,0.670622,0.670622,0.670622,0.338002,0.338002,0.338002,0.534523,0.457593,0.439144,0.670622,0.670622,0.670622
8,0.637684,0.413837,0.413837,0.413837,0.417186,0.483473,0.517993,0.549388,0.549388,0.549388,0.413837,0.413837,0.413837,0.417186,0.483473,0.517993,0.549388,0.549388,0.549388,0.413837,0.413837,0.413837,0.417186,0.483473,0.517993,0.549388,0.549388,0.549388,0.413837,0.413837,0.413837,0.523136,0.520918,0.517993,0.658907,0.658907,0.658907,0.413837,0.413837,0.413837,0.523136,0.520918,0.517993,0.658907,0.658907,0.658907,0.413837,0.413837,0.413837,0.523136,0.520918,0.517993,0.658907,0.658907,0.658907,0.413837,0.413837,0.413837,0.631309,0.558508,0.517993,0.768903,0.768903,0.768903,0.413837,0.413837,0.413837,0.631309,0.558508,0.517993,0.768903,0.768903,0.768903,0.413837,0.413837,0.413837,0.631309,0.558508,0.517993,0.768903,0.768903,0.768903
9,0.733504,0.494612,0.494612,0.494612,0.48374,0.555261,0.601296,0.618453,0.618453,0.618453,0.494612,0.494612,0.494612,0.48374,0.555261,0.601296,0.618453,0.618453,0.618453,0.494612,0.494612,0.494612,0.48374,0.555261,0.601296,0.618453,0.618453,0.618453,0.494612,0.494612,0.494612,0.607578,0.604998,0.601296,0.744795,0.744795,0.744795,0.494612,0.494612,0.494612,0.607578,0.604998,0.601296,0.744795,0.744795,0.744795,0.494612,0.494612,0.494612,0.607578,0.604998,0.601296,0.744795,0.744795,0.744795,0.494612,0.494612,0.494612,0.732839,0.654873,0.601296,0.871904,0.871904,0.871904,0.494612,0.494612,0.494612,0.732839,0.654873,0.601296,0.871904,0.871904,0.871904,0.494612,0.494612,0.494612,0.732839,0.654873,0.601296,0.871904,0.871904,0.871904
