gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852,0,0,0,0.0128099,0.0128099,0.0128099,0.111852,0.111852,0.111852
1,0.0426828,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534,0,0,0,0.0445603,0.0445603,0.0445603,0.145534,0.145534,0.145534
2,0.0865042,0,0,0,0.0709855,0.0727615,0.0727615,0.167981,0.177092,0.180733,0,0,0,0.0709855,0.0727615,0.0727615,0.167981,0.177092,0.180733,0,0,0,0.0709855,0.0727615,0.0727615,0.167981,0.177092,0.180733,0,0,0,0.0723913,0.0727615,0.0727615,0.17869,0.180369,0.180733,0,0,0,0.0723913,0.0727615,0.0727615,0.17869,0.180369,0.180733,0,0,0,0.0723913,0.0727615,0.0727615,0.17869,0.180369,0.180733,0,0,0,0.0737971,0.0727615,0.0727615,0.189567,0.183654,0.180733,0,0,0,0.0737971,0.0727615,0.0727615,0.189567,0.183654,0.180733,0,0,0,0.0737971,0.0727615,0.0727615,0.189567,0.183654,0.180733
3,0.131495,0.0322203,0.0322203,0.0322203,0.0854964,0.104038,0.104038,0.194138,0.196169,0.213725,0.0322203,0.0322203,0.0322203,0.0854964,0.104038,0.104038,0.194138,0.196169,0.213725,0.0322203,0.0322203,0.0322203,0.0854964,0.104038,0.104038,0.194138,0.196169,0.213725,0.0322203,0.0322203,0.0322203,0.101623,0.104038,0.104038,0.215177,0.215482,0.217262,0.0322203,0.0322203,0.0322203,0.101623,0.104038,0.104038,0.215177,0.215482,0.217262,0.0322203,0.0322203,0.0322203,0.101623,0.104038,0.104038,0.215177,0.215482,0.217262,0.0322203,0.0322203,0.0322203,0.1179,0.104038,0.104038,0.23635,0.234952,0.2208,0.0322203,0.0322203,0.0322203,0.1179,0.104038,0.104038,0.23635,0.234952,0.2208,0.0322203,0.0322203,0.0322203,0.1179,0.104038,0.104038,0.23635,0.234952,0.2208
4,0.177685,0.0616901,0.0616901,0.0616901,0.110005,0.138604,0.138604,0.22518,0.22518,0.231481,0.0616901,0.0616901,0.0616901,0.110005,0.138604,0.138604,0.22518,0.22518,0.231481,0.0616901,0.0616901,0.0616901,0.110005,0.138604,0.138604,0.22518,0.22518,0.231481,0.0616901,0.0616901,0.0616901,0.135891,0.138604,0.138604,0.253949,0.253949,0.254551,0.0616901,0.0616901,0.0616901,0.135891,0.138604,0.138604,0.253949,0.253949,0.254551,0.0616901,0.0616901,0.0616901,0.135891,0.138604,0.138604,0.253949,0.253949,0.254551,0.0616901,0.0616901,0.0616901,0.162951,0.138604,0.138604,0.282766,0.282766,0.277639,0.0616901,0.0616901,0.0616901,0.162951,0.138604,0.138604,0.282766,0.282766,0.277639,0.0616901,0.0616901,0.0616901,0.162951,0.138604,0.138604,0.282766,0.282766,0.277639
5,0.225108,0.0908299,0.0908299,0.0908299,0.139164,0.175337,0.175337,0.257428,0.257428,0.260246,0.0908299,0.0908299,0.0908299,0.139164,0.175337,0.175337,0.257428,0.257428,0.260246,0.0908299,0.0908299,0.0908299,0.139164,0.175337,0.175337,0.257428,0.257428,0.260246,0.0908299,0.0908299,0.0908299,0.173446,0.175337,0.175337,0.293984,0.293984,0.294277,0.0908299,0.0908299,0.0908299,0.173446,0.175337,0.175337,0.293984,0.293984,0.294277,0.0908299,0.0908299,0.0908299,0.173446,0.175337,0.175337,0.293984,0.293984,0.294277,0.0908299,0.0908299,0.0908299,0.208109,0.175337,0.175337,0.330848,0.330848,0.328499,0.0908299,0.0908299,0.0908299,0.208109,0.175337,0.175337,0.330848,0.330848,0.328499,0.0908299,0.0908299,0.0908299,0.208109,0.175337,0.175337,0.330848,0.330848,0.328499
6,0.273796,0.125224,0.125224,0.125224,0.170306,0.213816,0.213816,0.290628,0.290628,0.290628,0.125224,0.125224,0.125224,0.170306,0.213816,0.213816,0.290628,0.290628,0.290628,0.125224,0.125224,0.125224,0.170306,0.213816,0.213816,0.290628,0.290628,0.290628,0.125224,0.125224,0.125224,0.212438,0.213816,0.213816,0.335563,0.335563,0.335563,0.125224,0.125224,0.125224,0.212438,0.213816,0.213816,0.335563,0.335563,0.335563,0.125224,0.125224,0.125224,0.212438,0.213816,0.213816,0.335563,0.335563,0.335563,0.125224,0.125224,0.125224,0.255223,0.213816,0.213816,0.381499,0.381499,0.381499,0.125224,0.125224,0.125224,0.255223,0.213816,0.213816,0.381499,0.381499,0.381499,0.125224,0.125224,0.125224,0.255223,0.213816,0.213816,0.381499,0.381499,0.381499
7,0.323783,0.16241,0.16241,0.16241,0.20259,0.253562,0.253562,0.324837,0.324837,0.324837,0.16241,0.16241,0.16241,0.20259,0.253562,0.253562,0.324837,0.324837,0.324837,0.16241,0.16241,0.16241,0.20259,0.253562,0.253562,0.324837,0.324837,0.324837,0.16241,0.16241,0.16241,0.253044,0.253562,0.253562,0.379191,0.379191,0.379191,0.16241,0.16241,0.16241,0.253044,0.253562,0.253562,0.379191,0.379191,0.379191,0.16241,0.16241,0.16241,0.253044,0.253562,0.253562,0.379191,0.379191,0.379191,0.16241,0.16241,0.16241,0.304248,0.253562,0.253562,0.433155,0.433155,0.433155,0.16241,0.16241,0.16241,0.304248,0.253562,0.253562,0.433155,0.433155,0.433155,0.16241,0.16241,0.16241,0.304248,0.253562,0.253562,0.433155,0.433155,0.433155
8,0.375103,0.201608,0.201608,0.201608,0.236035,0.295224,0.295224,0.361044,0.361044,0.361044,0.201608,0.201608,0.201608,0.236035,0.295224,0.295224,0.361044,0.361044,0.361044,0.201608,0.201608,0.201608,0.236035,0.295224,0.295224,0.361044,0.361044,0.361044,0.201608,0.201608,0.201608,0.295208,0.295224,0.295224,0.42363,0.42363,0.42363,0.201608,0.201608,0.201608,0.295208,0.295224,0.295224,0.42363,0.42363,0.42363,0.201608,0.201608,0.201608,0.295208,0.295224,0.295224,0.42363,0.42363,0.42363,0.201608,0.201608,0.201608,0.356286,0.295224,0.295224,0.486694,0.486694,0.486694,0.201608,0.201608,0.201608,0.356286,0.295224,0.295224,0.486694,0.486694,0.486694,0.201608,0.201608,0.201608,0.356286,0.295224,0.295224,0.486694,0.486694,0.486694
9,0.427792,0.242284,0.242284,0.242284,0.27081,0.339045,0.339045,0.398017,0.398017,0.398017,0.242284,0.242284,0.242284,0.27081,0.339045,0.339045,0.398017,0.398017,0.398017,0.242284,0.242284,0.242284,0.27081,0.339045,0.339045,0.398017,0.398017,0.398017,0.242284,0.242284,0.242284,0.339448,0.339045,0.339045,0.469621,0.469621,0.469621,0.242284,0.242284,0.242284,0.339448,0.339045,0.339045,0.469621,0.469621,0.469621,0.242284,0.242284,0.242284,0.339448,0.339045,0.339045,0.469621,0.469621,0.469621,0.242284,0.242284,0.242284,0.410209,0.339045,0.339045,0.542558,0.542558,0.542558,0.242284,0.242284,0.242284,0.410209,0.339045,0.339045,0.542558,0.542558,0.542558,0.242284,0.242284,0.242284,0.410209,0.339045,0.339045,0.542558,0.542558,0.542558
10,0.481887,0.284626,0.284626,0.284626,0.306865,0.384616,0.384616,0.435922,0.435922,0.435922,0.284626,0.284626,0.284626,0.306865,0.384616,0.384616,0.435922,0.435922,0.435922,0.284626,0.284626,0.284626,0.306865,0.384616,0.384616,0.435922,0.435922,0.435922,0.284626,0.284626,0.284626,0.386139,0.384616,0.384616,0.517507,0.517507,0.517507,0.284626,0.284626,0.284626,0.386139,0.384616,0.384616,0.517507,0.517507,0.517507,0.284626,0.284626,0.284626,0.386139,0.384616,0.384616,0.517507,0.517507,0.517507,0.284626,0.284626,0.284626,0.465581,0.384616,0.384616,0.599883,0.599883,0.599883,0.284626,0.284626,0.284626,0.465581,0.384616,0.384616,0.599883,0.599883,0.599883,0.284626,0.284626,0.284626,0.465581,0.384616,0.384616,0.599883,0.599883,0.599883
11,0.537425,0.329953,0.329953,0.329953,0.344887,0.431688,0.431688,0.475109,0.475109,0.475109,0.329953,0.329953,0.329953,0.344887,0.431688,0.431688,0.475109,0.475109,0.475109,0.329953,0.329953,0.329953,0.344887,0.431688,0.431688,0.475109,0.475109,0.475109,0.329953,0.329953,0.329953,0.43363,0.431688,0.431688,0.566879,0.566879,0.566879,0.329953,0.329953,0.329953,0.43363,0.431688,0.431688,0.566879,0.566879,0.566879,0.329953,0.329953,0.329953,0.43363,0.431688,0.431688,0.566879,0.566879,0.566879,0.329953,0.329953,0.329953,0.523437,0.431688,0.431688,0.658785,0.658785,0.658785,0.329953,0.329953,0.329953,0.523437,0.431688,0.431688,0.658785,0.658785,0.658785,0.329953,0.329953,0.329953,0.523437,0.431688,0.431688,0.658785,0.658785,0.658785
12,0.594445,0.377423,0.377423,0.377423,0.384636,0.480425,0.480425,0.515943,0.515943,0.515943,0.377423,0.377423,0.377423,0.384636,0.480425,0.480425,0.515943,0.515943,0.515943,0.377423,0.377423,0.377423,0.384636,0.480425,0.480425,0.515943,0.515943,0.515943,0.377423,0.377423,0.377423,0.48271,0.480425,0.480425,0.617559,0.617559,0.617559,0.377423,0.377423,0.377423,0.48271,0.480425,0.480425,0.617559,0.617559,0.617559,0.377423,0.377423,0.377423,0.48271,0.480425,0.480425,0.617559,0.617559,0.617559,0.377423,0.377423,0.377423,0.583174,0.480425,0.480425,0.71973,0.71973,0.71973,0.377423,0.377423,0.377423,0.583174,0.480425,0.480425,0.71973,0.71973,0.71973,0.377423,0.377423,0.377423,0.583174,0.480425,0.480425,0.71973,0.71973,0.71973
13,0.652986,0.426257,0.426257,0.426257,0.425033,0.530979,0.530979,0.557979,0.557979,0.557979,0.426257,0.426257,0.426257,0.425033,0.530979,0.530979,0.557979,0.557979,0.557979,0.426257,0.426257,0.426257,0.425033,0.530979,0.530979,0.557979,0.557979,0.557979,0.426257,0.426257,0.426257,0.53417,0.530979,0.530979,0.669718,0.669718,0.669718,0.426257,0.426257,0.426257,0.53417,0.530979,0.530979,0.669718,0.669718,0.669718,0.426257,0.426257,0.426257,0.53417,0.530979,0.530979,0.669718,0.669718,0.669718,0.426257,0.426257,0.426257,0.644585,0.530979,0.530979,0.782839,0.782839,0.782839,0.426257,0.426257,0.426257,0.644585,0.530979,0.530979,0.782839,0.782839,0.782839,0.426257,0.426257,0.426257,0.644585,0.530979,0.530979,0.782839,0.782839,0.782839
14,0.713088,0.476829,0.476829,0.476829,0.466783,0.58314,0.58314,0.601125,0.601125,0.601125,0.476829,0.476829,0.476829,0.466783,0.58314,0.58314,0.601125,0.601125,0.601125,0.476829,0.476829,0.476829,0.466783,0.58314,0.58314,0.601125,0.601125,0.601125,0.476829,0.476829,0.476829,0.586975,0.58314,0.58314,0.723642,0.723642,0.723642,0.476829,0.476829,0.476829,0.586975,0.58314,0.58314,0.723642,0.723642,0.723642,0.476829,0.476829,0.476829,0.586975,0.58314,0.58314,0.723642,0.723642,0.723642,0.476829,0.476829,0.476829,0.708215,0.58314,0.58314,0.84768,0.84768,0.84768,0.476829,0.476829,0.476829,0.708215,0.58314,0.58314,0.84768,0.84768,0.84768,0.476829,0.476829,0.476829,0.708215,0.58314,0.58314,0.84768,0.84768,0.84768
