gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0.015531,0.0155312,0.0155314,0.0155316,0.0155319,0.015532,0.0155323
2,0.0372875,0.0335571,0.0335574,0.0335578,0.0335582,0.0335586,0.033559,0.0335593
3,0.0562558,0.0518401,0.0518406,0.0518412,0.0518418,0.0518423,0.0518429,0.0518434
4,0.0754439,0.070445,0.0704458,0.0704466,0.0704473,0.0704481,0.0704488,0.0704496
5,0.0948544,0.0893385,0.0893394,0.0893404,0.0893413,0.0893423,0.0893432,0.0893442
6,0.11449,0.108505,0.108506,0.108507,0.108508,0.108509,0.10851,0.108511
7,0.134352,0.127935,0.127936,0.127937,0.127939,0.12794,0.127941,0.127943
8,0.154445,0.147623,0.147625,0.147627,0.147628,0.14763,0.147631,0.147633
9,0.174771,0.167568,0.16757,0.167572,0.167573,0.167575,0.167577,0.167579
10,0.195332,0.187768,0.18777,0.187772,0.187774,0.187775,0.187777,0.187779
11,0.216131,0.208221,0.208224,0.208226,0.208228,0.20823,0.208232,0.208234
12,0.237172,0.22893,0.228932,0.228935,0.228937,0.228939,0.228942,0.228944
13,0.258456,0.249894,0.249896,0.249899,0.249901,0.249904,0.249906,0.249909
14,0.279986,0.271114,0.271117,0.27112,0.271122,0.271125,0.271128,0.271131
15,0.301766,0.292593,0.292596,0.292599,0.292602,0.292605,0.292608,0.292611
16,0.323799,0.314332,0.314335,0.314338,0.314341,0.314344,0.314348,0.314351
17,0.346087,0.336332,0.336336,0.336339,0.336343,0.336346,0.336349,0.336353
18,0.368632,0.358597,0.358601,0.358605,0.358608,0.358612,0.358615,0.358619
19,0.391439,0.381128,0.381132,0.381136,0.38114,0.381144,0.381148,0.381152
20,0.414511,0.403929,0.403933,0.403937,0.403941,0.403945,0.403949,0.403953
21,0.437849,0.427,0.427004,0.427009,0.427013,0.427017,0.427022,0.427026
22,0.461458,0.450345,0.45035,0.450355,0.450359,0.450364,0.450368,0.450373
23,0.485341,0.473967,0.473972,0.473977,0.473982,0.473987,0.473991,0.473996
24,0.5095,0.497869,0.497874,0.497879,0.497884,0.497889,0.497894,0.497899
25,0.533939,0.522053,0.522058,0.522063,0.522069,0.522074,0.522079,0.522084
26,0.558661,0.546522,0.546527,0.546533,0.546538,0.546544,0.546549,0.546555
27,0.58367,0.571279,0.571285,0.571291,0.571296,0.571302,0.571308,0.571314
28,0.608968,0.596327,0.596334,0.59634,0.596346,0.596352,0.596358,0.596364
29,0.634559,0.62167,0.621677,0.621683,0.621689,0.621696,0.621702,0.621708
30,0.660447,0.647311,0.647317,0.647324,0.647331,0.647337,0.647344,0.64735
31,0.686635,0.673252,0.673259,0.673266,0.673273,0.673279,0.673286,0.673293
32,0.713126,0.699497,0.699504,0.699512,0.699519,0.699526,0.699533,0.69954
33,0.739924,0.72605,0.726057,0.726065,0.726072,0.72608,0.726087,0.726094
34,0.767033,0.752914,0.752921,0.752929,0.752936,0.752944,0.752952,0.752959
35,0.794456,0.780091,0.780099,0.780107,0.780115,0.780123,0.780131,0.780139
36,0.822196,0.807587,0.807595,0.807603,0.807611,0.80762,0.807628,0.807636
37,0.850258,0.835404,0.835412,0.835421,0.835429,0.835437,0.835446,0.835454
38,0.878644,0.863545,0.863554,0.863563,0.863571,0.86358,0.863589,0.863597
39,0.90736,0.892015,0.892024,0.892033,0.892042,0.892051,0.89206,0.892069
40,0.936408,0.920818,0.920827,0.920836,0.920845,0.920855,0.920864,0.920873
41,0.965793,0.949956,0.949965,0.949975,0.949984,0.949994,0.950004,0.950013
42,0.995519,0.979434,0.979444,0.979453,0.979463,0.979473,0.979483,0.979493
43,1.02559,1.00926,1.00927,1.00928,1.00929,1.0093,1.00931,1.00932
44,1.05601,1.03942,1.03943,1.03944,1.03946,1.03947,1.03948,1.03949
45,1.08678,1.06994,1.06996,1.06997,1.06998,1.06999,1.07,1.07001
46,1.1179,1.10082,1.10083,1.10084,1.10085,1.10086,1.10088,1.10089
47,1.14939,1.13206,1.13207,1.13208,1.13209,1.1321,1.13211,1.13212
48,1.18124,1.16365,1.16367,1.16368,1.16369,1.1637,1.16371,1.16372
49,1.21346,1.19562,1.19563,1.19564,1.19566,1.19567,1.19568,1.19569
50,1.24606,1.22796,1.22797,1.22798,1.228,1.22801,1.22802,1.22803
51,1.27903,1.26067,1.26068,1.2607,1.26071,1.26072,1.26074,1.26075
52,1.31239,1.29377,1.29378,1.29379,1.29381,1.29382,1.29383,1.29384
53,1.34613,1.32725,1.32726,1.32727,1.32729,1.3273,1.32731,1.32733
54,1.38026,1.36111,1.36113,1.36114,1.36116,1.36117,1.36118,1.3612
55,1.41479,1.39538,1.39539,1.3954,1.39542,1.39543,1.39545,1.39546
56,1.44971,1.43004,1.43005,1.43007,1.43008,1.43009,1.43011,1.43012
57,1.48504,1.4651,1.46511,1.46513,1.46514,1.46516,1.46517,1.46519
58,1.52078,1.50057,1.50058,1.5006,1.50062,1.50063,1.50065,1.50066
59,1.55694,1.53645,1.53647,1.53648,1.5365,1.53651,1.53653,1.53654
60,1.59351,1.57275,1.57277,1.57278,1.5728,1.57281,1.57283,1.57285
61,1.63051,1.60947,1.60949,1.6095,1.60952,1.60954,1.60955,1.60957
62,1.66794,1.64662,1.64663,1.64665,1.64667,1.64668,1.6467,1.64672
63,1.7058,1.6842,1.68421,1.68423,1.68425,1.68426,1.68428,1.6843
64,1.7441,1.72221,1.72223,1.72224,1.72226,1.72228,1.7223,1.72231
65,1.78284,1.76067,1.76068,1.7607,1.76072,1.76074,1.76075,1.76077
66,1.82203,1.79957,1.79959,1.7996,1.79962,1.79964,1.79966,1.79968
67,1.86167,1.83892,1.83894,1.83896,1.83898,1.83899,1.83901,1.83903
68,1.90178,1.87873,1.87875,1.87877,1.87879,1.87881,1.87883,1.87884
69,1.94235,1.919,1.91902,1.91904,1.91906,1.91908,1.9191,1.91912
70,1.98339,1.95974,1.95976,1.95978,1.9598,1.95982,1.95984,1.95986
71,2.0249,2.00095,2.00097,2.00099,2.00101,2.00103,2.00105,2.00107
72,2.0669,2.04264,2.04266,2.04268,2.0427,2.04273,2.04275,2.04277
73,2.10938,2.08482,2.08484,2.08486,2.08488,2.0849,2.08492,2.08494
74,2.15235,2.12748,2.1275,2.12752,2.12754,2.12756,2.12759,2.12761
75,2.19582,2.17064,2.17066,2.17068,2.1707,2.17072,2.17075,2.17077
76,2.2398,2.2143,2.21432,2.21434,2.21436,2.21438,2.21441,2.21443
77,2.28428,2.25846,2.25848,2.2585,2.25853,2.25855,2.25857,2.2586
78,2.32928,2.30314,2.30316,2.30318,2.30321,2.30323,2.30325,2.30327
79,2.37481,2.34833,2.34835,2.34838,2.3484,2.34842,2.34845,2.34847
80,2.42085,2.39405,2.39407,2.3941,2.39412,2.39415,2.39417,2.39419
81,2.46744,2.4403,2.44032,2.44035,2.44037,2.4404,2.44042,2.44044
82,2.51456,2.48708,2.48711,2.48713,2.48716,2.48718,2.48721,2.48723
83,2.56223,2.53441,2.53444,2.53446,2.53449,2.53451,2.53454,2.53456
84,2.61045,2.58229,2.58231,2.58234,2.58236,2.58239,2.58242,2.58244
85,2.65923,2.63072,2.63075,2.63077,2.6308,2.63082,2.63085,2.63088
86,2.70857,2.67971,2.67974,2.67977,2.67979,2.67982,2.67985,2.67987
87,2.75849,2.72927,2.7293,2.72933,2.72935,2.72938,2.72941,2.72944
88,2.80898,2.77941,2.77944,2.77946,2.77949,2.77952,2.77955,2.77957
89,2.86006,2.83012,2.83015,2.83018,2.83021,2.83024,2.83027,2.83029
90,2.91173,2.88143,2.88146,2.88149,2.88152,2.88154,2.88157,2.8816
91,2.964,2.93333,2.93336,2.93339,2.93342,2.93345,2.93347,2.9335
92,3.01688,2.98583,2.98586,2.98589,2.98592,2.98595,2.98598,2.98601
93,3.07036,3.03894,3.03897,3.039,3.03903,3.03906,3.03909,3.03912
94,3.12447,3.09266,3.09269,3.09272,3.09276,3.09279,3.09282,3.09285
95,3.1792,3.14701,3.14704,3.14707,3.1471,3.14714,3.14717,3.1472
96,3.23457,3.20199,3.20202,3.20205,3.20208,3.20212,3.20215,3.20218
97,3.29058,3.2576,3.25764,3.25767,3.2577,3.25773,3.25777,3.2578
98,3.34724,3.31386,3.3139,3.31393,3.31396,3.31399,3.31403,3.31406
99,3.40456,3.37077,3.37081,3.37084,3.37087,3.37091,3.37094,3.37098
100,3.46253,3.42834,3.42838,3.42841,3.42845,3.42848,3.42852,3.42855
101,3.52119,3.48658,3.48662,3.48665,3.48669,3.48672,3.48676,3.48679
102,3.58052,3.5455,3.54553,3.54557,3.5456,3.54564,3.54567,3.54571
103,3.64053,3.60509,3.60513,3.60516,3.6052,3.60524,3.60527,3.60531
104,3.70125,3.66538,3.66541,3.66545,3.66549,3.66552,3.66556,3.6656
105,3.76266,3.72636,3.7264,3.72644,3.72647,3.72651,3.72655,3.72659
106,3.82479,3.78805,3.78809,3.78813,3.78817,3.78821,3.78824,3.78828
107,3.88764,3.85046,3.8505,3.85054,3.85058,3.85062,3.85065,3.85069
108,3.95121,3.91359,3.91363,3.91367,3.91371,3.91375,3.91379,3.91383
109,4.01552,3.97745,3.97749,3.97753,3.97757,3.97761,3.97765,3.97769
110,4.08058,4.04205,4.04209,4.04213,4.04217,4.04222,4.04226,4.0423
111,4.14639,4.1074,4.10744,4.10749,4.10753,4.10757,4.10761,4.10765
112,4.21297,4.17351,4.17355,4.17359,4.17364,4.17368,4.17372,4.17376
113,4.28031,4.24038,4.24043,4.24047,4.24051,4.24055,4.2406,4.24064
114,4.34843,4.30803,4.30808,4.30812,4.30816,4.3082,4.30825,4.30829
115,4.41735,4.37646,4.37651,4.37655,4.3766,4.37664,4.37668,4.37673
116,4.48706,4.44569,4.44573,4.44578,4.44582,4.44587,4.44591,4.44596
117,4.55758,4.51572,4.51576,4.51581,4.51585,4.5159,4.51594,4.51599
118,4.62892,4.58656,4.5866,4.58665,4.58669,4.58674,4.58678,4.58683
119,4.70108,4.65821,4.65826,4.65831,4.65835,4.6584,4.65845,4.65849
120,4.77408,4.7307,4.73075,4.7308,4.73085,4.73089,4.73094,4.73099
121,4.84793,4.80403,4.80408,4.80413,4.80418,4.80423,4.80427,4.80432
122,4.92263,4.87821,4.87826,4.87831,4.87836,4.87841,4.87846,4.87851
123,4.99819,4.95325,4.9533,4.95335,4.9534,4.95345,4.9535,4.95355
124,5.07463,5.02916,5.02921,5.02926,5.02931,5.02936,5.02941,5.02946
125,5.15196,5.10595,5.106,5.10605,5.1061,5.10615,5.1062,5.10625
126,5.23019,5.18363,5.18368,5.18373,5.18378,5.18383,5.18388,5.18394
127,5.30931,5.2622,5.26226,5.26231,5.26236,5.26241,5.26247,5.26252
128,5.38936,5.34169,5.34174,5.3418,5.34185,5.3419,5.34196,5.34201
129,5.47033,5.4221,5.42215,5.42221,5.42226,5.42232,5.42237,5.42242
130,5.55225,5.50344,5.5035,5.50355,5.50361,5.50366,5.50372,5.50377
131,5.63511,5.58572,5.58578,5.58584,5.58589,5.58595,5.586,5.58606
132,5.71893,5.66896,5.66902,5.66907,5.66913,5.66919,5.66924,5.6693
133,5.80372,5.75316,5.75322,5.75328,5.75333,5.75339,5.75345,5.75351
134,5.88949,5.83834,5.8384,5.83845,5.83851,5.83857,5.83863,5.83869
135,5.97626,5.9245,5.92456,5.92462,5.92468,5.92474,5.9248,5.92486
136,6.06403,6.01166,6.01172,6.01178,6.01184,6.0119,6.01196,6.01202
137,6.15282,6.09983,6.09989,6.09995,6.10002,6.10008,6.10014,6.1002
138,6.24264,6.18903,6.18909,6.18915,6.18921,6.18927,6.18933,6.1894
139,6.3335,6.27925,6.27931,6.27938,6.27944,6.2795,6.27957,6.27963
140,6.42541,6.37052,6.37059,6.37065,6.37071,6.37078,6.37084,6.37091
141,6.51839,6.46285,6.46292,6.46298,6.46305,6.46311,6.46318,6.46324
142,6.61244,6.55625,6.55632,6.55638,6.55645,6.55651,6.55658,6.55664
143,6.70758,6.65073,6.6508,6.65087,6.65093,6.651,6.65106,6.65113
144,6.80383,6.74631,6.74638,6.74644,6.74651,6.74658,6.74664,6.74671
145,6.90119,6.84299,6.84306,6.84313,6.8432,6.84326,6.84333,6.8434
146,6.99968,6.94079,6.94086,6.94093,6.941,6.94107,6.94114,6.94121
147,7.0993,7.03973,7.0398,7.03987,7.03994,7.04001,7.04008,7.04015
148,7.20009,7.13981,7.13988,7.13995,7.14003,7.1401,7.14017,7.14024
149,7.30204,7.24105,7.24113,7.2412,7.24127,7.24134,7.24142,7.24149
150,7.40517,7.34347,7.34354,7.34362,7.34369,7.34376,7.34384,7.34391
151,7.5095,7.44707,7.44714,7.44722,7.44729,7.44737,7.44744,7.44752
152,7.61503,7.55187,7.55195,7.55202,7.5521,7.55217,7.55225,7.55232
153,7.72179,7.65789,7.65796,7.65804,7.65812,7.65819,7.65827,7.65835
154,7.82979,7.76513,7.76521,7.76529,7.76536,7.76544,7.76552,7.7656
155,7.93903,7.87362,7.8737,7.87378,7.87385,7.87393,7.87401,7.87409
156,8.04955,7.98336,7.98344,7.98352,7.9836,7.98368,7.98376,7.98384
157,8.16134,8.09438,8.09446,8.09454,8.09462,8.0947,8.09478,8.09486
158,8.27443,8.20668,8.20676,8.20684,8.20692,8.20701,8.20709,8.20717
159,8.38882,8.32028,8.32036,8.32045,8.32053,8.32061,8.3207,8.32078
160,8.50455,8.4352,8.43528,8.43537,8.43545,8.43554,8.43562,8.4357
161,8.62161,8.55145,8.55153,8.55162,8.5517,8.55179,8.55188,8.55196
162,8.74003,8.66905,8.66913,8.66922,8.6693,8.66939,8.66948,8.66956
163,8.85982,8.788,8.78809,8.78818,8.78827,8.78835,8.78844,8.78853
164,8.981,8.90834,8.90843,8.90852,8.90861,8.9087,8.90879,8.90887
165,9.10358,9.03007,9.03016,9.03025,9.03034,9.03043,9.03052,9.03061
166,9.22759,9.15321,9.15331,9.1534,9.15349,9.15358,9.15367,9.15376
167,9.35303,9.27778,9.27787,9.27797,9.27806,9.27815,9.27825,9.27834
168,9.47992,9.40379,9.40389,9.40398,9.40408,9.40417,9.40426,9.40436
169,9.60828,9.53127,9.53136,9.53146,9.53155,9.53165,9.53174,9.53184
170,9.73813,9.66021,9.66031,9.66041,9.6605,9.6606,9.6607,9.66079
171,9.86949,9.79066,9.79075,9.79085,9.79095,9.79105,9.79114,9.79124
172,10.0024,9.92261,9.92271,9.92281,9.92291,9.923,9.9231,9.9232
173,10.1368,10.0561,10.0562,10.0563,10.0564,10.0565,10.0566,10.0567
174,10.2728,10.1911,10.1912,10.1913,10.1914,10.1915,10.1916,10.1917
175,10.4103,10.3277,10.3278,10.3279,10.328,10.3281,10.3282,10.3283
176,10.5494,10.4659,10.466,10.4661,10.4662,10.4663,10.4664,10.4665
177,10.6902,10.6057,10.6058,10.6059,10.606,10.6061,10.6062,10.6063
178,10.8326,10.7471,10.7472,10.7473,10.7474,10.7475,10.7476,10.7477
179,10.9766,10.8901,10.8902,10.8903,10.8904,10.8905,10.8906,10.8907
180,11.1223,11.0348,11.0349,11.035,11.0351,11.0352,11.0353,11.0354
181,11.2697,11.1812,11.1813,11.1814,11.1815,11.1816,11.1817,11.1818
182,11.4188,11.3292,11.3293,11.3294,11.3296,11.3297,11.3298,11.3299
183,11.5696,11.479,11.4791,11.4792,11.4793,11.4794,11.4796,11.4797
184,11.7222,11.6305,11.6306,11.6307,11.6309,11.631,11.6311,11.6312
185,11.8766,11.7838,11.7839,11.784,11.7841,11.7842,11.7844,11.7845
186,12.0327,11.9388,11.9389,11.9391,11.9392,11.9393,11.9394,11.9395
187,12.1906,12.0957,12.0958,12.0959,12.096,12.0961,12.0963,12.0964
188,12.3504,12.2543,12.2544,12.2546,12.2547,12.2548,12.2549,12.255
189,12.512,12.4148,12.4149,12.4151,12.4152,12.4153,12.4154,12.4156
190,12.6755,12.5772,12.5773,12.5774,12.5775,12.5777,12.5778,12.5779
191,12.8409,12.7414,12.7415,12.7417,12.7418,12.7419,12.742,12.7422
192,13.0082,12.9075,12.9077,12.9078,12.9079,12.9081,12.9082,12.9083
193,13.1774,13.0756,13.0757,13.0759,13.076,13.0761,13.0763,13.0764
194,13.3486,13.2456,13.2457,13.2459,13.246,13.2461,13.2463,13.2464
195,13.5218,13.4176,13.4177,13.4179,13.418,13.4181,13.4183,13.4184
196,13.697,13.5916,13.5917,13.5918,13.592,13.5921,13.5922,13.5924
197,13.8742,13.7676,13.7677,13.7678,13.768,13.7681,13.7682,13.7684
198,14.0535,13.9456,13.9457,13.9459,13.946,13.9461,13.9463,13.9464
199,14.2348,14.1257,14.1258,14.126,14.1261,14.1262,14.1264,14.1265
200,14.4183,14.3078,14.308,14.3081,14.3083,14.3084,14.3086,14.3087
201,14.6039,14.4921,14.4923,14.4924,14.4926,14.4927,14.4929,14.493
202,14.7916,14.6786,14.6787,14.6788,14.679,14.6791,14.6793,14.6794
203,14.9815,14.8671,14.8673,14.8674,14.8676,14.8677,14.8679,14.868
