gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0.028668,0.028668,0.028668,0.028668,0.028668,0.0286677,0.0286677,0.0286677,0.0286677,0.0286677,0.0286674,0.0286674,0.0286674,0.0286674,0.0286674,0.0286673,0.0286673,0.0286673,0.0286673,0.0286673,0.0286671,0.0286671,0.0286671,0.0286671,0.0286671
3,0.144824,0.0554716,0.0554716,0.0554716,0.0554716,0.0554716,0.0554692,0.0554692,0.0554692,0.0554692,0.0554692,0.0554673,0.0554673,0.0554673,0.0554673,0.0554673,0.055466,0.055466,0.055466,0.055466,0.055466,0.055465,0.055465,0.055465,0.055465,0.055465
4,0.195956,0.0715526,0.0715526,0.0715526,0.0715526,0.0715526,0.0715462,0.0715462,0.0715462,0.0715462,0.0715462,0.071541,0.071541,0.071541,0.071541,0.071541,0.0715372,0.0715372,0.0715372,0.0715372,0.0715372,0.0715346,0.0715346,0.0715346,0.0715346,0.0715346
5,0.248585,0.0881049,0.0881049,0.0881049,0.0881049,0.0881049,0.0880943,0.0880943,0.0880943,0.0880943,0.0880943,0.0880857,0.0880857,0.0880857,0.0880857,0.0880857,0.0880795,0.0880795,0.0880795,0.0880795,0.0880795,0.0880752,0.0880752,0.0880752,0.0880752,0.0880752
6,0.302757,0.107872,0.107872,0.107872,0.107872,0.107872,0.107841,0.107841,0.107841,0.107841,0.107841,0.107816,0.107816,0.107816,0.107816,0.107816,0.107797,0.107797,0.107797,0.107797,0.107797,0.107784,0.107784,0.107784,0.107784,0.107784
7,0.358517,0.130199,0.130199,0.130199,0.130199,0.130199,0.130141,0.130141,0.130141,0.130141,0.130141,0.130094,0.130094,0.130094,0.130094,0.130094,0.130059,0.130059,0.130059,0.130059,0.130059,0.130035,0.130035,0.130035,0.130035,0.130035
8,0.41591,0.15395,0.15395,0.15395,0.15395,0.15395,0.153844,0.153844,0.153844,0.153844,0.153844,0.153756,0.153756,0.153756,0.153756,0.153756,0.153691,0.153691,0.153691,0.153691,0.153691,0.153646,0.153646,0.153646,0.153646,0.153646
9,0.474986,0.179782,0.179782,0.179782,0.179782,0.179782,0.179608,0.179608,0.179608,0.179608,0.179608,0.179463,0.179463,0.179463,0.179463,0.179463,0.179355,0.179355,0.179355,0.179355,0.179355,0.179279,0.179279,0.179279,0.179279,0.179279
10,0.535792,0.206983,0.206983,0.206983,0.206983,0.206983,0.206703,0.206703,0.206703,0.206703,0.206703,0.20647,0.20647,0.20647,0.20647,0.20647,0.206297,0.206297,0.206297,0.206297,0.206297,0.206174,0.206174,0.206174,0.206174,0.206174
11,0.598381,0.235958,0.235958,0.235958,0.235958,0.235958,0.235547,0.235547,0.235547,0.235547,0.235547,0.235203,0.235203,0.235203,0.235203,0.235203,0.234944,0.234944,0.234944,0.234944,0.234944,0.23476,0.23476,0.23476,0.23476,0.23476
12,0.662804,0.266576,0.266576,0.266576,0.266576,0.266576,0.265966,0.265966,0.265966,0.265966,0.265966,0.265452,0.265452,0.265452,0.265452,0.265452,0.265065,0.265065,0.265065,0.265065,0.265065,0.264788,0.264788,0.264788,0.264788,0.264788
13,0.729114,0.298693,0.298693,0.298693,0.298693,0.298693,0.297865,0.297865,0.297865,0.297865,0.297865,0.297163,0.297163,0.297163,0.297163,0.297163,0.29663,0.29663,0.29663,0.29663,0.29663,0.296247,0.296247,0.296247,0.296247,0.296247
14,0.797368,0.332843,0.332843,0.332843,0.332843,0.332843,0.331717,0.331717,0.331717,0.331717,0.331717,0.330745,0.330745,0.330745,0.330745,0.330745,0.329998,0.329998,0.329998,0.329998,0.329998,0.329456,0.329456,0.329456,0.329456,0.329456
15,0.867622,0.368497,0.368497,0.368497,0.368497,0.368497,0.367023,0.367023,0.367023,0.367023,0.367023,0.365735,0.365735,0.365735,0.365735,0.365735,0.364733,0.364733,0.364733,0.364733,0.364733,0.364001,0.364001,0.364001,0.364001,0.364001
16,0.939934,0.406143,0.406143,0.406143,0.406143,0.406143,0.404293,0.404293,0.404293,0.404293,0.404293,0.402654,0.402654,0.402654,0.402654,0.402654,0.401357,0.401357,0.401357,0.401357,0.401357,0.400395,0.400395,0.400395,0.400395,0.400395
