gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0.0286687,0.0286687,0.0286687,0.0286687,0.0286687,0.0286682,0.0286682,0.0286682,0.0286682,0.0286682,0.0286678,0.0286678,0.0286678,0.0286678,0.0286678,0.0286675,0.0286675,0.0286675,0.0286675,0.0286675,0.0286673,0.0286673,0.0286673,0.0286673,0.0286673
3,0.144824,0.0554762,0.0554762,0.0554762,0.0554762,0.0554762,0.0554725,0.0554725,0.0554725,0.0554725,0.0554725,0.0554696,0.0554696,0.0554696,0.0554696,0.0554696,0.0554675,0.0554675,0.0554675,0.0554675,0.0554675,0.0554661,0.0554661,0.0554661,0.0554661,0.0554661
4,0.195956,0.0715654,0.0715654,0.0715654,0.0715654,0.0715654,0.0715553,0.0715553,0.0715553,0.0715553,0.0715553,0.0715473,0.0715473,0.0715473,0.0715473,0.0715473,0.0715415,0.0715415,0.0715415,0.0715415,0.0715415,0.0715376,0.0715376,0.0715376,0.0715376,0.0715376
5,0.248585,0.088126,0.088126,0.088126,0.088126,0.088126,0.0881094,0.0881094,0.0881094,0.0881094,0.0881094,0.0880961,0.0880961,0.0880961,0.0880961,0.0880961,0.0880865,0.0880865,0.0880865,0.0880865,0.0880865,0.0880801,0.0880801,0.0880801,0.0880801,0.0880801
6,0.302757,0.107934,0.107934,0.107934,0.107934,0.107934,0.107886,0.107886,0.107886,0.107886,0.107886,0.107847,0.107847,0.107847,0.107847,0.107847,0.107819,0.107819,0.107819,0.107819,0.107819,0.107799,0.107799,0.107799,0.107799,0.107799
7,0.358517,0.130315,0.130315,0.130315,0.130315,0.130315,0.130226,0.130226,0.130226,0.130226,0.130226,0.130153,0.130153,0.130153,0.130153,0.130153,0.1301,0.1301,0.1301,0.1301,0.1301,0.130063,0.130063,0.130063,0.130063,0.130063
8,0.41591,0.154163,0.154163,0.154163,0.154163,0.154163,0.154001,0.154001,0.154001,0.154001,0.154001,0.153867,0.153867,0.153867,0.153867,0.153867,0.153768,0.153768,0.153768,0.153768,0.153768,0.1537,0.1537,0.1537,0.1537,0.1537
9,0.474986,0.180132,0.180132,0.180132,0.180132,0.180132,0.179869,0.179869,0.179869,0.179869,0.179869,0.17965,0.17965,0.17965,0.17965,0.17965,0.179487,0.179487,0.179487,0.179487,0.179487,0.179373,0.179373,0.179373,0.179373,0.179373
10,0.535792,0.207548,0.207548,0.207548,0.207548,0.207548,0.207127,0.207127,0.207127,0.207127,0.207127,0.206776,0.206776,0.206776,0.206776,0.206776,0.206514,0.206514,0.206514,0.206514,0.206514,0.206329,0.206329,0.206329,0.206329,0.206329
11,0.598381,0.236793,0.236793,0.236793,0.236793,0.236793,0.236179,0.236179,0.236179,0.236179,0.236179,0.235664,0.235664,0.235664,0.235664,0.235664,0.235276,0.235276,0.235276,0.235276,0.235276,0.234999,0.234999,0.234999,0.234999,0.234999
12,0.662804,0.26784,0.26784,0.26784,0.26784,0.26784,0.266922,0.266922,0.266922,0.266922,0.266922,0.266152,0.266152,0.266152,0.266152,0.266152,0.265571,0.265571,0.265571,0.265571,0.265571,0.265154,0.265154,0.265154,0.265154,0.265154
13,0.729114,0.300425,0.300425,0.300425,0.300425,0.300425,0.29918,0.29918,0.29918,0.29918,0.29918,0.29813,0.29813,0.29813,0.29813,0.29813,0.297333,0.297333,0.297333,0.297333,0.297333,0.296759,0.296759,0.296759,0.296759,0.296759
14,0.797368,0.335271,0.335271,0.335271,0.335271,0.335271,0.333575,0.333575,0.333575,0.333575,0.333575,0.332121,0.332121,0.332121,0.332121,0.332121,0.331007,0.331007,0.331007,0.331007,0.331007,0.330199,0.330199,0.330199,0.330199,0.330199
15,0.867622,0.371751,0.371751,0.371751,0.371751,0.371751,0.369533,0.369533,0.369533,0.369533,0.369533,0.367605,0.367605,0.367605,0.367605,0.367605,0.366113,0.366113,0.366113,0.366113,0.366113,0.365023,0.365023,0.365023,0.365023,0.365023
16,0.939934,0.410266,0.410266,0.410266,0.410266,0.410266,0.407529,0.407529,0.407529,0.407529,0.407529,0.405104,0.405104,0.405104,0.405104,0.405104,0.403186,0.403186,0.403186,0.403186,0.403186,0.401763,0.401763,0.401763,0.401763,0.401763
