gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604
2,0.0951487,0.0869437,0.0869437,0.0869437,0.0869411,0.0869411,0.0869411,0.086939,0.086939,0.086939,0.0869375,0.0869375,0.0869375,0.0869364,0.0869364,0.0869364
3,0.144824,0.125746,0.125746,0.125746,0.12573,0.12573,0.12573,0.125716,0.125716,0.125716,0.125706,0.125706,0.125706,0.125698,0.125698,0.125698
4,0.195956,0.163251,0.163251,0.163251,0.163201,0.163201,0.163201,0.163159,0.163159,0.163159,0.163127,0.163127,0.163127,0.163104,0.163104,0.163104
5,0.248585,0.199934,0.199934,0.199934,0.199831,0.199831,0.199831,0.199744,0.199744,0.199744,0.199678,0.199678,0.199678,0.19963,0.19963,0.19963
6,0.302757,0.23524,0.23524,0.23524,0.235022,0.235022,0.235022,0.234835,0.234835,0.234835,0.234692,0.234692,0.234692,0.234587,0.234587,0.234587
7,0.358517,0.270121,0.270121,0.270121,0.269748,0.269748,0.269748,0.269425,0.269425,0.269425,0.269174,0.269174,0.269174,0.26899,0.26899,0.26899
8,0.41591,0.305021,0.305021,0.305021,0.304465,0.304465,0.304465,0.303981,0.303981,0.303981,0.303603,0.303603,0.303603,0.303326,0.303326,0.303326
9,0.474986,0.339094,0.339094,0.339094,0.338222,0.338222,0.338222,0.337453,0.337453,0.337453,0.336843,0.336843,0.336843,0.33639,0.33639,0.33639
10,0.535792,0.37345,0.37345,0.37345,0.372252,0.372252,0.372252,0.371194,0.371194,0.371194,0.370351,0.370351,0.370351,0.369719,0.369719,0.369719
11,0.598381,0.4079,0.4079,0.4079,0.406245,0.406245,0.406245,0.404772,0.404772,0.404772,0.403585,0.403585,0.403585,0.402681,0.402681,0.402681
12,0.662804,0.442437,0.442437,0.442437,0.440251,0.440251,0.440251,0.438297,0.438297,0.438297,0.436721,0.436721,0.436721,0.435523,0.435523,0.435523
13,0.729114,0.47763,0.47763,0.47763,0.474869,0.474869,0.474869,0.472297,0.472297,0.472297,0.470207,0.470207,0.470207,0.468612,0.468612,0.468612
14,0.797368,0.512901,0.512901,0.512901,0.50935,0.50935,0.50935,0.506109,0.506109,0.506109,0.503453,0.503453,0.503453,0.501419,0.501419,0.501419
15,0.867622,0.548933,0.548933,0.548933,0.54462,0.54462,0.54462,0.540668,0.540668,0.540668,0.537417,0.537417,0.537417,0.534891,0.534891,0.534891
16,0.939934,0.585545,0.585545,0.585545,0.580273,0.580273,0.580273,0.575378,0.575378,0.575378,0.571281,0.571281,0.571281,0.568083,0.568083,0.568083
17,1.01437,0.622957,0.622957,0.622957,0.616665,0.616665,0.616665,0.610821,0.610821,0.610821,0.605923,0.605923,0.605923,0.602089,0.602089,0.602089
18,1.09098,0.66132,0.66132,0.66132,0.653817,0.653817,0.653817,0.646773,0.646773,0.646773,0.640805,0.640805,0.640805,0.636086,0.636086,0.636086
19,1.16984,0.700685,0.700685,0.700685,0.691776,0.691776,0.691776,0.683452,0.683452,0.683452,0.676418,0.676418,0.676418,0.670866,0.670866,0.670866
20,1.25101,0.741178,0.741178,0.741178,0.730756,0.730756,0.730756,0.720948,0.720948,0.720948,0.712599,0.712599,0.712599,0.705953,0.705953,0.705953
21,1.33455,0.782807,0.782807,0.782807,0.770822,0.770822,0.770822,0.759395,0.759395,0.759395,0.749629,0.749629,0.749629,0.741865,0.741865,0.741865
22,1.42055,0.825581,0.825581,0.825581,0.812045,0.812045,0.812045,0.798926,0.798926,0.798926,0.78757,0.78757,0.78757,0.778457,0.778457,0.778457
23,1.50907,0.869601,0.869601,0.869601,0.854447,0.854447,0.854447,0.839561,0.839561,0.839561,0.826483,0.826483,0.826483,0.815929,0.815929,0.815929
24,1.60018,0.915663,0.915663,0.915663,0.898341,0.898341,0.898341,0.881411,0.881411,0.881411,0.866489,0.866489,0.866489,0.854299,0.854299,0.854299
25,1.69396,0.963474,0.963474,0.963474,0.943693,0.943693,0.943693,0.92454,0.92454,0.92454,0.907592,0.907592,0.907592,0.893666,0.893666,0.893666
26,1.79048,1.01312,1.01312,1.01312,0.991085,0.991085,0.991085,0.969337,0.969337,0.969337,0.949988,0.949988,0.949988,0.934119,0.934119,0.934119
27,1.88984,1.06385,1.06385,1.06385,1.03986,1.03986,1.03986,1.01567,1.01567,1.01567,0.993927,0.993927,0.993927,0.975881,0.975881,0.975881
28,1.99211,1.11625,1.11625,1.11625,1.09005,1.09005,1.09005,1.06351,1.06351,1.06351,1.03923,1.03923,1.03923,1.01889,1.01889,1.01889
29,2.09737,1.17044,1.17044,1.17044,1.14215,1.14215,1.14215,1.11297,1.11297,1.11297,1.08593,1.08593,1.08593,1.06322,1.06322,1.06322
30,2.20572,1.22859,1.22859,1.22859,1.19673,1.19673,1.19673,1.16415,1.16415,1.16415,1.13453,1.13453,1.13453,1.10909,1.10909,1.10909
31,2.31725,1.28903,1.28903,1.28903,1.25399,1.25399,1.25399,1.21825,1.21825,1.21825,1.18496,1.18496,1.18496,1.15669,1.15669,1.15669
32,2.43204,1.35146,1.35146,1.35146,1.31378,1.31378,1.31378,1.27443,1.27443,1.27443,1.23766,1.23766,1.23766,1.20622,1.20622,1.20622
33,2.5502,1.41538,1.41538,1.41538,1.37527,1.37527,1.37527,1.33272,1.33272,1.33272,1.29249,1.29249,1.29249,1.2575,1.2575,1.2575
34,2.67182,1.48143,1.48143,1.48143,1.4388,1.4388,1.4388,1.39317,1.39317,1.39317,1.34936,1.34936,1.34936,1.31101,1.31101,1.31101
35,2.797,1.55092,1.55092,1.55092,1.50487,1.50487,1.50487,1.45618,1.45618,1.45618,1.4086,1.4086,1.4086,1.36676,1.36676,1.36676
36,2.92586,1.62404,1.62404,1.62404,1.57488,1.57488,1.57488,1.52196,1.52196,1.52196,1.47062,1.47062,1.47062,1.42472,1.42472,1.42472
37,3.05848,1.7005,1.7005,1.7005,1.64817,1.64817,1.64817,1.59099,1.59099,1.59099,1.53529,1.53529,1.53529,1.48528,1.48528,1.48528
38,3.195,1.77935,1.77935,1.77935,1.72432,1.72432,1.72432,1.66358,1.66358,1.66358,1.6028,1.6028,1.6028,1.54855,1.54855,1.54855
39,3.33551,1.86082,1.86082,1.86082,1.80293,1.80293,1.80293,1.73894,1.73894,1.73894,1.67411,1.67411,1.67411,1.61469,1.61469,1.61469
40,3.48015,1.94591,1.94591,1.94591,1.88416,1.88416,1.88416,1.81689,1.81689,1.81689,1.74842,1.74842,1.74842,1.68437,1.68437,1.68437
41,3.62902,2.03449,2.03449,2.03449,1.97045,1.97045,1.97045,1.89763,1.89763,1.89763,1.82536,1.82536,1.82536,1.75743,1.75743,1.75743
42,3.78225,2.12616,2.12616,2.12616,2.06013,2.06013,2.06013,1.98402,1.98402,1.98402,1.90541,1.90541,1.90541,1.83318,1.83318,1.83318
43,3.93998,2.22111,2.22111,2.22111,2.15239,2.15239,2.15239,2.0742,2.0742,2.0742,1.99088,1.99088,1.99088,1.91236,1.91236,1.91236
44,4.10232,2.32113,2.32113,2.32113,2.24837,2.24837,2.24837,2.16644,2.16644,2.16644,2.08066,2.08066,2.08066,1.99652,1.99652,1.99652
45,4.26943,2.42588,2.42588,2.42588,2.3496,2.3496,2.3496,2.26281,2.26281,2.26281,2.17246,2.17246,2.17246,2.08493,2.08493,2.08493
46,4.44143,2.53298,2.53298,2.53298,2.45558,2.45558,2.45558,2.36467,2.36467,2.36467,2.26884,2.26884,2.26884,2.17617,2.17617,2.17617
47,4.61847,2.64301,2.64301,2.64301,2.56423,2.56423,2.56423,2.47114,2.47114,2.47114,2.37067,2.37067,2.37067,2.27236,2.27236,2.27236
48,4.8007,2.75806,2.75806,2.75806,2.67596,2.67596,2.67596,2.5807,2.5807,2.5807,2.47685,2.47685,2.47685,2.37371,2.37371,2.37371
49,4.98827,2.87875,2.87875,2.87875,2.79311,2.79311,2.79311,2.69435,2.69435,2.69435,2.58684,2.58684,2.58684,2.47932,2.47932,2.47932
50,5.18134,3.00414,3.00414,3.00414,2.91649,2.91649,2.91649,2.81314,2.81314,2.81314,2.70193,2.70193,2.70193,2.58945,2.58945,2.58945
51,5.38006,3.13339,3.13339,3.13339,3.04414,3.04414,3.04414,2.93818,2.93818,2.93818,2.82181,2.82181,2.82181,2.70527,2.70527,2.70527
52,5.58461,3.26646,3.26646,3.26646,3.17535,3.17535,3.17535,3.06774,3.06774,3.06774,2.94794,2.94794,2.94794,2.82586,2.82586,2.82586
53,5.79515,3.40421,3.40421,3.40421,3.31143,3.31143,3.31143,3.2003,3.2003,3.2003,3.07932,3.07932,3.07932,2.95283,2.95283,2.95283
54,6.01186,3.54737,3.54737,3.54737,3.4532,3.4532,3.4532,3.33948,3.33948,3.33948,3.21326,3.21326,3.21326,3.08601,3.08601,3.08601
55,6.23493,3.69589,3.69589,3.69589,3.59971,3.59971,3.59971,3.48538,3.48538,3.48538,3.35508,3.35508,3.35508,3.22143,3.22143,3.22143
56,6.46452,3.85014,3.85014,3.85014,3.75128,3.75128,3.75128,3.63438,3.63438,3.63438,3.50411,3.50411,3.50411,3.36534,3.36534,3.36534
57,6.70085,4.01042,4.01042,4.01042,3.90992,3.90992,3.90992,3.78871,3.78871,3.78871,3.65549,3.65549,3.65549,3.51683,3.51683,3.51683
58,6.94411,4.17578,4.17578,4.17578,4.0745,4.0745,4.0745,3.95173,3.95173,3.95173,3.81336,3.81336,3.81336,3.67074,3.67074,3.67074
59,7.19449,4.34608,4.34608,4.34608,4.24342,4.24342,4.24342,4.12022,4.12022,4.12022,3.98011,3.98011,3.98011,3.83274,3.83274,3.83274
60,7.45221,4.52223,4.52223,4.52223,4.41766,4.41766,4.41766,4.29281,4.29281,4.29281,4.15176,4.15176,4.15176,4.00272,4.00272,4.00272
61,7.71748,4.70506,4.70506,4.70506,4.59872,4.59872,4.59872,4.4715,4.4715,4.4715,4.32845,4.32845,4.32845,4.17751,4.17751,4.17751
62,7.99052,4.89477,4.89477,4.89477,4.78734,4.78734,4.78734,4.65798,4.65798,4.65798,4.51225,4.51225,4.51225,4.35888,4.35888,4.35888
63,8.27157,5.09059,5.09059,5.09059,4.98286,4.98286,4.98286,4.85193,4.85193,4.85193,4.7041,4.7041,4.7041,4.54779,4.54779,4.54779
64,8.56085,5.2925,5.2925,5.2925,5.18383,5.18383,5.18383,5.0522,5.0522,5.0522,4.90256,4.90256,4.90256,4.74501,4.74501,4.74501
65,8.85861,5.50143,5.50143,5.50143,5.3912,5.3912,5.3912,5.25863,5.25863,5.25863,5.10739,5.10739,5.10739,4.94773,4.94773,4.94773
66,9.16509,5.7175,5.7175,5.7175,5.60596,5.60596,5.60596,5.4721,5.4721,5.4721,5.32018,5.32018,5.32018,5.15761,5.15761,5.15761
67,9.48056,5.94099,5.94099,5.94099,5.82814,5.82814,5.82814,5.6927,5.6927,5.6927,5.54003,5.54003,5.54003,5.37789,5.37789,5.37789
68,9.80527,6.17225,6.17225,6.17225,6.05881,6.05881,6.05881,5.92176,5.92176,5.92176,5.76631,5.76631,5.76631,5.6041,5.6041,5.6041
69,10.1395,6.41104,6.41104,6.41104,6.2973,6.2973,6.2973,6.15973,6.15973,6.15973,6.00247,6.00247,6.00247,5.83643,5.83643,5.83643
