gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604
2,0.0951487,0.086937,0.086937,0.086937,0.086937,0.086937,0.0869365,0.0869365,0.0869365,0.0869365,0.0869365,0.0869361,0.0869361,0.0869361,0.0869361,0.0869361,0.0869357,0.0869357,0.0869357,0.0869357,0.0869357,0.0869358,0.0869358,0.0869358,0.0869358,0.0869358
3,0.144824,0.125701,0.125701,0.125701,0.125701,0.125701,0.125698,0.125698,0.125698,0.125698,0.125698,0.125695,0.125695,0.125695,0.125695,0.125695,0.125693,0.125693,0.125693,0.125693,0.125693,0.125694,0.125694,0.125694,0.125694,0.125694
4,0.195956,0.16311,0.16311,0.16311,0.16311,0.16311,0.163102,0.163102,0.163102,0.163102,0.163102,0.163093,0.163093,0.163093,0.163093,0.163093,0.163086,0.163086,0.163086,0.163086,0.163086,0.16309,0.16309,0.16309,0.16309,0.16309
5,0.248585,0.19964,0.19964,0.19964,0.19964,0.19964,0.199622,0.199622,0.199622,0.199622,0.199622,0.199605,0.199605,0.199605,0.199605,0.199605,0.19959,0.19959,0.19959,0.19959,0.19959,0.1996,0.1996,0.1996,0.1996,0.1996
6,0.302757,0.234598,0.234598,0.234598,0.234598,0.234598,0.234561,0.234561,0.234561,0.234561,0.234561,0.234525,0.234525,0.234525,0.234525,0.234525,0.234492,0.234492,0.234492,0.234492,0.234492,0.234519,0.234519,0.234519,0.234519,0.234519
7,0.358517,0.268993,0.268993,0.268993,0.268993,0.268993,0.26893,0.26893,0.26893,0.26893,0.26893,0.268868,0.268868,0.268868,0.268868,0.268868,0.268812,0.268812,0.268812,0.268812,0.268812,0.268867,0.268867,0.268867,0.268867,0.268867
8,0.41591,0.303315,0.303315,0.303315,0.303315,0.303315,0.303223,0.303223,0.303223,0.303223,0.303223,0.303133,0.303133,0.303133,0.303133,0.303133,0.303051,0.303051,0.303051,0.303051,0.303051,0.303138,0.303138,0.303138,0.303138,0.303138
9,0.474986,0.336329,0.336329,0.336329,0.336329,0.336329,0.336183,0.336183,0.336183,0.336183,0.336183,0.336039,0.336039,0.336039,0.336039,0.336039,0.335906,0.335906,0.335906,0.335906,0.335906,0.336068,0.336068,0.336068,0.336068,0.336068
10,0.535792,0.369591,0.369591,0.369591,0.369591,0.369591,0.369393,0.369393,0.369393,0.369393,0.369393,0.369197,0.369197,0.369197,0.369197,0.369197,0.369015,0.369015,0.369015,0.369015,0.369015,0.369258,0.369258,0.369258,0.369258,0.369258
11,0.598381,0.402433,0.402433,0.402433,0.402433,0.402433,0.402157,0.402157,0.402157,0.402157,0.402157,0.40188,0.40188,0.40188,0.40188,0.40188,0.401623,0.401623,0.401623,0.401623,0.401623,0.401997,0.401997,0.401997,0.401997,0.401997
12,0.662804,0.435106,0.435106,0.435106,0.435106,0.435106,0.434753,0.434753,0.434753,0.434753,0.434753,0.434397,0.434397,0.434397,0.434397,0.434397,0.434065,0.434065,0.434065,0.434065,0.434065,0.434594,0.434594,0.434594,0.434594,0.434594
