gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461474,0.0461474,0.0461474,0.0461474,0.0461474,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.087868,0.087868,0.087868,0.087868,0.087868,0.0878597,0.0878597,0.0878597,0.0878597,0.0878597,0.0878529,0.0878529,0.0878529,0.0878529,0.0878529,0.0878479,0.0878479,0.0878479,0.0878479,0.0878479,0.0878445,0.0878445,0.0878445,0.0878445,0.0878445
3,0.144824,0.127817,0.127817,0.127817,0.127817,0.127817,0.127766,0.127766,0.127766,0.127766,0.127766,0.127723,0.127723,0.127723,0.127723,0.127723,0.12769,0.12769,0.12769,0.12769,0.12769,0.127667,0.127667,0.127667,0.127667,0.127667
4,0.195956,0.166751,0.166751,0.166751,0.166751,0.166751,0.166605,0.166605,0.166605,0.166605,0.166605,0.166478,0.166478,0.166478,0.166478,0.166478,0.16638,0.16638,0.16638,0.16638,0.16638,0.166308,0.166308,0.166308,0.166308,0.166308
5,0.248585,0.205131,0.205131,0.205131,0.205131,0.205131,0.204825,0.204825,0.204825,0.204825,0.204825,0.204559,0.204559,0.204559,0.204559,0.204559,0.204351,0.204351,0.204351,0.204351,0.204351,0.204197,0.204197,0.204197,0.204197,0.204197
6,0.302757,0.243014,0.243014,0.243014,0.243014,0.243014,0.242429,0.242429,0.242429,0.242429,0.242429,0.241912,0.241912,0.241912,0.241912,0.241912,0.2415,0.2415,0.2415,0.2415,0.2415,0.241191,0.241191,0.241191,0.241191,0.241191
7,0.358517,0.280622,0.280622,0.280622,0.280622,0.280622,0.279657,0.279657,0.279657,0.279657,0.279657,0.27878,0.27878,0.27878,0.27878,0.27878,0.278066,0.278066,0.278066,0.278066,0.278066,0.277523,0.277523,0.277523,0.277523,0.277523
8,0.41591,0.318599,0.318599,0.318599,0.318599,0.318599,0.317175,0.317175,0.317175,0.317175,0.317175,0.31586,0.31586,0.31586,0.31586,0.31586,0.314773,0.314773,0.314773,0.314773,0.314773,0.313936,0.313936,0.313936,0.313936,0.313936
9,0.474986,0.356996,0.356996,0.356996,0.356996,0.356996,0.354976,0.354976,0.354976,0.354976,0.354976,0.353073,0.353073,0.353073,0.353073,0.353073,0.351462,0.351462,0.351462,0.351462,0.351462,0.350195,0.350195,0.350195,0.350195,0.350195
10,0.535792,0.395789,0.395789,0.395789,0.395789,0.395789,0.393023,0.393023,0.393023,0.393023,0.393023,0.390412,0.390412,0.390412,0.390412,0.390412,0.388185,0.388185,0.388185,0.388185,0.388185,0.386414,0.386414,0.386414,0.386414,0.386414
11,0.598381,0.435539,0.435539,0.435539,0.435539,0.435539,0.431899,0.431899,0.431899,0.431899,0.431899,0.428456,0.428456,0.428456,0.428456,0.428456,0.425512,0.425512,0.425512,0.425512,0.425512,0.423163,0.423163,0.423163,0.423163,0.423163
12,0.662804,0.476298,0.476298,0.476298,0.476298,0.476298,0.471628,0.471628,0.471628,0.471628,0.471628,0.46715,0.46715,0.46715,0.46715,0.46715,0.463276,0.463276,0.463276,0.463276,0.463276,0.460153,0.460153,0.460153,0.460153,0.460153
13,0.729114,0.518268,0.518268,0.518268,0.518268,0.518268,0.512505,0.512505,0.512505,0.512505,0.512505,0.50686,0.50686,0.50686,0.50686,0.50686,0.501908,0.501908,0.501908,0.501908,0.501908,0.497884,0.497884,0.497884,0.497884,0.497884
14,0.797368,0.561505,0.561505,0.561505,0.561505,0.561505,0.554604,0.554604,0.554604,0.554604,0.554604,0.5477,0.5477,0.5477,0.5477,0.5477,0.541543,0.541543,0.541543,0.541543,0.541543,0.536489,0.536489,0.536489,0.536489,0.536489
15,0.867622,0.606067,0.606067,0.606067,0.606067,0.606067,0.597968,0.597968,0.597968,0.597968,0.597968,0.589726,0.589726,0.589726,0.589726,0.589726,0.582199,0.582199,0.582199,0.582199,0.582199,0.575887,0.575887,0.575887,0.575887,0.575887
16,0.939934,0.652095,0.652095,0.652095,0.652095,0.652095,0.642689,0.642689,0.642689,0.642689,0.642689,0.633014,0.633014,0.633014,0.633014,0.633014,0.624041,0.624041,0.624041,0.624041,0.624041,0.616412,0.616412,0.616412,0.616412,0.616412
17,1.01437,0.699906,0.699906,0.699906,0.699906,0.699906,0.688966,0.688966,0.688966,0.688966,0.688966,0.6777,0.6777,0.6777,0.6777,0.6777,0.667142,0.667142,0.667142,0.667142,0.667142,0.658087,0.658087,0.658087,0.658087,0.658087
18,1.09098,0.749614,0.749614,0.749614,0.749614,0.749614,0.73695,0.73695,0.73695,0.73695,0.73695,0.723947,0.723947,0.723947,0.723947,0.723947,0.71183,0.71183,0.71183,0.71183,0.71183,0.701244,0.701244,0.701244,0.701244,0.701244
19,1.16984,0.801381,0.801381,0.801381,0.801381,0.801381,0.787184,0.787184,0.787184,0.787184,0.787184,0.772366,0.772366,0.772366,0.772366,0.772366,0.758289,0.758289,0.758289,0.758289,0.758289,0.745918,0.745918,0.745918,0.745918,0.745918
20,1.25101,0.855327,0.855327,0.855327,0.855327,0.855327,0.839582,0.839582,0.839582,0.839582,0.839582,0.822783,0.822783,0.822783,0.822783,0.822783,0.806576,0.806576,0.806576,0.806576,0.806576,0.792281,0.792281,0.792281,0.792281,0.792281
21,1.33455,0.911265,0.911265,0.911265,0.911265,0.911265,0.893999,0.893999,0.893999,0.893999,0.893999,0.875277,0.875277,0.875277,0.875277,0.875277,0.857074,0.857074,0.857074,0.857074,0.857074,0.840828,0.840828,0.840828,0.840828,0.840828
22,1.42055,0.969234,0.969234,0.969234,0.969234,0.969234,0.950491,0.950491,0.950491,0.950491,0.950491,0.929967,0.929967,0.929967,0.929967,0.929967,0.90977,0.90977,0.90977,0.90977,0.90977,0.89137,0.89137,0.89137,0.89137,0.89137
23,1.50907,1.02945,1.02945,1.02945,1.02945,1.02945,1.00927,1.00927,1.00927,1.00927,1.00927,0.987043,0.987043,0.987043,0.987043,0.987043,0.964627,0.964627,0.964627,0.964627,0.964627,0.944018,0.944018,0.944018,0.944018,0.944018
24,1.60018,1.09233,1.09233,1.09233,1.09233,1.09233,1.07087,1.07087,1.07087,1.07087,1.07087,1.04671,1.04671,1.04671,1.04671,1.04671,1.02185,1.02185,1.02185,1.02185,1.02185,0.999023,0.999023,0.999023,0.999023,0.999023
25,1.69396,1.15813,1.15813,1.15813,1.15813,1.15813,1.13505,1.13505,1.13505,1.13505,1.13505,1.10904,1.10904,1.10904,1.10904,1.10904,1.08217,1.08217,1.08217,1.08217,1.08217,1.05693,1.05693,1.05693,1.05693,1.05693
26,1.79048,1.22651,1.22651,1.22651,1.22651,1.22651,1.20183,1.20183,1.20183,1.20183,1.20183,1.17393,1.17393,1.17393,1.17393,1.17393,1.14527,1.14527,1.14527,1.14527,1.14527,1.1177,1.1177,1.1177,1.1177,1.1177
27,1.88984,1.29768,1.29768,1.29768,1.29768,1.29768,1.2714,1.2714,1.2714,1.2714,1.2714,1.24151,1.24151,1.24151,1.24151,1.24151,1.21084,1.21084,1.21084,1.21084,1.21084,1.18128,1.18128,1.18128,1.18128,1.18128
28,1.99211,1.37165,1.37165,1.37165,1.37165,1.37165,1.3441,1.3441,1.3441,1.3441,1.3441,1.31253,1.31253,1.31253,1.31253,1.31253,1.27937,1.27937,1.27937,1.27937,1.27937,1.24727,1.24727,1.24727,1.24727,1.24727
29,2.09737,1.44834,1.44834,1.44834,1.44834,1.44834,1.41977,1.41977,1.41977,1.41977,1.41977,1.38686,1.38686,1.38686,1.38686,1.38686,1.35147,1.35147,1.35147,1.35147,1.35147,1.31706,1.31706,1.31706,1.31706,1.31706
30,2.20572,1.52785,1.52785,1.52785,1.52785,1.52785,1.49823,1.49823,1.49823,1.49823,1.49823,1.46414,1.46414,1.46414,1.46414,1.46414,1.42725,1.42725,1.42725,1.42725,1.42725,1.39073,1.39073,1.39073,1.39073,1.39073
31,2.31725,1.61051,1.61051,1.61051,1.61051,1.61051,1.5798,1.5798,1.5798,1.5798,1.5798,1.54432,1.54432,1.54432,1.54432,1.54432,1.50587,1.50587,1.50587,1.50587,1.50587,1.46756,1.46756,1.46756,1.46756,1.46756
32,2.43204,1.69675,1.69675,1.69675,1.69675,1.69675,1.66498,1.66498,1.66498,1.66498,1.66498,1.62785,1.62785,1.62785,1.62785,1.62785,1.58771,1.58771,1.58771,1.58771,1.58771,1.54763,1.54763,1.54763,1.54763,1.54763
33,2.5502,1.78658,1.78658,1.78658,1.78658,1.78658,1.75386,1.75386,1.75386,1.75386,1.75386,1.71526,1.71526,1.71526,1.71526,1.71526,1.67339,1.67339,1.67339,1.67339,1.67339,1.63139,1.63139,1.63139,1.63139,1.63139
34,2.67182,1.87961,1.87961,1.87961,1.87961,1.87961,1.8462,1.8462,1.8462,1.8462,1.8462,1.80659,1.80659,1.80659,1.80659,1.80659,1.76329,1.76329,1.76329,1.76329,1.76329,1.71922,1.71922,1.71922,1.71922,1.71922
35,2.797,1.9756,1.9756,1.9756,1.9756,1.9756,1.94169,1.94169,1.94169,1.94169,1.94169,1.90126,1.90126,1.90126,1.90126,1.90126,1.85683,1.85683,1.85683,1.85683,1.85683,1.81139,1.81139,1.81139,1.81139,1.81139
36,2.92586,2.07497,2.07497,2.07497,2.07497,2.07497,2.04043,2.04043,2.04043,2.04043,2.04043,1.99924,1.99924,1.99924,1.99924,1.99924,1.95374,1.95374,1.95374,1.95374,1.95374,1.90727,1.90727,1.90727,1.90727,1.90727
37,3.05848,2.17844,2.17844,2.17844,2.17844,2.17844,2.14305,2.14305,2.14305,2.14305,2.14305,2.10113,2.10113,2.10113,2.10113,2.10113,2.05482,2.05482,2.05482,2.05482,2.05482,2.00658,2.00658,2.00658,2.00658,2.00658
38,3.195,2.28599,2.28599,2.28599,2.28599,2.28599,2.24991,2.24991,2.24991,2.24991,2.24991,2.20721,2.20721,2.20721,2.20721,2.20721,2.16024,2.16024,2.16024,2.16024,2.16024,2.11117,2.11117,2.11117,2.11117,2.11117
39,3.33551,2.39744,2.39744,2.39744,2.39744,2.39744,2.36089,2.36089,2.36089,2.36089,2.36089,2.31725,2.31725,2.31725,2.31725,2.31725,2.26938,2.26938,2.26938,2.26938,2.26938,2.22004,2.22004,2.22004,2.22004,2.22004
40,3.48015,2.51274,2.51274,2.51274,2.51274,2.51274,2.47598,2.47598,2.47598,2.47598,2.47598,2.43176,2.43176,2.43176,2.43176,2.43176,2.38274,2.38274,2.38274,2.38274,2.38274,2.33204,2.33204,2.33204,2.33204,2.33204
41,3.62902,2.63203,2.63203,2.63203,2.63203,2.63203,2.59503,2.59503,2.59503,2.59503,2.59503,2.55081,2.55081,2.55081,2.55081,2.55081,2.50116,2.50116,2.50116,2.50116,2.50116,2.44916,2.44916,2.44916,2.44916,2.44916
42,3.78225,2.7555,2.7555,2.7555,2.7555,2.7555,2.71803,2.71803,2.71803,2.71803,2.71803,2.67346,2.67346,2.67346,2.67346,2.67346,2.62391,2.62391,2.62391,2.62391,2.62391,2.57196,2.57196,2.57196,2.57196,2.57196
43,3.93998,2.88325,2.88325,2.88325,2.88325,2.88325,2.84541,2.84541,2.84541,2.84541,2.84541,2.80019,2.80019,2.80019,2.80019,2.80019,2.7504,2.7504,2.7504,2.7504,2.7504,2.69865,2.69865,2.69865,2.69865,2.69865
44,4.10232,3.01557,3.01557,3.01557,3.01557,3.01557,2.97756,2.97756,2.97756,2.97756,2.97756,2.93208,2.93208,2.93208,2.93208,2.93208,2.88162,2.88162,2.88162,2.88162,2.88162,2.82927,2.82927,2.82927,2.82927,2.82927
45,4.26943,3.15272,3.15272,3.15272,3.15272,3.15272,3.11461,3.11461,3.11461,3.11461,3.11461,3.06905,3.06905,3.06905,3.06905,3.06905,3.01826,3.01826,3.01826,3.01826,3.01826,2.96526,2.96526,2.96526,2.96526,2.96526
46,4.44143,3.29455,3.29455,3.29455,3.29455,3.29455,3.25649,3.25649,3.25649,3.25649,3.25649,3.21099,3.21099,3.21099,3.21099,3.21099,3.16,3.16,3.16,3.16,3.16,3.10686,3.10686,3.10686,3.10686,3.10686
47,4.61847,3.44095,3.44095,3.44095,3.44095,3.44095,3.40281,3.40281,3.40281,3.40281,3.40281,3.35747,3.35747,3.35747,3.35747,3.35747,3.30654,3.30654,3.30654,3.30654,3.30654,3.25316,3.25316,3.25316,3.25316,3.25316
48,4.8007,3.59235,3.59235,3.59235,3.59235,3.59235,3.55383,3.55383,3.55383,3.55383,3.55383,3.50819,3.50819,3.50819,3.50819,3.50819,3.45744,3.45744,3.45744,3.45744,3.45744,3.40437,3.40437,3.40437,3.40437,3.40437
49,4.98827,3.74912,3.74912,3.74912,3.74912,3.74912,3.71036,3.71036,3.71036,3.71036,3.71036,3.6643,3.6643,3.6643,3.6643,3.6643,3.61333,3.61333,3.61333,3.61333,3.61333,3.56077,3.56077,3.56077,3.56077,3.56077
