gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.0878429,0.0878429,0.0878429,0.0878429,0.0878429,0.0878415,0.0878415,0.0878415,0.0878415,0.0878415,0.0878403,0.0878403,0.0878403,0.0878403,0.0878403,0.0878394,0.0878394,0.0878394,0.0878394,0.0878394,0.0878386,0.0878386,0.0878386,0.0878386,0.0878386
3,0.144824,0.127656,0.127656,0.127656,0.127656,0.127656,0.127646,0.127646,0.127646,0.127646,0.127646,0.127638,0.127638,0.127638,0.127638,0.127638,0.127631,0.127631,0.127631,0.127631,0.127631,0.127625,0.127625,0.127625,0.127625,0.127625
4,0.195956,0.166271,0.166271,0.166271,0.166271,0.166271,0.166241,0.166241,0.166241,0.166241,0.166241,0.166213,0.166213,0.166213,0.166213,0.166213,0.166191,0.166191,0.166191,0.166191,0.166191,0.166173,0.166173,0.166173,0.166173,0.166173
5,0.248585,0.204111,0.204111,0.204111,0.204111,0.204111,0.204047,0.204047,0.204047,0.204047,0.204047,0.203988,0.203988,0.203988,0.203988,0.203988,0.203938,0.203938,0.203938,0.203938,0.203938,0.203899,0.203899,0.203899,0.203899,0.203899
6,0.302757,0.24101,0.24101,0.24101,0.24101,0.24101,0.240879,0.240879,0.240879,0.240879,0.240879,0.240758,0.240758,0.240758,0.240758,0.240758,0.240656,0.240656,0.240656,0.240656,0.240656,0.240575,0.240575,0.240575,0.240575,0.240575
7,0.358517,0.2772,0.2772,0.2772,0.2772,0.2772,0.276964,0.276964,0.276964,0.276964,0.276964,0.276746,0.276746,0.276746,0.276746,0.276746,0.276561,0.276561,0.276561,0.276561,0.276561,0.276413,0.276413,0.276413,0.276413,0.276413
8,0.41591,0.313421,0.313421,0.313421,0.313421,0.313421,0.313054,0.313054,0.313054,0.313054,0.313054,0.312713,0.312713,0.312713,0.312713,0.312713,0.312423,0.312423,0.312423,0.312423,0.312423,0.31219,0.31219,0.31219,0.31219,0.31219
9,0.474986,0.349363,0.349363,0.349363,0.349363,0.349363,0.3488,0.3488,0.3488,0.3488,0.3488,0.348271,0.348271,0.348271,0.348271,0.348271,0.347816,0.347816,0.347816,0.347816,0.347816,0.347446,0.347446,0.347446,0.347446,0.347446
