gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.0878455,0.0878455,0.0878455,0.0878455,0.0878455,0.0878429,0.0878429,0.0878429,0.0878429,0.0878429,0.0878408,0.0878408,0.0878408,0.0878408,0.0878408,0.0878392,0.0878392,0.0878392,0.0878392,0.0878392,0.0878381,0.0878381,0.0878381,0.0878381,0.0878381
3,0.144824,0.127673,0.127673,0.127673,0.127673,0.127673,0.127655,0.127655,0.127655,0.127655,0.127655,0.12764,0.12764,0.12764,0.12764,0.12764,0.127629,0.127629,0.127629,0.127629,0.127629,0.127622,0.127622,0.127622,0.127622,0.127622
4,0.195956,0.166325,0.166325,0.166325,0.166325,0.166325,0.166269,0.166269,0.166269,0.166269,0.166269,0.166222,0.166222,0.166222,0.166222,0.166222,0.166186,0.166186,0.166186,0.166186,0.166186,0.166161,0.166161,0.166161,0.166161,0.166161
5,0.248585,0.204229,0.204229,0.204229,0.204229,0.204229,0.204108,0.204108,0.204108,0.204108,0.204108,0.204006,0.204006,0.204006,0.204006,0.204006,0.203928,0.203928,0.203928,0.203928,0.203928,0.203872,0.203872,0.203872,0.203872,0.203872
6,0.302757,0.24125,0.24125,0.24125,0.24125,0.24125,0.241006,0.241006,0.241006,0.241006,0.241006,0.240796,0.240796,0.240796,0.240796,0.240796,0.240634,0.240634,0.240634,0.240634,0.240634,0.240516,0.240516,0.240516,0.240516,0.240516
7,0.358517,0.27762,0.27762,0.27762,0.27762,0.27762,0.277187,0.277187,0.277187,0.277187,0.277187,0.276811,0.276811,0.276811,0.276811,0.276811,0.276518,0.276518,0.276518,0.276518,0.276518,0.276305,0.276305,0.276305,0.276305,0.276305
8,0.41591,0.314055,0.314055,0.314055,0.314055,0.314055,0.313391,0.313391,0.313391,0.313391,0.313391,0.312809,0.312809,0.312809,0.312809,0.312809,0.312354,0.312354,0.312354,0.312354,0.312354,0.31202,0.31202,0.31202,0.31202,0.31202
9,0.474986,0.350307,0.350307,0.350307,0.350307,0.350307,0.3493,0.3493,0.3493,0.3493,0.3493,0.34841,0.34841,0.34841,0.34841,0.34841,0.347702,0.347702,0.347702,0.347702,0.347702,0.347174,0.347174,0.347174,0.347174,0.347174
