gridnumber,capital,policy[0 0],policy[1 0],policy[2 0],policy[3 0],policy[4 0]
0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0
2,0.0951487,0,0,0,0,0
3,0.144824,0,0,0,0,0
4,0.195956,0,0,0,0,0
5,0.248585,0,0,0,0,0
6,0.302757,0,0,0,0,0
7,0.358517,0,0,0,0,0
8,0.41591,0,0,0,0,0
9,0.474986,0,0,0,0,0
10,0.535792,0,0,0,0,0
11,0.598381,0,0,0,0,0
12,0.662804,0.00497915,0,0,0,0
13,0.729114,0.0494347,0,0,0,0
14,0.797368,0.0852606,0.0321831,0,0,0
15,0.867622,0.123891,0.0737129,0.000125711,0,0
16,0.939934,0.164845,0.11406,0.0512676,0,0
17,1.01437,0.208003,0.157117,0.0939417,0.0150368,0
18,1.09098,0.25403,0.202714,0.139591,0.067475,0
19,1.16984,0.305303,0.25165,0.188368,0.116323,0.0368295
20,1.25101,0.360712,0.306043,0.240873,0.168875,0.0912531
21,1.33455,0.417827,0.364645,0.298258,0.225498,0.148657
22,1.42055,0.478644,0.424758,0.360654,0.286477,0.21027
23,1.50907,0.54274,0.488482,0.424333,0.352695,0.275768
24,1.60018,0.609271,0.556259,0.491376,0.420659,0.346044
25,1.69396,0.678399,0.626344,0.563016,0.491566,0.4186
26,1.79048,0.75115,0.698849,0.63693,0.567181,0.494067
27,1.88984,0.827858,0.775483,0.713424,0.645074,0.573611
28,1.99211,0.907029,0.855832,0.794137,0.726065,0.65571
29,2.09737,0.988592,0.938461,0.878402,0.811033,0.74147
30,2.20572,1.0739,1.02411,0.965031,0.899382,0.830706
31,2.31725,1.16284,1.11374,1.0552,0.990182,0.923482
32,2.43204,1.25508,1.20633,1.1488,1.08485,1.01825
33,2.5502,1.3509,1.30254,1.24502,1.18256,1.11743
34,2.67182,1.44972,1.40242,1.34586,1.28315,1.21923
35,2.797,1.55177,1.5051,1.45017,1.38876,1.32472
36,2.92586,1.65785,1.6114,1.55704,1.49719,1.43502
37,3.05848,1.76808,1.72218,1.66789,1.60825,1.54727
38,3.195,1.88197,1.83686,1.78332,1.724,1.66318
