gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0.00497917,0.00497917,0.00497917,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0.0494348,0.0494348,0.0494348,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0.0852606,0.0852606,0.0852606,0.0321832,0.0321832,0.0321832,0,0,0,0,0,0,0,0,0
15,0.867622,0.123891,0.123891,0.123891,0.073713,0.073713,0.073713,0.000125903,0.000125903,0.000125903,0,0,0,0,0,0
16,0.939934,0.164845,0.164845,0.164845,0.11406,0.11406,0.11406,0.0512677,0.0512677,0.0512677,0,0,0,0,0,0
17,1.01437,0.208003,0.208003,0.208003,0.157117,0.157117,0.157117,0.0939419,0.0939419,0.0939419,0.0150373,0.0150373,0.0150373,0,0,0
18,1.09098,0.25403,0.25403,0.25403,0.202714,0.202714,0.202714,0.139591,0.139591,0.139591,0.0674755,0.0674755,0.0674755,0,0,0
19,1.16984,0.305303,0.305303,0.305303,0.25165,0.25165,0.25165,0.188369,0.188369,0.188369,0.116324,0.116324,0.116324,0.0368309,0.0368309,0.0368309
20,1.25101,0.360712,0.360712,0.360712,0.306043,0.306043,0.306043,0.240873,0.240873,0.240873,0.168876,0.168876,0.168876,0.0912545,0.0912545,0.0912545
21,1.33455,0.417828,0.417828,0.417828,0.364646,0.364646,0.364646,0.298258,0.298258,0.298258,0.225499,0.225499,0.225499,0.148659,0.148659,0.148659
22,1.42055,0.478644,0.478644,0.478644,0.424758,0.424758,0.424758,0.360654,0.360654,0.360654,0.286479,0.286479,0.286479,0.210272,0.210272,0.210272
23,1.50907,0.54274,0.54274,0.54274,0.488482,0.488482,0.488482,0.424334,0.424334,0.424334,0.352696,0.352696,0.352696,0.275771,0.275771,0.275771
24,1.60018,0.609271,0.609271,0.609271,0.556259,0.556259,0.556259,0.491377,0.491377,0.491377,0.420661,0.420661,0.420661,0.346047,0.346047,0.346047
25,1.69396,0.678399,0.678399,0.678399,0.626344,0.626344,0.626344,0.563017,0.563017,0.563017,0.491568,0.491568,0.491568,0.418603,0.418603,0.418603
26,1.79048,0.75115,0.75115,0.75115,0.69885,0.69885,0.69885,0.636931,0.636931,0.636931,0.567184,0.567184,0.567184,0.494071,0.494071,0.494071
27,1.88984,0.827858,0.827858,0.827858,0.775483,0.775483,0.775483,0.713425,0.713425,0.713425,0.645076,0.645076,0.645076,0.573615,0.573615,0.573615
28,1.99211,0.90703,0.90703,0.90703,0.855833,0.855833,0.855833,0.794138,0.794138,0.794138,0.726069,0.726069,0.726069,0.655715,0.655715,0.655715
29,2.09737,0.988593,0.988593,0.988593,0.938462,0.938462,0.938462,0.878404,0.878404,0.878404,0.811037,0.811037,0.811037,0.741477,0.741477,0.741477
30,2.20572,1.0739,1.0739,1.0739,1.02411,1.02411,1.02411,0.965033,0.965033,0.965033,0.899386,0.899386,0.899386,0.830714,0.830714,0.830714
31,2.31725,1.16284,1.16284,1.16284,1.11374,1.11374,1.11374,1.0552,1.0552,1.0552,0.990187,0.990187,0.990187,0.923491,0.923491,0.923491
32,2.43204,1.25509,1.25509,1.25509,1.20633,1.20633,1.20633,1.14881,1.14881,1.14881,1.08485,1.08485,1.08485,1.01826,1.01826,1.01826
33,2.5502,1.35093,1.35093,1.35093,1.30255,1.30255,1.30255,1.24502,1.24502,1.24502,1.18257,1.18257,1.18257,1.11744,1.11744,1.11744
34,2.67182,1.44978,1.44978,1.44978,1.40244,1.40244,1.40244,1.34586,1.34586,1.34586,1.28317,1.28317,1.28317,1.21925,1.21925,1.21925
35,2.797,1.55183,1.55183,1.55183,1.50515,1.50515,1.50515,1.45019,1.45019,1.45019,1.38877,1.38877,1.38877,1.32474,1.32474,1.32474
36,2.92586,1.65786,1.65786,1.65786,1.61144,1.61144,1.61144,1.55708,1.55708,1.55708,1.49721,1.49721,1.49721,1.43505,1.43505,1.43505
37,3.05848,1.76804,1.76804,1.76804,1.72218,1.72218,1.72218,1.66792,1.66792,1.66792,1.60828,1.60828,1.60828,1.5473,1.5473,1.5473
38,3.195,1.882,1.882,1.882,1.83685,1.83685,1.83685,1.78332,1.78332,1.78332,1.72403,1.72403,1.72403,1.66323,1.66323,1.66323
39,3.33551,1.99912,1.99912,1.99912,1.95486,1.95486,1.95486,1.90231,1.90231,1.90231,1.84412,1.84412,1.84412,1.78397,1.78397,1.78397
40,3.48015,2.12018,2.12018,2.12018,2.07635,2.07635,2.07635,2.02473,2.02473,2.02473,1.96733,1.96733,1.96733,1.9086,1.9086,1.9086
