gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0.0049804,0.0049804,0.0049804,0.0049804,0.0049804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0.0494358,0.0494358,0.0494358,0.0494358,0.0494358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0.0852618,0.0852618,0.0852618,0.0852618,0.0852618,0.0321868,0.0321868,0.0321868,0.0321868,0.0321868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.867622,0.123892,0.123892,0.123892,0.123892,0.123892,0.0737163,0.0737163,0.0737163,0.0737163,0.0737163,0.000135562,0.000135562,0.000135562,0.000135562,0.000135562,0,0,0,0,0,0,0,0,0,0
16,0.939934,0.164847,0.164847,0.164847,0.164847,0.164847,0.114064,0.114064,0.114064,0.114064,0.114064,0.0512764,0.0512764,0.0512764,0.0512764,0.0512764,0,0,0,0,0,0,0,0,0,0
17,1.01437,0.208006,0.208006,0.208006,0.208006,0.208006,0.157122,0.157122,0.157122,0.157122,0.157122,0.0939521,0.0939521,0.0939521,0.0939521,0.0939521,0.0150637,0.0150637,0.0150637,0.0150637,0.0150637,0,0,0,0,0
18,1.09098,0.254034,0.254034,0.254034,0.254034,0.254034,0.202721,0.202721,0.202721,0.202721,0.202721,0.139604,0.139604,0.139604,0.139604,0.139604,0.0675003,0.0675003,0.0675003,0.0675003,0.0675003,0,0,0,0,0
19,1.16984,0.305308,0.305308,0.305308,0.305308,0.305308,0.25166,0.25166,0.25166,0.25166,0.25166,0.188384,0.188384,0.188384,0.188384,0.188384,0.116354,0.116354,0.116354,0.116354,0.116354,0.0368935,0.0368935,0.0368935,0.0368935,0.0368935
20,1.25101,0.360718,0.360718,0.360718,0.360718,0.360718,0.306055,0.306055,0.306055,0.306055,0.306055,0.240894,0.240894,0.240894,0.240894,0.240894,0.168913,0.168913,0.168913,0.168913,0.168913,0.0913162,0.0913162,0.0913162,0.0913162,0.0913162
21,1.33455,0.417835,0.417835,0.417835,0.417835,0.417835,0.364659,0.364659,0.364659,0.364659,0.364659,0.298284,0.298284,0.298284,0.298284,0.298284,0.225545,0.225545,0.225545,0.225545,0.225545,0.148736,0.148736,0.148736,0.148736,0.148736
22,1.42055,0.478653,0.478653,0.478653,0.478653,0.478653,0.424775,0.424775,0.424775,0.424775,0.424775,0.360685,0.360685,0.360685,0.360685,0.360685,0.286537,0.286537,0.286537,0.286537,0.286537,0.210366,0.210366,0.210366,0.210366,0.210366
23,1.50907,0.542754,0.542754,0.542754,0.542754,0.542754,0.488504,0.488504,0.488504,0.488504,0.488504,0.424371,0.424371,0.424371,0.424371,0.424371,0.352764,0.352764,0.352764,0.352764,0.352764,0.275885,0.275885,0.275885,0.275885,0.275885
24,1.60018,0.609311,0.609311,0.609311,0.609311,0.609311,0.556292,0.556292,0.556292,0.556292,0.556292,0.491424,0.491424,0.491424,0.491424,0.491424,0.420737,0.420737,0.420737,0.420737,0.420737,0.346177,0.346177,0.346177,0.346177,0.346177
