gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604,0.04604
2,0.0951487,0.0869411,0.0869411,0.0869411,0.0869411,0.0869411,0.0869398,0.0869398,0.0869398,0.0869398,0.0869398,0.0869386,0.0869386,0.0869386,0.0869386,0.0869386,0.0869377,0.0869377,0.0869377,0.0869377,0.0869377,0.086937,0.086937,0.086937,0.086937,0.086937
3,0.144824,0.12573,0.12573,0.12573,0.12573,0.12573,0.125722,0.125722,0.125722,0.125722,0.125722,0.125714,0.125714,0.125714,0.125714,0.125714,0.125707,0.125707,0.125707,0.125707,0.125707,0.125702,0.125702,0.125702,0.125702,0.125702
4,0.195956,0.163203,0.163203,0.163203,0.163203,0.163203,0.163177,0.163177,0.163177,0.163177,0.163177,0.163152,0.163152,0.163152,0.163152,0.163152,0.163132,0.163132,0.163132,0.163132,0.163132,0.163116,0.163116,0.163116,0.163116,0.163116
5,0.248585,0.199837,0.199837,0.199837,0.199837,0.199837,0.199781,0.199781,0.199781,0.199781,0.199781,0.19973,0.19973,0.19973,0.19973,0.19973,0.199688,0.199688,0.199688,0.199688,0.199688,0.199654,0.199654,0.199654,0.199654,0.199654
6,0.302757,0.235034,0.235034,0.235034,0.235034,0.235034,0.234915,0.234915,0.234915,0.234915,0.234915,0.234806,0.234806,0.234806,0.234806,0.234806,0.234714,0.234714,0.234714,0.234714,0.234714,0.23464,0.23464,0.23464,0.23464,0.23464
7,0.358517,0.269764,0.269764,0.269764,0.269764,0.269764,0.269559,0.269559,0.269559,0.269559,0.269559,0.269371,0.269371,0.269371,0.269371,0.269371,0.269211,0.269211,0.269211,0.269211,0.269211,0.269083,0.269083,0.269083,0.269083,0.269083
8,0.41591,0.304485,0.304485,0.304485,0.304485,0.304485,0.304179,0.304179,0.304179,0.304179,0.304179,0.303897,0.303897,0.303897,0.303897,0.303897,0.303659,0.303659,0.303659,0.303659,0.303659,0.303467,0.303467,0.303467,0.303467,0.303467
9,0.474986,0.33827,0.33827,0.33827,0.33827,0.33827,0.337786,0.337786,0.337786,0.337786,0.337786,0.337332,0.337332,0.337332,0.337332,0.337332,0.336942,0.336942,0.336942,0.336942,0.336942,0.336626,0.336626,0.336626,0.336626,0.336626
10,0.535792,0.372345,0.372345,0.372345,0.372345,0.372345,0.371673,0.371673,0.371673,0.371673,0.371673,0.37104,0.37104,0.37104,0.37104,0.37104,0.370495,0.370495,0.370495,0.370495,0.370495,0.370052,0.370052,0.370052,0.370052,0.370052
11,0.598381,0.406411,0.406411,0.406411,0.406411,0.406411,0.405467,0.405467,0.405467,0.405467,0.405467,0.404572,0.404572,0.404572,0.404572,0.404572,0.403795,0.403795,0.403795,0.403795,0.403795,0.403159,0.403159,0.403159,0.403159,0.403159
12,0.662804,0.440433,0.440433,0.440433,0.440433,0.440433,0.439194,0.439194,0.439194,0.439194,0.439194,0.43802,0.43802,0.43802,0.43802,0.43802,0.437,0.437,0.437,0.437,0.437,0.436163,0.436163,0.436163,0.436163,0.436163
