gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461474,0.0461474,0.0461474,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.087868,0.087868,0.087868,0.0878597,0.0878597,0.0878597,0.0878529,0.0878529,0.0878529,0.0878479,0.0878479,0.0878479,0.0878445,0.0878445,0.0878445
3,0.144824,0.127817,0.127817,0.127817,0.127766,0.127766,0.127766,0.127723,0.127723,0.127723,0.12769,0.12769,0.12769,0.127667,0.127667,0.127667
4,0.195956,0.166751,0.166751,0.166751,0.166605,0.166605,0.166605,0.166478,0.166478,0.166478,0.16638,0.16638,0.16638,0.166308,0.166308,0.166308
5,0.248585,0.205131,0.205131,0.205131,0.204825,0.204825,0.204825,0.204559,0.204559,0.204559,0.204351,0.204351,0.204351,0.204197,0.204197,0.204197
6,0.302757,0.243014,0.243014,0.243014,0.242429,0.242429,0.242429,0.241912,0.241912,0.241912,0.2415,0.2415,0.2415,0.241191,0.241191,0.241191
7,0.358517,0.280622,0.280622,0.280622,0.279657,0.279657,0.279657,0.27878,0.27878,0.27878,0.278066,0.278066,0.278066,0.277523,0.277523,0.277523
8,0.41591,0.318599,0.318599,0.318599,0.317175,0.317175,0.317175,0.31586,0.31586,0.31586,0.314773,0.314773,0.314773,0.313936,0.313936,0.313936
9,0.474986,0.356996,0.356996,0.356996,0.354976,0.354976,0.354976,0.353073,0.353073,0.353073,0.351462,0.351462,0.351462,0.350195,0.350195,0.350195
10,0.535792,0.395789,0.395789,0.395789,0.393023,0.393023,0.393023,0.390412,0.390412,0.390412,0.388185,0.388185,0.388185,0.386413,0.386413,0.386413
11,0.598381,0.435538,0.435538,0.435538,0.431899,0.431899,0.431899,0.428455,0.428455,0.428455,0.425512,0.425512,0.425512,0.423162,0.423162,0.423162
12,0.662804,0.476298,0.476298,0.476298,0.471628,0.471628,0.471628,0.46715,0.46715,0.46715,0.463276,0.463276,0.463276,0.460152,0.460152,0.460152
13,0.729114,0.518268,0.518268,0.518268,0.512505,0.512505,0.512505,0.50686,0.50686,0.50686,0.501908,0.501908,0.501908,0.497883,0.497883,0.497883
14,0.797368,0.561505,0.561505,0.561505,0.554603,0.554603,0.554603,0.5477,0.5477,0.5477,0.541542,0.541542,0.541542,0.536488,0.536488,0.536488
15,0.867622,0.606067,0.606067,0.606067,0.597967,0.597967,0.597967,0.589725,0.589725,0.589725,0.582198,0.582198,0.582198,0.575886,0.575886,0.575886
16,0.939934,0.652095,0.652095,0.652095,0.642688,0.642688,0.642688,0.633013,0.633013,0.633013,0.62404,0.62404,0.62404,0.61641,0.61641,0.61641
17,1.01437,0.699905,0.699905,0.699905,0.688965,0.688965,0.688965,0.677699,0.677699,0.677699,0.66714,0.66714,0.66714,0.658085,0.658085,0.658085
18,1.09098,0.749613,0.749613,0.749613,0.736949,0.736949,0.736949,0.723945,0.723945,0.723945,0.711828,0.711828,0.711828,0.701241,0.701241,0.701241
19,1.16984,0.80138,0.80138,0.80138,0.787182,0.787182,0.787182,0.772364,0.772364,0.772364,0.758287,0.758287,0.758287,0.745914,0.745914,0.745914
20,1.25101,0.855325,0.855325,0.855325,0.83958,0.83958,0.83958,0.82278,0.82278,0.82278,0.806572,0.806572,0.806572,0.792277,0.792277,0.792277
21,1.33455,0.911263,0.911263,0.911263,0.893997,0.893997,0.893997,0.875274,0.875274,0.875274,0.857069,0.857069,0.857069,0.840822,0.840822,0.840822
22,1.42055,0.969232,0.969232,0.969232,0.950488,0.950488,0.950488,0.929962,0.929962,0.929962,0.909764,0.909764,0.909764,0.891362,0.891362,0.891362
23,1.50907,1.02945,1.02945,1.02945,1.00926,1.00926,1.00926,0.987038,0.987038,0.987038,0.96462,0.96462,0.96462,0.944009,0.944009,0.944009
24,1.60018,1.09233,1.09233,1.09233,1.07087,1.07087,1.07087,1.0467,1.0467,1.0467,1.02184,1.02184,1.02184,0.999012,0.999012,0.999012
25,1.69396,1.15813,1.15813,1.15813,1.13504,1.13504,1.13504,1.10903,1.10903,1.10903,1.08216,1.08216,1.08216,1.05692,1.05692,1.05692
26,1.79048,1.2265,1.2265,1.2265,1.20182,1.20182,1.20182,1.17392,1.17392,1.17392,1.14526,1.14526,1.14526,1.11769,1.11769,1.11769
27,1.88984,1.29767,1.29767,1.29767,1.27139,1.27139,1.27139,1.2415,1.2415,1.2415,1.21083,1.21083,1.21083,1.18126,1.18126,1.18126
28,1.99211,1.37164,1.37164,1.37164,1.34409,1.34409,1.34409,1.31252,1.31252,1.31252,1.27935,1.27935,1.27935,1.24724,1.24724,1.24724
29,2.09737,1.44833,1.44833,1.44833,1.41976,1.41976,1.41976,1.38684,1.38684,1.38684,1.35144,1.35144,1.35144,1.31703,1.31703,1.31703
30,2.20572,1.52783,1.52783,1.52783,1.49822,1.49822,1.49822,1.46411,1.46411,1.46411,1.42722,1.42722,1.42722,1.39069,1.39069,1.39069
31,2.31725,1.61049,1.61049,1.61049,1.57978,1.57978,1.57978,1.5443,1.5443,1.5443,1.50584,1.50584,1.50584,1.46752,1.46752,1.46752
32,2.43204,1.69673,1.69673,1.69673,1.66495,1.66495,1.66495,1.62781,1.62781,1.62781,1.58767,1.58767,1.58767,1.54758,1.54758,1.54758
33,2.5502,1.78656,1.78656,1.78656,1.75383,1.75383,1.75383,1.71522,1.71522,1.71522,1.67334,1.67334,1.67334,1.63133,1.63133,1.63133
34,2.67182,1.87958,1.87958,1.87958,1.84616,1.84616,1.84616,1.80654,1.80654,1.80654,1.76323,1.76323,1.76323,1.71915,1.71915,1.71915
35,2.797,1.97553,1.97553,1.97553,1.94163,1.94163,1.94163,1.90121,1.90121,1.90121,1.85676,1.85676,1.85676,1.81131,1.81131,1.81131
