gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0.0330839,0.0330839,0.0330839,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0.0736667,0.0736667,0.0736667,0.0274346,0.0274346,0.0274346,0,0,0,0,0,0,0,0,0
14,0.797368,0.113676,0.113676,0.113676,0.0718078,0.0718078,0.0718078,0.0147088,0.0147088,0.0147088,0,0,0,0,0,0
15,0.867622,0.156861,0.156861,0.156861,0.114869,0.114869,0.114869,0.0647924,0.0647924,0.0647924,0.00140295,0.00140295,0.00140295,0,0,0
16,0.939934,0.203079,0.203079,0.203079,0.16152,0.16152,0.16152,0.111562,0.111562,0.111562,0.0571032,0.0571032,0.0571032,0,0,0
17,1.01437,0.253127,0.253127,0.253127,0.211712,0.211712,0.211712,0.162341,0.162341,0.162341,0.108112,0.108112,0.108112,0.0532922,0.0532922,0.0532922
18,1.09098,0.30792,0.30792,0.30792,0.266082,0.266082,0.266082,0.217022,0.217022,0.217022,0.163241,0.163241,0.163241,0.108567,0.108567,0.108567
19,1.16984,0.36639,0.36639,0.36639,0.324609,0.324609,0.324609,0.275463,0.275463,0.275463,0.222178,0.222178,0.222178,0.167663,0.167663,0.167663
20,1.25101,0.427306,0.427306,0.427306,0.386192,0.386192,0.386192,0.337324,0.337324,0.337324,0.284068,0.284068,0.284068,0.230113,0.230113,0.230113
21,1.33455,0.490862,0.490862,0.490862,0.450006,0.450006,0.450006,0.402051,0.402051,0.402051,0.348915,0.348915,0.348915,0.294815,0.294815,0.294815
22,1.42055,0.557515,0.557515,0.557515,0.51674,0.51674,0.51674,0.46862,0.46862,0.46862,0.416623,0.416623,0.416623,0.362462,0.362462,0.362462
23,1.50907,0.626642,0.626642,0.626642,0.586391,0.586391,0.586391,0.538535,0.538535,0.538535,0.485951,0.485951,0.485951,0.432576,0.432576,0.432576
24,1.60018,0.698313,0.698313,0.698313,0.658413,0.658413,0.658413,0.611149,0.611149,0.611149,0.558813,0.558813,0.558813,0.50488,0.50488,0.50488
25,1.69396,0.77276,0.77276,0.77276,0.732934,0.732934,0.732934,0.685964,0.685964,0.685964,0.634026,0.634026,0.634026,0.580373,0.580373,0.580373
26,1.79048,0.850229,0.850229,0.850229,0.810528,0.810528,0.810528,0.763589,0.763589,0.763589,0.711718,0.711718,0.711718,0.6582,0.6582,0.6582
27,1.88984,0.930432,0.930432,0.930432,0.891143,0.891143,0.891143,0.844389,0.844389,0.844389,0.792442,0.792442,0.792442,0.738892,0.738892,0.738892
28,1.99211,1.01322,1.01322,1.01322,0.974219,0.974219,0.974219,0.927881,0.927881,0.927881,0.876186,0.876186,0.876186,0.822628,0.822628,0.822628
29,2.09737,1.09887,1.09887,1.09887,1.05999,1.05999,1.05999,1.01383,1.01383,1.01383,0.962631,0.962631,0.962631,0.909201,0.909201,0.909201
30,2.20572,1.18749,1.18749,1.18749,1.14864,1.14864,1.14864,1.10251,1.10251,1.10251,1.0514,1.0514,1.0514,0.998544,0.998544,0.998544
31,2.31725,1.27933,1.27933,1.27933,1.24058,1.24058,1.24058,1.19457,1.19457,1.19457,1.14335,1.14335,1.14335,1.08998,1.08998,1.08998
32,2.43204,1.37427,1.37427,1.37427,1.3357,1.3357,1.3357,1.28988,1.28988,1.28988,1.23897,1.23897,1.23897,1.18578,1.18578,1.18578
33,2.5502,1.47235,1.47235,1.47235,1.43399,1.43399,1.43399,1.38826,1.38826,1.38826,1.33722,1.33722,1.33722,1.28456,1.28456,1.28456
34,2.67182,1.5736,1.5736,1.5736,1.53555,1.53555,1.53555,1.49015,1.49015,1.49015,1.43924,1.43924,1.43924,1.38632,1.38632,1.38632
35,2.797,1.67806,1.67806,1.67806,1.64019,1.64019,1.64019,1.59521,1.59521,1.59521,1.54475,1.54475,1.54475,1.49204,1.49204,1.49204
36,2.92586,1.78604,1.78604,1.78604,1.74812,1.74812,1.74812,1.70312,1.70312,1.70312,1.65304,1.65304,1.65304,1.60073,1.60073,1.60073
37,3.05848,1.89763,1.89763,1.89763,1.85978,1.85978,1.85978,1.81474,1.81474,1.81474,1.76462,1.76462,1.76462,1.71255,1.71255,1.71255
38,3.195,2.01287,2.01287,2.01287,1.97519,1.97519,1.97519,1.93035,1.93035,1.93035,1.88035,1.88035,1.88035,1.82828,1.82828,1.82828
39,3.33551,2.13186,2.13186,2.13186,2.09431,2.09431,2.09431,2.04966,2.04966,2.04966,1.99979,1.99979,1.99979,1.94803,1.94803,1.94803
40,3.48015,2.25466,2.25466,2.25466,2.21728,2.21728,2.21728,2.17281,2.17281,2.17281,2.12305,2.12305,2.12305,2.07131,2.07131,2.07131
