gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0108079,0.0555223,0.121187,0.209288,0,0,0,0.010808,0.0555225,0.121187,0.209288,0,0,0,0.0108082,0.0555228,0.121188,0.209289,0,0,0,0.0108082,0.0555229,0.121188,0.209289,0,0,0,0.0107656,0.0553965,0.120976,0.208983,0,0,0,0.010723,0.0552699,0.120764,0.208676,0,0,0,0.0106808,0.0551436,0.120551,0.208369
1,0.0185364,0,0,0,0.0236832,0.0694238,0.136305,0.225025,0,0,0,0.0236833,0.069424,0.136306,0.225026,0,0,0,0.0236835,0.0694244,0.136306,0.225026,0,0,0,0.0236835,0.0694244,0.136306,0.225026,0,0,0,0.0236105,0.0692738,0.136076,0.224708,0,0,0,0.0235375,0.069123,0.135847,0.224389,0,0,0,0.0234648,0.0689724,0.135617,0.224069
2,0.0372875,0,0,0.00253336,0.0355575,0.0837368,0.151744,0.241033,0,0,0.00253346,0.0355576,0.0837371,0.151745,0.241033,0,0,0.00253363,0.0355578,0.0837375,0.151745,0.241034,0,0,0.00253357,0.0355579,0.0837375,0.151745,0.241034,0,0,0.00252268,0.035461,0.0835569,0.151485,0.240702,0,0,0.00251164,0.0353642,0.0833763,0.151226,0.240369,0,0,0.00250076,0.0352677,0.0831961,0.150966,0.240036
3,0.0562558,0,0,0.016103,0.0484735,0.0984026,0.167339,0.257298,0,0,0.0161031,0.0484737,0.0984028,0.167339,0.257298,0,0,0.0161033,0.048474,0.0984032,0.16734,0.257298,0,0,0.0161032,0.048474,0.0984033,0.16734,0.257298,0,0,0.0160327,0.0483485,0.0981962,0.167056,0.256946,0,0,0.0159624,0.0482229,0.0979883,0.166772,0.256593,0,0,0.0158928,0.0480975,0.09778,0.166487,0.25624
4,0.0754439,0,0.00352545,0.0279683,0.0620138,0.11331,0.18316,0.273757,0,0.00352551,0.0279684,0.0620141,0.11331,0.18316,0.273757,0,0.00352565,0.0279686,0.0620144,0.11331,0.183161,0.273758,0,0.00352557,0.0279686,0.0620144,0.11331,0.183161,0.273758,0,0.00350886,0.0278795,0.0618628,0.1131,0.18286,0.273381,0,0.00349208,0.0277904,0.0617109,0.112889,0.182558,0.273003,0,0.0034755,0.0277016,0.0615591,0.112678,0.182255,0.272624
5,0.0948544,0,0.0169868,0.0397826,0.0762024,0.128874,0.199263,0.290417,0,0.0169868,0.0397827,0.0762027,0.128875,0.199263,0.290418,0,0.016987,0.0397829,0.076203,0.128875,0.199264,0.290418,0,0.0169869,0.0397829,0.0762031,0.128875,0.199264,0.290418,0,0.0169057,0.0396589,0.0760281,0.128645,0.198952,0.290022,0,0.0168248,0.0395347,0.0758533,0.128414,0.198638,0.289625,0,0.0167447,0.0394106,0.075679,0.128184,0.198324,0.289226
6,0.11449,0.0113979,0.0283718,0.0526322,0.0910554,0.144793,0.215723,0.307299,0.0113979,0.0283719,0.0526324,0.0910556,0.144793,0.215723,0.3073,0.011398,0.028372,0.0526326,0.0910559,0.144793,0.215723,0.3073,0.0113979,0.028372,0.0526326,0.091056,0.144793,0.215723,0.3073,0.0113394,0.0282744,0.0524907,0.0908448,0.144535,0.215404,0.306888,0.0112812,0.028177,0.0523486,0.0906336,0.144276,0.215083,0.306475,0.0112235,0.0280798,0.0522066,0.090423,0.144018,0.214762,0.306061
7,0.134352,0.0235557,0.0398176,0.0663469,0.106137,0.160955,0.232551,0.324426,0.0235558,0.0398177,0.0663471,0.106137,0.160955,0.232552,0.324426,0.0235559,0.0398179,0.0663474,0.106137,0.160956,0.232552,0.324427,0.0235558,0.0398179,0.0663474,0.106137,0.160956,0.232552,0.324427,0.0234653,0.0396825,0.0661797,0.105916,0.160668,0.232218,0.323998,0.023375,0.039547,0.0660116,0.105694,0.160379,0.231884,0.323569,0.023285,0.0394115,0.0658435,0.105471,0.160091,0.231548,0.323139
8,0.154445,0.0343683,0.0522498,0.0807519,0.121708,0.177305,0.249653,0.341815,0.0343684,0.0522499,0.0807521,0.121708,0.177305,0.249653,0.341816,0.0343685,0.0522501,0.0807524,0.121708,0.177305,0.249654,0.341816,0.0343684,0.0522501,0.0807525,0.121708,0.177305,0.249654,0.341816,0.0342464,0.0520979,0.0805539,0.121472,0.176992,0.249299,0.341375,0.0341245,0.0519453,0.0803555,0.121235,0.176677,0.248944,0.340933,0.034003,0.0517929,0.0801576,0.120997,0.176361,0.248588,0.340489
9,0.174771,0.0459998,0.065629,0.0957865,0.137866,0.193934,0.266984,0.359484,0.0459999,0.0656292,0.0957867,0.137867,0.193934,0.266985,0.359485,0.046,0.0656294,0.0957871,0.137867,0.193935,0.266985,0.359485,0.046,0.0656295,0.0957871,0.137867,0.193935,0.266985,0.359485,0.0458456,0.0654503,0.0955498,0.137609,0.193616,0.266606,0.359037,0.0456909,0.0652705,0.0953111,0.13735,0.193296,0.266225,0.358586,0.0455362,0.0650905,0.0950715,0.137091,0.192976,0.265845,0.358134
