gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
0,0,-20.9185,-14.2937,-11.0355,-9.07257,-7.59743,-6.31084,-5.10578,
1,0.0185364,-19.9712,-14.0736,-10.975,-9.04703,-7.58347,-6.30221,-5.10017,
2,0.0372875,-19.1915,-13.8778,-10.9158,-9.0215,-7.56948,-6.29348,-5.0945,
3,0.0562558,-18.5424,-13.7029,-10.8582,-8.99607,-7.55539,-6.28471,-5.08879,
4,0.0754439,-17.9967,-13.5453,-10.8018,-8.97066,-7.54121,-6.27583,-5.08303,
5,0.0948544,-17.5339,-13.3925,-10.7461,-8.94525,-7.52697,-6.26691,-5.0772,
6,0.11449,-17.1384,-13.25,-10.6921,-8.91987,-7.51263,-6.2579,-5.07133,
7,0.134352,-16.7973,-13.1124,-10.639,-8.89463,-7.49824,-6.24883,-5.0654,
8,0.154445,-16.4761,-12.9841,-10.5865,-8.86937,-7.48377,-6.23968,-5.05942,
9,0.174771,-16.1802,-12.8595,-10.5351,-8.8441,-7.46919,-6.23046,-5.05337,
10,0.195332,-15.901,-12.7433,-10.4844,-8.81884,-7.45458,-6.22117,-5.04729,
11,0.216131,-15.6455,-12.6301,-10.4345,-8.79366,-7.43987,-6.21179,-5.04113,
12,0.237172,-15.402,-12.5215,-10.3853,-8.76849,-7.42506,-6.20236,-5.03491,
13,0.258456,-15.1795,-12.4173,-10.3368,-8.74332,-7.41021,-6.19283,-5.02865,
14,0.279986,-14.9659,-12.3162,-10.289,-8.71815,-7.39526,-6.18324,-5.02233,
15,0.301766,-14.7671,-12.2193,-10.2417,-8.69305,-7.38022,-6.17355,-5.01593,
16,0.323799,-14.5778,-12.1252,-10.195,-8.66793,-7.36513,-6.16381,-5.0095,
17,0.346087,-14.3987,-12.0333,-10.1489,-8.64279,-7.34993,-6.15397,-5.003,
18,0.368632,-14.2302,-11.9437,-10.1034,-8.61764,-7.33465,-6.14408,-4.99644,
19,0.391439,-14.0678,-11.8573,-10.0584,-8.59253,-7.31931,-6.13409,-4.98983,
20,0.414511,-13.9113,-11.7728,-10.0138,-8.56744,-7.30387,-6.12405,-4.98315,
21,0.437849,-13.7618,-11.6901,-9.96952,-8.54235,-7.28836,-6.11389,-4.9764,
22,0.461458,-13.6176,-11.6092,-9.92571,-8.51725,-7.27278,-6.10369,-4.96961,
23,0.485341,-13.4784,-11.5308,-9.8825,-8.49212,-7.25711,-6.09338,-4.96275,
24,0.5095,-13.3438,-11.454,-9.83961,-8.46702,-7.24134,-6.08302,-4.95582,
25,0.533939,-13.2138,-11.3788,-9.79703,-8.44191,-7.22553,-6.07255,-4.94884,
26,0.558661,-13.089,-11.3051,-9.75475,-8.41678,-7.20961,-6.06203,-4.94179,
27,0.58367,-12.9677,-11.2328,-9.71283,-8.39164,-7.1936,-6.0514,-4.93468,
