gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
0,0,-9.85701,-9.38028,-9.03572,-8.76592,-8.5104,-8.24875,-7.97099,
1,0.0185364,-9.79007,-9.34326,-9.01527,-8.7509,-8.49776,-8.2375,-7.96076,
2,0.0372875,-9.72799,-9.30839,-8.99577,-8.73599,-8.48505,-8.22616,-7.95044,
3,0.0562558,-9.67034,-9.27552,-8.9766,-8.72107,-8.47227,-8.21475,-7.94004,
4,0.0754439,-9.6167,-9.24452,-8.95777,-8.70614,-8.45943,-8.20326,-7.92955,
5,0.0948544,-9.56675,-9.21524,-8.93901,-8.69121,-8.44654,-8.19167,-7.91898,
6,0.11449,-9.52017,-9.18757,-8.9205,-8.67629,-8.43359,-8.18001,-7.90832,
7,0.134352,-9.47666,-9.16141,-8.90219,-8.66138,-8.42055,-8.16827,-7.89756,
8,0.154445,-9.436,-9.13666,-8.88396,-8.64645,-8.40745,-8.15644,-7.88673,
9,0.174771,-9.39793,-9.11315,-8.86582,-8.63148,-8.39428,-8.14451,-7.8758,
10,0.195332,-9.36227,-9.08986,-8.8479,-8.61647,-8.38105,-8.13252,-7.86477,
11,0.216131,-9.32882,-9.06724,-8.8301,-8.60144,-8.36773,-8.12043,-7.85367,
12,0.237172,-9.29741,-9.04485,-8.81238,-8.58641,-8.35434,-8.10825,-7.84246,
13,0.258456,-9.2679,-9.02271,-8.79473,-8.57132,-8.34087,-8.09598,-7.83116,
14,0.279986,-9.23977,-9.00096,-8.77716,-8.55619,-8.32733,-8.08362,-7.81977,
15,0.301766,-9.21212,-8.97951,-8.75969,-8.54102,-8.31372,-8.07117,-7.80828,
16,0.323799,-9.18494,-8.95828,-8.74227,-8.52579,-8.30002,-8.05862,-7.79669,
17,0.346087,-9.15859,-8.93726,-8.72487,-8.51052,-8.28624,-8.04598,-7.78503,
18,0.368632,-9.13261,-8.91656,-8.70748,-8.49519,-8.27237,-8.03326,-7.77325,
19,0.391439,-9.10701,-8.89611,-8.6901,-8.47982,-8.25842,-8.02044,-7.76138,
20,0.414511,-9.08201,-8.87583,-8.67273,-8.4644,-8.2444,-8.00752,-7.74942,
21,0.437849,-9.05748,-8.8557,-8.65537,-8.44891,-8.23029,-7.9945,-7.73736,
22,0.461458,-9.03329,-8.83569,-8.638,-8.43336,-8.21609,-7.9814,-7.72519,
23,0.485341,-9.00946,-8.81581,-8.62061,-8.41774,-8.2018,-7.96819,-7.71293,
24,0.5095,-8.9861,-8.79603,-8.60322,-8.40206,-8.18742,-7.95489,-7.70057,
25,0.533939,-8.96311,-8.77631,-8.58581,-8.38631,-8.17295,-7.94148,-7.6881,
26,0.558661,-8.94035,-8.7567,-8.56839,-8.37049,-8.15839,-7.92798,-7.67554,
27,0.58367,-8.91782,-8.73714,-8.55093,-8.3546,-8.14375,-7.91438,-7.66287,
28,0.608968,-8.89551,-8.71762,-8.53344,-8.33862,-8.12901,-7.90067,-7.65009,
29,0.634559,-8.87338,-8.69813,-8.5159,-8.32258,-8.11417,-7.88686,-7.63722,
30,0.660447,-8.85141,-8.67867,-8.49833,-8.30646,-8.09923,-7.87295,-7.62425,
31,0.686635,-8.8296,-8.65924,-8.48071,-8.29026,-8.0842,-7.85894,-7.61115,
32,0.713126,-8.80791,-8.63982,-8.46305,-8.27399,-8.06906,-7.84482,-7.59796,
33,0.739924,-8.7863,-8.62041,-8.44533,-8.25763,-8.05384,-7.8306,-7.58467,
34,0.767033,-8.76479,-8.60099,-8.42756,-8.24118,-8.03852,-7.81627,-7.57126,
35,0.794456,-8.74336,-8.58157,-8.40972,-8.22465,-8.0231,-7.80184,-7.55775,
36,0.822196,-8.72201,-8.56213,-8.39183,-8.20802,-8.00757,-7.7873,-7.54413,
37,0.850258,-8.70073,-8.54269,-8.37387,-8.19131,-7.99194,-7.77265,-7.53041,
38,0.878644,-8.67949,-8.52322,-8.35585,-8.17451,-7.97621,-7.75789,-7.51656,
39,0.90736,-8.65828,-8.50372,-8.33776,-8.15761,-7.96036,-7.74302,-7.50262,
40,0.936408,-8.6371,-8.48419,-8.31959,-8.14062,-7.94442,-7.72805,-7.48856,
41,0.965793,-8.61595,-8.46462,-8.30135,-8.12353,-7.92836,-7.71296,-7.47439,
42,0.995519,-8.59481,-8.445,-8.28303,-8.10635,-7.91221,-7.69776,-7.46009,
43,1.02559,-8.57368,-8.42535,-8.26464,-8.08907,-7.89595,-7.68245,-7.4457,
44,1.05601,-8.55254,-8.40564,-8.24616,-8.07169,-7.87958,-7.66701,-7.43119,
45,1.08678,-8.53139,-8.38587,-8.2276,-8.05421,-7.8631,-7.65147,-7.41656,
46,1.1179,-8.51022,-8.36605,-8.20895,-8.03663,-7.84651,-7.63582,-7.40181,
47,1.14939,-8.48904,-8.34616,-8.19021,-8.01895,-7.8298,-7.62005,-7.38696,
48,1.18124,-8.46784,-8.32621,-8.17139,-8.00116,-7.81298,-7.60417,-7.37199,
49,1.21346,-8.44661,-8.30619,-8.15248,-7.98326,-7.79605,-7.58816,-7.35689,
50,1.24606,-8.42533,-8.28609,-8.13347,-7.96525,-7.779,-7.57203,-7.34168,
51,1.27903,-8.40401,-8.26593,-8.11437,-7.94715,-7.76184,-7.5558,-7.32636,
52,1.31239,-8.38264,-8.24568,-8.09517,-7.92894,-7.74457,-7.53944,-7.31091,
53,1.34613,-8.36121,-8.22536,-8.07587,-7.91061,-7.72718,-7.52297,-7.29534,
54,1.38026,-8.33973,-8.20496,-8.05648,-7.89218,-7.70967,-7.50637,-7.27965,
55,1.41479,-8.31819,-8.18447,-8.03698,-7.87363,-7.69204,-7.48964,-7.26385,
56,1.44971,-8.2966,-8.16391,-8.01738,-7.85497,-7.67429,-7.47279,-7.24793,
57,1.48504,-8.27494,-8.14325,-7.99768,-7.83619,-7.65642,-7.45583,-7.23188,
58,1.52078,-8.25321,-8.12249,-7.97787,-7.8173,-7.63843,-7.43875,-7.2157,
59,1.55694,-8.23141,-8.10165,-7.95796,-7.7983,-7.62032,-7.42154,-7.19942,
60,1.59351,-8.20952,-8.08071,-7.93794,-7.77917,-7.60209,-7.40421,-7.183,
61,1.63051,-8.18755,-8.05967,-7.9178,-7.75993,-7.58373,-7.38675,-7.16646,
62,1.66794,-8.1655,-8.03853,-7.89756,-7.74056,-7.56525,-7.36915,-7.14979,
63,1.7058,-8.14337,-8.01729,-7.8772,-7.72108,-7.54665,-7.35144,-7.13299,
64,1.7441,-8.12115,-7.99595,-7.85673,-7.70148,-7.52792,-7.33361,-7.11608,
