gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
0,0,-9.85747,-9.38072,-9.03613,-8.76632,-8.51078,-8.2491,-7.97131,
1,0.0185364,-9.79053,-9.34369,-9.01568,-8.7513,-8.49814,-8.23785,-7.96108,
2,0.0372875,-9.72845,-9.30882,-8.99618,-8.73638,-8.48543,-8.2265,-7.95076,
3,0.0562558,-9.67078,-9.27595,-8.97701,-8.72146,-8.47264,-8.2151,-7.94036,
4,0.0754439,-9.61715,-9.24494,-8.95818,-8.70653,-8.4598,-8.2036,-7.92987,
5,0.0948544,-9.56719,-9.21566,-8.93942,-8.6916,-8.44691,-8.19202,-7.9193,
6,0.11449,-9.5206,-9.18799,-8.92091,-8.67668,-8.43395,-8.18036,-7.90864,
7,0.134352,-9.4771,-9.16183,-8.90259,-8.66177,-8.42092,-8.16861,-7.89787,
8,0.154445,-9.43643,-9.13707,-8.88436,-8.64683,-8.40781,-8.15678,-7.88704,
9,0.174771,-9.39836,-9.11356,-8.86622,-8.63186,-8.39464,-8.14485,-7.87611,
10,0.195332,-9.3627,-9.09028,-8.84829,-8.61685,-8.38141,-8.13286,-7.86508,
11,0.216131,-9.32924,-9.06765,-8.83049,-8.60182,-8.36809,-8.12077,-7.85397,
12,0.237172,-9.29783,-9.04526,-8.81277,-8.58678,-8.3547,-8.10858,-7.84276,
13,0.258456,-9.26831,-9.02311,-8.79512,-8.5717,-8.34122,-8.09631,-7.83146,
14,0.279986,-9.24019,-9.00137,-8.77755,-8.55657,-8.32768,-8.08395,-7.82007,
15,0.301766,-9.21253,-8.97991,-8.76008,-8.54139,-8.31407,-8.0715,-7.80858,
16,0.323799,-9.18535,-8.95868,-8.74265,-8.52616,-8.30037,-8.05895,-7.79699,
17,0.346087,-9.159,-8.93766,-8.72525,-8.51088,-8.28659,-8.04631,-7.78532,
18,0.368632,-9.13301,-8.91695,-8.70786,-8.49556,-8.27272,-8.03358,-7.77355,
19,0.391439,-9.10741,-8.8965,-8.69048,-8.48019,-8.25876,-8.02076,-7.76168,
20,0.414511,-9.08241,-8.87622,-8.67311,-8.46476,-8.24474,-8.00783,-7.74971,
21,0.437849,-9.05788,-8.85609,-8.65575,-8.44927,-8.23063,-7.99482,-7.73764,
22,0.461458,-9.03369,-8.83608,-8.63838,-8.43372,-8.21643,-7.98171,-7.72548,
23,0.485341,-9.00986,-8.8162,-8.62099,-8.4181,-8.20214,-7.96851,-7.71322,
24,0.5095,-8.9865,-8.79641,-8.60359,-8.40242,-8.18776,-7.9552,-7.70085,
25,0.533939,-8.9635,-8.77669,-8.58618,-8.38667,-8.17328,-7.94179,-7.68838,
26,0.558661,-8.94074,-8.75708,-8.56876,-8.37084,-8.15873,-7.92829,-7.67582,
27,0.58367,-8.91821,-8.73752,-8.5513,-8.35494,-8.14408,-7.91468,-7.66315,
28,0.608968,-8.8959,-8.718,-8.5338,-8.33897,-8.12933,-7.90098,-7.65037,
29,0.634559,-8.87377,-8.6985,-8.51626,-8.32292,-8.11449,-7.88716,-7.6375,
30,0.660447,-8.85179,-8.67904,-8.49869,-8.3068,-8.09956,-7.87325,-7.62452,
31,0.686635,-8.82998,-8.65961,-8.48107,-8.29061,-8.08452,-7.85924,-7.61142,
32,0.713126,-8.80829,-8.64019,-8.4634,-8.27433,-8.06938,-7.84512,-7.59823,
33,0.739924,-8.78668,-8.62078,-8.44568,-8.25796,-8.05415,-7.83089,-7.58494,
34,0.767033,-8.76517,-8.60136,-8.42791,-8.24152,-8.03883,-7.81656,-7.57153,
35,0.794456,-8.74374,-8.58193,-8.41007,-8.22498,-8.02341,-7.80213,-7.55801,
36,0.822196,-8.72239,-8.56249,-8.39217,-8.20836,-8.00788,-7.78759,-7.54439,
37,0.850258,-8.7011,-8.54304,-8.37421,-8.19164,-7.99225,-7.77294,-7.53066,
38,0.878644,-8.67985,-8.52357,-8.35619,-8.17483,-7.97651,-7.75817,-7.51682,
39,0.90736,-8.65864,-8.50407,-8.3381,-8.15793,-7.96067,-7.7433,-7.50287,
40,0.936408,-8.63746,-8.48454,-8.31993,-8.14094,-7.94472,-7.72832,-7.48881,
41,0.965793,-8.61631,-8.46497,-8.30169,-8.12385,-7.92866,-7.71324,-7.47463,
42,0.995519,-8.59517,-8.44535,-8.28337,-8.10667,-7.91251,-7.69804,-7.46034,
43,1.02559,-8.57404,-8.42569,-8.26497,-8.08939,-7.89624,-7.68272,-7.44594,
44,1.05601,-8.5529,-8.40598,-8.24649,-8.07201,-7.87987,-7.66728,-7.43143,
45,1.08678,-8.53174,-8.38621,-8.22792,-8.05452,-7.86339,-7.65174,-7.4168,
46,1.1179,-8.51057,-8.36639,-8.20927,-8.03694,-7.84679,-7.63609,-7.40205,
47,1.14939,-8.48939,-8.3465,-8.19054,-8.01925,-7.83009,-7.62031,-7.38719,
48,1.18124,-8.46819,-8.32654,-8.17171,-8.00146,-7.81326,-7.60442,-7.37222,
49,1.21346,-8.44695,-8.30652,-8.1528,-7.98356,-7.79633,-7.58842,-7.35712,
50,1.24606,-8.42567,-8.28642,-8.13379,-7.96555,-7.77928,-7.57229,-7.34191,
51,1.27903,-8.40434,-8.26625,-8.11468,-7.94745,-7.76212,-7.55605,-7.32658,
52,1.31239,-8.38297,-8.246,-8.09548,-7.92923,-7.74484,-7.53969,-7.31114,
53,1.34613,-8.36155,-8.22568,-8.07618,-7.9109,-7.72745,-7.52322,-7.29556,
54,1.38026,-8.34006,-8.20527,-8.05678,-7.89247,-7.70994,-7.50661,-7.27987,
55,1.41479,-8.31852,-8.18479,-8.03728,-7.87391,-7.6923,-7.48989,-7.26407,
56,1.44971,-8.29692,-8.16422,-8.01768,-7.85525,-7.67455,-7.47303,-7.24814,
57,1.48504,-8.27526,-8.14356,-7.99798,-7.83647,-7.65668,-7.45607,-7.23209,
58,1.52078,-8.25353,-8.1228,-7.97817,-7.81758,-7.63869,-7.43899,-7.21591,
59,1.55694,-8.23172,-8.10195,-7.95825,-7.79857,-7.62058,-7.42178,-7.19962,
60,1.59351,-8.20984,-8.08101,-7.93822,-7.77944,-7.60234,-7.40444,-7.18321,
