gridnumber,capital,cons[0],cons[1],cons[2],cons[3],cons[4],cons[5],cons[6],
0,0,0.263689,0.434749,0.677297,0.908529,1.11342,1.30625,1.5093,
1,0.0185364,0.282985,0.454046,0.686484,0.912702,1.11569,1.30765,1.51034,
2,0.0372875,0.302505,0.473566,0.695268,0.916839,1.11796,1.30906,1.51139,
3,0.0562558,0.322251,0.493312,0.703188,0.920715,1.12019,1.31048,1.51248,
4,0.0754439,0.342226,0.509453,0.710768,0.924689,1.12238,1.31192,1.51359,
5,0.0948544,0.362432,0.51686,0.718281,0.92877,1.12462,1.31347,1.51472,
6,0.11449,0.382872,0.527461,0.725928,0.932975,1.12691,1.31507,1.51586,
7,0.134352,0.401643,0.538726,0.733117,0.936967,1.12928,1.31666,1.51701,
8,0.154445,0.409337,0.549905,0.740029,0.940834,1.13164,1.31824,1.51818,
9,0.174771,0.42,0.561176,0.746771,0.944634,1.134,1.31979,1.51934,
10,0.195332,0.431783,0.57146,0.753556,0.948471,1.13631,1.32131,1.52046,
11,0.216131,0.443593,0.581611,0.760339,0.952517,1.13864,1.32284,1.52159,
12,0.237172,0.455509,0.59131,0.767051,0.956558,1.14098,1.3244,1.52275,
13,0.258456,0.46693,0.601063,0.773195,0.960522,1.14337,1.32597,1.52395,
14,0.279986,0.478337,0.610824,0.779617,0.964316,1.14576,1.3275,1.52517,
15,0.301766,0.489417,0.619666,0.786023,0.968067,1.1481,1.32905,1.52641,
16,0.323799,0.500561,0.628157,0.7923,0.971806,1.15042,1.3307,1.52768,
17,0.346087,0.511756,0.636461,0.798497,0.975594,1.15277,1.33237,1.52896,
18,0.368632,0.521947,0.644811,0.804666,0.979465,1.1552,1.33409,1.53024,
19,0.391439,0.531558,0.653199,0.810517,0.983352,1.15766,1.33583,1.53148,
20,0.414511,0.540475,0.661161,0.816271,0.987238,1.16014,1.33743,1.53274,
21,0.437849,0.549468,0.668979,0.822169,0.991118,1.16262,1.33905,1.534,
22,0.461458,0.558618,0.677111,0.828251,0.994942,1.16507,1.34071,1.53526,
23,0.485341,0.567632,0.684992,0.83398,0.99865,1.16752,1.34239,1.53653,
24,0.5095,0.576315,0.692724,0.839401,1.0023,1.17001,1.34413,1.53782,
25,0.533939,0.585352,0.700479,0.844797,1.006,1.17254,1.34588,1.53913,
26,0.558661,0.594257,0.70804,0.850437,1.00977,1.17505,1.34762,1.54046,
27,0.58367,0.602951,0.715176,0.856272,1.01362,1.17753,1.34939,1.54186,
28,0.608968,0.611596,0.722456,0.861967,1.01749,1.17998,1.35122,1.54332,
29,0.634559,0.620348,0.729967,0.867246,1.02126,1.18246,1.35307,1.5448,
30,0.660447,0.628416,0.737111,0.872581,1.02497,1.18496,1.35493,1.54625,
31,0.686635,0.63676,0.74387,0.877876,1.02867,1.18758,1.35678,1.5477,
32,0.713126,0.645155,0.75053,0.883195,1.03235,1.19019,1.35856,1.54916,
33,0.739924,0.653186,0.757435,0.888586,1.03605,1.19279,1.36035,1.55056,
34,0.767033,0.660846,0.764556,0.894028,1.03983,1.19534,1.36216,1.55199,
35,0.794456,0.668409,0.771494,0.899421,1.04366,1.19793,1.36403,1.55344,
36,0.822196,0.676087,0.778027,0.90465,1.04744,1.20054,1.36595,1.55495,
37,0.850258,0.683915,0.784726,0.909712,1.05118,1.2032,1.3679,1.55647,
38,0.878644,0.691665,0.791293,0.914754,1.05488,1.20588,1.36987,1.55802,
39,0.90736,0.69904,0.797704,0.919862,1.0586,1.20852,1.37186,1.55959,
40,0.936408,0.706747,0.80434,0.925076,1.06232,1.21114,1.37387,1.56118,
41,0.965793,0.714257,0.811061,0.93028,1.06604,1.21375,1.37592,1.56279,
42,0.995519,0.721423,0.817565,0.935348,1.06975,1.21642,1.37796,1.56442,
43,1.02559,0.728829,0.823831,0.940357,1.07348,1.21914,1.37997,1.56601,
44,1.05601,0.736396,0.829998,0.945345,1.07725,1.22191,1.38193,1.56761,
45,1.08678,0.743767,0.836184,0.950316,1.08102,1.22463,1.38388,1.56921,
46,1.1179,0.750918,0.842455,0.955368,1.08478,1.22732,1.38591,1.5708,
47,1.14939,0.75795,0.848723,0.96047,1.08852,1.23003,1.38797,1.57241,
48,1.18124,0.764937,0.854861,0.965508,1.09226,1.23276,1.39006,1.57415,
49,1.21346,0.771943,0.860947,0.970453,1.09603,1.23552,1.39218,1.57591,
50,1.24606,0.778917,0.867043,0.975343,1.09977,1.2384,1.39432,1.57769,
51,1.27903,0.785773,0.873096,0.980209,1.10348,1.24131,1.39651,1.57948,
52,1.31239,0.79264,0.879187,0.98509,1.10721,1.24421,1.39872,1.58127,
53,1.34613,0.799559,0.885339,0.989995,1.11098,1.247,1.40093,1.58296,
54,1.38026,0.806407,0.891384,0.994896,1.11477,1.24982,1.40314,1.58468,
55,1.41479,0.813284,0.897294,0.999767,1.11855,1.25263,1.40533,1.58646,
56,1.44971,0.820186,0.903152,1.00463,1.12234,1.25546,1.40749,1.58827,
57,1.48504,0.826924,0.908988,1.00948,1.12614,1.25838,1.40967,1.5901,
58,1.52078,0.833551,0.914833,1.0143,1.12995,1.26134,1.41194,1.59195,
59,1.55694,0.840177,0.920699,1.01912,1.13374,1.26424,1.41425,1.59385,
60,1.59351,0.846774,0.926528,1.02397,1.13751,1.26711,1.41658,1.59581,
61,1.63051,0.853349,0.932305,1.02879,1.14128,1.27002,1.41893,1.5978,
62,1.66794,0.859909,0.938062,1.03357,1.14507,1.27298,1.42129,1.59984,
63,1.7058,0.866409,0.94379,1.03835,1.14889,1.27595,1.42365,1.60191,
64,1.7441,0.872869,0.949508,1.04313,1.15273,1.27897,1.42605,1.60385,
65,1.78284,0.879316,0.955256,1.0479,1.15654,1.28202,1.42847,1.60582,
66,1.82203,0.885716,0.960986,1.0527,1.16036,1.28506,1.43088,1.60778,
67,1.86167,0.892126,0.966658,1.0575,1.16419,1.28804,1.43328,1.60976,
68,1.90178,0.898583,0.972302,1.06226,1.16806,1.29103,1.43566,1.6118,
69,1.94235,0.904981,0.977923,1.06701,1.172,1.29407,1.43809,1.61389,
70,1.98339,0.911318,0.983524,1.07174,1.17593,1.29717,1.44057,1.616,
71,2.0249,0.917634,0.989135,1.07648,1.17979,1.30033,1.44312,1.61815,
72,2.0669,0.923896,0.994746,1.08122,1.18365,1.30354,1.44571,1.62031,
73,2.10938,0.930135,1.00032,1.08597,1.18751,1.30673,1.44832,1.62248,
74,2.15235,0.936378,1.00586,1.09072,1.19141,1.30989,1.4509,1.62465,
75,2.19582,0.942597,1.01138,1.09545,1.19533,1.31302,1.45352,1.62683,
76,2.2398,0.948781,1.0169,1.10019,1.19923,1.31613,1.45616,1.62901,
