gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
0,0,1.36167e-007,5.53037e-007,6.94714e-007,2.41765e-007,2.18328e-008,4.78674e-010,2.42345e-012,
1,0.0185364,2.77473e-008,1.28426e-007,1.74636e-007,6.34801e-008,5.85669e-009,1.29655e-010,6.59145e-013,
2,0.0372875,3.51669e-008,2.14331e-007,4.60905e-007,3.11181e-007,6.01059e-008,3.02164e-009,3.6698e-011,
3,0.0562558,3.46716e-008,2.06975e-007,4.38661e-007,2.93567e-007,5.64405e-008,2.83106e-009,3.43495e-011,
4,0.0754439,3.29976e-008,2.03745e-007,4.50972e-007,3.12557e-007,6.13828e-008,3.1125e-009,3.79513e-011,
5,0.0948544,3.19931e-008,2.01055e-007,4.48645e-007,3.11857e-007,6.13012e-008,3.10924e-009,3.7915e-011,
6,0.11449,3.36103e-008,1.99644e-007,4.16414e-007,2.74237e-007,5.21582e-008,2.60121e-009,3.14759e-011,
7,0.134352,2.78703e-008,1.71309e-007,3.69519e-007,2.4961e-007,4.82045e-008,2.42285e-009,2.94223e-011,
8,0.154445,3.01062e-008,1.81134e-007,3.86675e-007,2.60126e-007,5.0163e-008,2.52001e-009,3.05966e-011,
9,0.174771,3.08299e-008,1.86084e-007,3.86278e-007,2.51553e-007,4.74113e-008,2.35218e-009,2.83913e-011,
10,0.195332,2.87738e-008,1.81688e-007,4.05795e-007,2.81928e-007,5.5385e-008,2.80815e-009,3.42374e-011,
11,0.216131,3.03031e-008,1.86841e-007,4.11868e-007,2.84381e-007,5.57168e-008,2.82175e-009,3.43868e-011,
12,0.237172,3.30566e-008,2.05978e-007,4.47777e-007,3.03675e-007,5.87543e-008,2.95554e-009,3.59039e-011,
13,0.258456,3.16406e-008,2.03826e-007,4.68453e-007,3.47733e-007,7.90545e-008,5.33432e-009,1.05102e-010,
14,0.279986,3.26099e-008,2.18101e-007,5.34576e-007,4.39411e-007,1.16377e-007,9.51714e-009,2.24681e-010,
15,0.301766,3.25705e-008,2.14274e-007,5.39346e-007,4.84701e-007,1.47336e-007,1.38492e-008,3.61164e-010,
16,0.323799,3.27654e-008,2.13777e-007,5.40919e-007,4.98127e-007,1.56766e-007,1.51866e-008,4.03548e-010,
17,0.346087,3.51243e-008,2.31841e-007,5.7628e-007,5.16646e-007,1.59016e-007,1.51899e-008,4.00664e-010,
18,0.368632,3.43358e-008,2.36044e-007,6.14025e-007,5.60938e-007,1.71071e-007,1.60449e-008,4.17357e-010,
19,0.391439,3.35558e-008,2.24154e-007,5.62079e-007,4.90767e-007,1.42641e-007,1.2855e-008,3.26028e-010,
20,0.414511,3.4364e-008,2.3183e-007,5.86214e-007,5.13852e-007,1.49317e-007,1.34298e-008,3.39998e-010,
21,0.437849,3.52349e-008,2.38441e-007,6.09949e-007,5.49953e-007,1.66315e-007,1.55248e-008,4.02855e-010,
22,0.461458,3.67042e-008,2.48399e-007,6.27429e-007,5.51066e-007,1.61157e-007,1.46032e-008,3.71709e-010,
23,0.485341,3.73392e-008,2.53533e-007,6.48927e-007,5.83625e-007,1.75732e-007,1.63366e-008,4.22779e-010,
24,0.5095,3.84722e-008,2.67621e-007,7.22896e-007,7.00743e-007,2.27936e-007,2.24926e-008,6.03199e-010,
25,0.533939,3.83732e-008,2.64722e-007,7.04632e-007,6.76223e-007,2.19206e-007,2.16274e-008,5.80285e-010,
26,0.558661,3.93234e-008,2.71746e-007,7.22907e-007,6.94504e-007,2.25771e-007,2.23369e-008,6.00382e-010,
27,0.58367,3.98075e-008,2.792e-007,7.63502e-007,7.58883e-007,2.54411e-007,2.57096e-008,6.99162e-010,
28,0.608968,4.10104e-008,2.86552e-007,7.69906e-007,7.42068e-007,2.40702e-007,2.37322e-008,6.36341e-010,
29,0.634559,4.16086e-008,2.91389e-007,7.81191e-007,7.46781e-007,2.39606e-007,2.34128e-008,6.2439e-010,
30,0.660447,4.16826e-008,2.91985e-007,7.86268e-007,7.57093e-007,2.44753e-007,2.40518e-008,6.43549e-010,
31,0.686635,4.22159e-008,2.96916e-007,8.13788e-007,8.0918e-007,2.71023e-007,2.73592e-008,7.43506e-010,
32,0.713126,4.32421e-008,3.06676e-007,8.52442e-007,8.6366e-007,2.94468e-007,3.00976e-008,8.23556e-010,
