gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
0,0,3.04292e-05,0.000206013,0.000556277,0.000571479,0.000222495,3.24103e-05,1.76795e-06,
1,0.0185364,4.87108e-06,3.49292e-05,9.89909e-05,0.000106052,4.27882e-05,6.42075e-06,3.58951e-07,
2,0.0372875,6.07176e-06,4.55108e-05,0.000134549,0.000149951,6.26687e-05,9.69304e-06,5.55904e-07,
3,0.0562558,6.26327e-06,4.69007e-05,0.000138206,0.000153371,6.38112e-05,9.82807e-06,5.61522e-07,
4,0.0754439,5.69456e-06,4.13026e-05,0.000118539,0.000128644,5.25451e-05,7.97274e-06,4.50058e-07,
5,0.0948544,8.35434e-06,7.11384e-05,0.000244188,0.000324062,0.000165266,3.19351e-05,2.35258e-06,
6,0.11449,7.89063e-06,6.52383e-05,0.000217888,0.000282147,0.000140917,2.6769e-05,1.94505e-06,
7,0.134352,7.31868e-06,5.76875e-05,0.000183536,0.000226318,0.000107824,1.96073e-05,1.36932e-06,
8,0.154445,7.24724e-06,5.73811e-05,0.00018262,0.000224329,0.000106072,1.90897e-05,1.31692e-06,
9,0.174771,8.68425e-06,7.32183e-05,0.000248487,0.000325893,0.000164325,3.14281e-05,2.29427e-06,
10,0.195332,8.40431e-06,7.02064e-05,0.000236383,0.000307929,0.000154408,2.94009e-05,2.13878e-06,
11,0.216131,7.98674e-06,6.52577e-05,0.000214675,0.000273081,0.000133803,2.49355e-05,1.77879e-06,
12,0.237172,8.547e-06,7.10635e-05,0.000237937,0.000308067,0.000153527,2.9062e-05,2.1027e-06,
13,0.258456,9.12902e-06,7.61886e-05,0.000256137,0.000333076,0.000166721,3.16936e-05,2.30221e-06,
14,0.279986,9.28411e-06,7.79544e-05,0.000264241,0.000347768,0.000177198,3.45753e-05,2.61094e-06,
15,0.301766,9.61593e-06,8.32482e-05,0.000295792,0.000417167,0.000233649,5.1455e-05,4.51364e-06,
16,0.323799,9.65464e-06,8.18965e-05,0.000281203,0.000376551,0.000196389,3.9525e-05,3.11057e-06,
17,0.346087,1.01354e-05,8.67949e-05,0.000301318,0.000408561,0.000216009,4.4104e-05,3.52398e-06,
18,0.368632,1.07649e-05,9.23849e-05,0.000321508,0.000437677,0.000232956,4.8057e-05,3.89735e-06,
19,0.391439,1.08754e-05,9.44015e-05,0.000334825,0.000468693,0.000258872,5.58802e-05,4.77949e-06,
20,0.414511,1.12548e-05,9.81872e-05,0.000348502,0.000485274,0.000264695,5.60056e-05,4.66064e-06,
21,0.437849,1.15265e-05,0.000100757,0.00035814,0.000499173,0.00027241,5.76419e-05,4.7954e-06,
22,0.461458,1.17934e-05,0.000103598,0.000371224,0.000523719,0.000290577,6.27805e-05,5.35547e-06,
23,0.485341,1.21713e-05,0.00010655,0.000379459,0.00053043,0.000290714,6.18775e-05,5.18713e-06,
