gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
0,0,3.03104e-005,0.000205206,0.000554091,0.000569227,0.000221616,3.22819e-005,1.76093e-006,
1,0.0185364,4.85346e-006,3.48041e-005,9.86396e-005,0.000105679,4.26387e-005,6.39846e-006,3.57712e-007,
2,0.0372875,6.04749e-006,4.53252e-005,0.000133992,0.000149322,6.24027e-005,9.65154e-006,5.53508e-007,
3,0.0562558,6.23998e-006,4.67288e-005,0.000137707,0.000152824,6.35858e-005,9.79367e-006,5.59572e-007,
4,0.0754439,5.67405e-006,4.11533e-005,0.000118109,0.000128175,5.23522e-005,7.94333e-006,4.48391e-007,
5,0.0948544,8.32021e-006,7.0842e-005,0.000243157,0.000322681,0.000164558,3.17978e-005,2.34245e-006,
6,0.11449,7.86188e-006,6.50045e-005,0.000217118,0.000281157,0.000140424,2.66754e-005,1.93823e-006,
7,0.134352,7.2922e-006,5.74766e-005,0.000182858,0.000225473,0.000107419,1.95331e-005,1.36412e-006,
8,0.154445,7.21995e-006,5.71639e-005,0.000181928,0.000223479,0.000105672,1.90181e-005,1.31201e-006,
9,0.174771,8.64933e-006,7.29171e-005,0.000247445,0.000324501,0.000163613,3.12901e-005,2.28409e-006,
10,0.195332,8.3755e-006,6.99684e-005,0.000235589,0.000306904,0.000153897,2.93042e-005,2.13177e-006,
11,0.216131,7.95699e-006,6.50134e-005,0.000213869,0.000272054,0.000133299,2.48416e-005,1.77208e-006,
12,0.237172,8.51473e-006,7.07911e-005,0.000237012,0.000306853,0.000152914,2.89446e-005,2.09412e-006,
13,0.258456,9.09326e-006,7.58919e-005,0.000255144,0.000331788,0.000166077,3.1571e-005,2.29329e-006,
14,0.279986,9.25239e-006,7.76832e-005,0.000263307,0.000346522,0.000176554,3.44479e-005,2.60113e-006,
15,0.301766,9.58034e-006,8.29381e-005,0.000294683,0.000415594,0.000232765,5.12598e-005,4.4965e-006,
16,0.323799,9.61961e-006,8.1597e-005,0.000280167,0.000375153,0.000195655,3.93761e-005,3.09877e-006,
17,0.346087,1.00957e-005,8.64513e-005,0.000300121,0.000406938,0.000215155,4.39303e-005,3.51017e-006,
18,0.368632,1.07281e-005,9.20682e-005,0.000320396,0.000436143,0.000232126,4.78825e-005,3.88291e-006,
19,0.391439,1.08358e-005,9.40532e-005,0.000333573,0.000466917,0.000257879,5.5664e-005,4.76086e-006,
20,0.414511,1.12137e-005,9.78243e-005,0.000347197,0.000483437,0.000263685,5.57909e-005,4.64278e-006,
21,0.437849,1.14856e-005,0.000100399,0.000356864,0.000497387,0.000271429,5.7432e-005,4.77769e-006,
22,0.461458,1.17511e-005,0.000103223,0.000369867,0.000521787,0.000289496,6.25449e-005,5.33523e-006,
23,0.485341,1.2128e-005,0.000106168,0.000378092,0.000528515,0.000289666,6.16547e-005,5.16853e-006,
24,0.5095,1.26439e-005,0.000110738,0.000393947,0.000549358,0.000300054,6.36019e-005,5.30725e-006,
25,0.533939,1.29105e-005,0.00011365,0.000407252,0.000573547,0.000317228,6.8261e-005,5.79605e-006,
26,0.558661,1.32565e-005,0.000117132,0.000422423,0.000600893,0.000337275,7.41097e-005,6.48762e-006,
27,0.58367,1.3631e-005,0.000120891,0.000438221,0.000627802,0.000355827,7.92352e-005,7.06835e-006,
28,0.608968,1.38902e-005,0.000123329,0.00044644,0.00063653,0.000357498,7.8472e-005,6.85323e-006,
29,0.634559,1.43285e-005,0.000127413,0.000461962,0.000659902,0.000371392,8.16676e-005,7.13644e-006,
30,0.660447,1.50859e-005,0.00013563,0.000499413,0.000728341,0.000421045,9.57881e-005,8.74838e-006,
31,0.686635,1.54609e-005,0.000139016,0.000511049,0.000742449,0.000426506,9.62054e-005,8.6956e-006,
32,0.713126,1.56261e-005,0.000140585,0.000516455,0.000748836,0.000428636,9.61078e-005,8.60024e-006,
33,0.739924,1.59481e-005,0.000143648,0.000528962,0.000770512,0.000444685,0.000101064,9.24064e-006,
34,0.767033,1.63157e-005,0.00014699,0.000540849,0.000786085,0.000451727,0.000101931,9.21442e-006,
35,0.794456,1.683e-005,0.000152251,0.000563134,0.000823916,0.000477262,0.000108661,9.91599e-006,
36,0.822196,1.73224e-005,0.00015732,0.000584286,0.000858802,0.000500131,0.000114602,1.05451e-005,
37,0.850258,1.77003e-005,0.000160841,0.000597485,0.000878249,0.000511598,0.000117362,1.08306e-005,
38,0.878644,1.81042e-005,0.000164437,0.000610739,0.000898032,0.000523679,0.000120378,1.1147e-005,
39,0.90736,1.85219e-005,0.000168855,0.0006301,0.000931846,0.000547022,0.00012666,1.18209e-005,
40,0.936408,1.90261e-005,0.000173596,0.000649369,0.000963583,0.00056785,0.000132034,1.23809e-005,
41,0.965793,1.9521e-005,0.000178881,0.00067186,0.00100119,0.000592762,0.000138547,1.30682e-005,
42,0.995519,2.00527e-005,0.000184236,0.000693918,0.00103752,0.00061672,0.00014482,1.37364e-005,
43,1.02559,2.07303e-005,0.000189714,0.000710531,0.00105489,0.000622135,0.000144962,1.36628e-005,
44,1.05601,2.09742e-005,0.000192858,0.000725524,0.00108168,0.000640381,0.00014969,1.41378e-005,
45,1.08678,2.12653e-005,0.000195994,0.000740036,0.00110923,0.000661527,0.000156143,1.49381e-005,
46,1.1179,2.16669e-005,0.000199636,0.000753461,0.00112854,0.000672255,0.000158391,1.51161e-005,
47,1.14939,2.23608e-005,0.00020644,0.000780069,0.00116906,0.000696419,0.000164011,1.56339e-005,
48,1.18124,2.2488e-005,0.000208454,0.000792316,0.00119651,0.000719381,0.000171243,1.65302e-005,
49,1.21346,2.34541e-005,0.00021847,0.000835833,0.00127203,0.000771311,0.000185256,1.8056e-005,
50,1.24606,2.40611e-005,0.000224353,0.000856874,0.00129825,0.000781693,0.000186046,1.79399e-005,
51,1.27903,2.42406e-005,0.000225459,0.000858761,0.00129849,0.000781347,0.000186172,1.80061e-005,
52,1.31239,2.4595e-005,0.000229149,0.000875392,0.00132962,0.000805289,0.000193601,1.89576e-005,
53,1.34613,2.48935e-005,0.000231837,0.000885568,0.00134482,0.00081389,0.000195318,1.906e-005,
54,1.38026,2.53128e-005,0.000236072,0.000903084,0.00137358,0.000832691,0.000200207,1.95845e-005,
55,1.41479,2.63889e-005,0.000245325,0.000936252,0.00142174,0.000860953,0.000206791,2.01962e-005,
56,1.44971,2.67324e-005,0.000250796,0.000965812,0.00148052,0.000905838,0.00022016,2.18151e-005,
57,1.48504,2.73441e-005,0.000257335,0.000994336,0.00152913,0.000937688,0.000227971,2.25251e-005,
58,1.52078,2.77418e-005,0.000259617,0.000998859,0.00153089,0.00093664,0.000227586,2.25357e-005,
59,1.55694,2.78628e-005,0.000261477,0.00100713,0.00154374,0.000944058,0.000229219,2.26765e-005,
60,1.59351,2.83062e-005,0.000266064,0.00102663,0.00157742,0.000968119,0.000236341,2.35779e-005,
61,1.63051,2.89153e-005,0.000272152,0.00105118,0.00161636,0.000992497,0.000242322,2.41639e-005,
62,1.66794,2.9568e-005,0.0002787,0.00107767,0.00165802,0.00101773,0.00024807,2.46511e-005,
63,1.7058,3.00272e-005,0.000283559,0.00109932,0.00169698,0.0010458,0.000256099,2.55937e-005,
64,1.7441,3.03807e-005,0.000287097,0.00111415,0.00172225,0.0010633,0.00026095,2.61396e-005,
65,1.78284,3.08258e-005,0.000291714,0.00113393,0.00175733,0.00108964,0.000269282,2.72664e-005,
66,1.82203,3.13291e-005,0.000296369,0.00115087,0.00177983,0.00109948,0.000270148,2.71298e-005,
67,1.86167,3.2649e-005,0.000307253,0.00119024,0.00183955,0.00113677,0.000279444,2.80573e-005,
68,1.90178,3.27524e-005,0.000310381,0.0012092,0.00187842,0.00116649,0.000288193,2.91053e-005,
69,1.94235,3.2697e-005,0.000310388,0.00121002,0.00187918,0.00116578,0.000287574,2.89801e-005,
70,1.98339,3.33339e-005,0.000317021,0.00123892,0.0019313,0.00120503,0.000299752,3.05617e-005,
71,2.0249,3.38698e-005,0.000321823,0.00125642,0.0019561,0.00121844,0.000302452,3.07697e-005,
72,2.0669,3.44412e-005,0.000327434,0.00127816,0.00198812,0.00123607,0.000305878,3.09659e-005,
73,2.10938,3.50147e-005,0.000333391,0.00130311,0.00202954,0.00126363,0.000313249,3.17903e-005,
74,2.15235,3.50664e-005,0.000334325,0.00130945,0.00204469,0.00127689,0.000317646,3.23819e-005,
75,2.19582,3.58161e-005,0.00034174,0.00133919,0.0020922,0.00130743,0.000325493,3.31958e-005,
76,2.2398,3.63566e-005,0.000346334,0.00135765,0.00212501,0.00133223,0.000333159,3.41757e-005,
77,2.28428,3.64792e-005,0.000348109,0.00136555,0.00213709,0.00133865,0.000334305,3.42481e-005,
78,2.32928,3.68427e-005,0.000352095,0.00138299,0.00216684,0.00135836,0.000339266,3.47166e-005,
79,2.37481,3.74007e-005,0.000357728,0.00140599,0.00220382,0.00138193,0.000345257,3.53524e-005,
80,2.42085,3.87025e-005,0.000369052,0.00144868,0.00227194,0.00142765,0.000357892,3.68188e-005,
81,2.46744,3.83773e-005,0.000368319,0.00145373,0.00229033,0.00144453,0.000363108,3.74052e-005,
82,2.51456,3.86035e-005,0.00037001,0.00145871,0.00229673,0.00144932,0.000365136,3.77859e-005,
83,2.56223,3.90088e-005,0.00037382,0.00147274,0.00231556,0.00145778,0.000366064,3.77318e-005,
84,2.61045,3.94926e-005,0.000378861,0.00149416,0.00235182,0.00148234,0.000372711,3.84785e-005,
85,2.65923,3.9989e-005,0.000383795,0.00151501,0.0023875,0.00150659,0.000379075,3.91216e-005,
86,2.70857,4.04974e-005,0.000387911,0.00153007,0.00241096,0.00152188,0.000383173,3.95833e-005,
87,2.75849,4.06758e-005,0.000390785,0.00154396,0.00243555,0.00153927,0.000388339,4.02719e-005,
88,2.80898,4.1152e-005,0.000395726,0.00156502,0.00247217,0.00156551,0.000395988,4.11879e-005,
89,2.86006,4.15801e-005,0.000399723,0.00158045,0.00249584,0.00157972,0.000399207,4.14538e-005,
90,2.91173,4.1824e-005,0.000402203,0.00159084,0.0025128,0.00159026,0.000401641,4.1664e-005,
91,2.964,4.21127e-005,0.000405752,0.00160755,0.00254338,0.00161281,0.000408498,4.25702e-005,
92,3.01688,4.26859e-005,0.000411426,0.00163005,0.00257808,0.00163348,0.00041309,4.29234e-005,
93,3.07036,4.35668e-005,0.000418308,0.00165235,0.00260768,0.00164986,0.000416845,4.32856e-005,
94,3.12447,4.33214e-005,0.000416894,0.00165078,0.00261151,0.00165599,0.000419253,4.36221e-005,
95,3.1792,4.34497e-005,0.000419654,0.001667,0.00264488,0.00168218,0.000427409,4.46954e-005,
96,3.23457,4.43331e-005,0.000427808,0.00169914,0.00269702,0.00171699,0.000436841,4.57407e-005,
97,3.29058,4.48613e-005,0.000433699,0.00172422,0.00273759,0.0017416,0.000442143,4.60996e-005,
98,3.34724,4.42275e-005,0.000427438,0.00169947,0.0026994,0.0017187,0.000436962,4.56742e-005,
99,3.40456,4.45722e-005,0.000430982,0.00171441,0.00272452,0.00173571,0.000441663,4.62356e-005,
100,3.46253,4.49701e-005,0.000435218,0.00173281,0.00275634,0.00175766,0.000447648,4.6898e-005,
101,3.52119,4.51547e-005,0.000436987,0.00174013,0.00276887,0.00176625,0.000449877,4.71029e-005,
102,3.58052,4.52886e-005,0.00043805,0.00174326,0.00277204,0.00176732,0.000450051,4.71362e-005,
103,3.64053,4.55511e-005,0.000441087,0.00175699,0.00279586,0.00178334,0.000454239,4.75782e-005,
104,3.70125,4.58779e-005,0.000444805,0.00177516,0.00283344,0.00181595,0.000465775,4.92691e-005,
105,3.76266,4.59682e-005,0.000445381,0.00177572,0.00282997,0.00180939,0.00046246,4.86718e-005,
106,3.82479,4.61025e-005,0.000446723,0.00178115,0.00283831,0.00181406,0.000463315,4.87007e-005,
107,3.88764,4.64297e-005,0.000449732,0.00179336,0.00285852,0.00182727,0.000466639,4.90281e-005,
108,3.95121,4.71769e-005,0.000455261,0.00181062,0.00288133,0.00184046,0.000469959,4.93935e-005,
109,4.01552,4.68487e-005,0.000453679,0.00180858,0.00288304,0.00184446,0.000471939,4.97663e-005,
110,4.08058,4.68232e-005,0.000454078,0.00181205,0.00289043,0.00184957,0.000473102,4.98395e-005,
111,4.14639,4.69735e-005,0.000455701,0.00181927,0.00290309,0.00185823,0.000475368,5.00659e-005,
112,4.21297,4.71135e-005,0.000457268,0.00182651,0.00291659,0.00186843,0.000478459,5.0451e-005,
113,4.28031,4.72833e-005,0.000459073,0.00183464,0.00293193,0.00188057,0.000482397,5.098e-005,
114,4.34843,4.73964e-005,0.000460213,0.0018396,0.00294109,0.00188781,0.000484823,5.13327e-005,
115,4.41735,4.74486e-005,0.00046077,0.00184148,0.00294237,0.00188665,0.000483825,5.11467e-005,
116,4.48706,4.75908e-005,0.000462354,0.00184831,0.0029535,0.00189326,0.000485088,5.11763e-005,
117,4.55758,4.76739e-005,0.000463237,0.00185227,0.00296067,0.00189854,0.000486665,5.13755e-005,
118,4.62892,4.76597e-005,0.000463155,0.00185238,0.00296171,0.00189979,0.000487144,5.1448e-005,
119,4.70108,4.78095e-005,0.000465038,0.0018616,0.00297905,0.00191232,0.000490587,5.18134e-005,
120,4.77408,4.80071e-005,0.000466684,0.00186921,0.00299511,0.00192607,0.000495159,5.24273e-005,
121,4.84793,4.77423e-005,0.000464452,0.00185927,0.00297568,0.00191127,0.000491027,5.20092e-005,
122,4.92263,4.77195e-005,0.000464595,0.00186099,0.00297969,0.001914,0.000491484,5.19805e-005,
123,4.99819,4.75465e-005,0.000463362,0.00185823,0.00297888,0.00191555,0.000492289,5.20924e-005,
124,5.07463,4.7821e-005,0.000466018,0.00186839,0.00299503,0.00192709,0.000496035,5.26332e-005,
125,5.15196,4.81031e-005,0.000467334,0.0018693,0.00299132,0.00192227,0.000494301,5.24029e-005,
126,5.23019,4.73845e-005,0.000461339,0.00184939,0.00296537,0.00190854,0.000491248,5.21034e-005,
127,5.30931,4.71145e-005,0.000459519,0.00184509,0.00296326,0.0019106,0.000492887,5.24489e-005,
128,5.38936,4.69622e-005,0.000457914,0.00183797,0.00295014,0.00190029,0.000489413,5.19256e-005,
129,5.47033,4.68132e-005,0.000456425,0.00183188,0.00294028,0.00189404,0.000487888,5.17819e-005,
130,5.55225,4.66706e-005,0.000455154,0.00182733,0.00293407,0.00189091,0.000487353,5.17605e-005,
131,5.63511,4.65161e-005,0.00045363,0.00182114,0.00292417,0.0018848,0.000485945,5.16442e-005,
132,5.71893,4.63311e-005,0.000451841,0.00181402,0.00291281,0.00187745,0.000484025,5.14352e-005,
133,5.80372,4.61531e-005,0.000450197,0.0018078,0.00290347,0.00187192,0.000482752,5.1322e-005,
134,5.88949,4.608e-005,0.000449027,0.00180226,0.00289442,0.00186687,0.000481997,5.13629e-005,
135,5.97626,4.5798e-005,0.000446521,0.00179267,0.00287896,0.00185611,0.000478699,5.0897e-005,
136,6.06403,4.55551e-005,0.000444539,0.0017857,0.00286883,0.00185001,0.000477183,5.0737e-005,
137,6.15282,4.53524e-005,0.000442845,0.00178088,0.00286629,0.00185345,0.00047986,5.12628e-005,
138,6.24264,4.50622e-005,0.000439731,0.00176651,0.00283844,0.0018309,0.000472429,5.02562e-005,
