gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
0,0,0,0,0.0394831,0.273242,0.834987,1.90614,3.78703,
1,0.0185364,0,0,0.0495923,0.288366,0.852021,1.92404,3.80529,
2,0.0372875,0,0,0.0603287,0.303748,0.869272,1.94215,3.82376,
3,0.0562558,0,0,0.0721547,0.319619,0.886784,1.96047,3.84241,
4,0.0754439,0,0.00383372,0.0845493,0.335619,0.904572,1.979,3.86128,
5,0.0948544,0,0.0166326,0.0972423,0.351744,0.922532,1.99766,3.88036,
6,0.11449,0,0.0264725,0.110036,0.367979,0.94068,2.0165,3.89966,
7,0.134352,0.00190644,0.0358845,0.123524,0.384665,0.958996,2.03559,3.91918,
8,0.154445,0.0151292,0.0456219,0.137529,0.401715,0.977553,2.05493,3.93893,
9,0.174771,0.0256249,0.05551,0.151946,0.419073,0.996346,2.07453,3.95893,
10,0.195332,0.0352464,0.0666299,0.166565,0.436641,1.01544,2.09442,3.97922,
11,0.216131,0.045089,0.078131,0.181434,0.454247,1.03476,2.11454,3.99973,
12,0.237172,0.0550751,0.0903351,0.196625,0.472109,1.05432,2.13488,4.02048,
13,0.258456,0.0658107,0.102738,0.212638,0.490301,1.07409,2.15547,4.04143,
14,0.279986,0.0768174,0.115391,0.228629,0.50892,1.09412,2.17636,4.06262,
15,0.301766,0.0884109,0.129222,0.244896,0.527843,1.11445,2.19748,4.08406,
16,0.323799,0.100202,0.143667,0.261555,0.547039,1.13507,2.21876,4.10573,
17,0.346087,0.112209,0.158564,0.27856,0.566453,1.15591,2.24029,4.12765,
18,0.368632,0.125488,0.173684,0.295861,0.586052,1.17696,2.26204,4.14984,
19,0.391439,0.139619,0.189039,0.313752,0.605907,1.19824,2.28405,4.17234,
20,0.414511,0.154719,0.205094,0.332015,0.626039,1.21978,2.30646,4.1951,
21,0.437849,0.170022,0.221572,0.350412,0.646454,1.24159,2.32914,4.21813,
22,0.461458,0.185449,0.238016,0.368907,0.667207,1.26372,2.35205,4.24145,
23,0.485341,0.201296,0.254997,0.38804,0.68836,1.28613,2.37523,4.26504,
24,0.5095,0.217764,0.272415,0.407768,0.709862,1.30879,2.39865,4.2889,
25,0.533939,0.234167,0.290101,0.427814,0.731606,1.3317,2.42234,4.31303,
26,0.558661,0.250998,0.308275,0.447909,0.753563,1.35492,2.44633,4.33743,
27,0.58367,0.268338,0.327173,0.468108,0.77575,1.37848,2.4706,4.36207,
28,0.608968,0.286029,0.346229,0.488749,0.79822,1.40236,2.4951,4.38694,
29,0.634559,0.303917,0.365359,0.510111,0.821087,1.42653,2.5199,4.41211,
30,0.660447,0.322798,0.385164,0.531725,0.844332,1.45098,2.54498,4.43761,
31,0.686635,0.341715,0.405666,0.553691,0.867893,1.47562,2.5704,4.46342,
32,0.713126,0.360899,0.426583,0.57595,0.891789,1.50059,2.59619,4.48954,
33,0.739924,0.380764,0.447576,0.598456,0.915981,1.52588,2.6223,4.51603,
34,0.767033,0.401324,0.468675,0.621234,0.940418,1.55155,2.64871,4.54283,
35,0.794456,0.422308,0.490284,0.644388,0.965139,1.57751,2.67538,4.56991,
36,0.822196,0.443508,0.512629,0.668036,0.990237,1.60377,2.70234,4.59729,
37,0.850258,0.464892,0.535142,0.692186,1.01571,1.63033,2.72961,4.62498,
38,0.878644,0.486692,0.558125,0.716696,1.04156,1.6572,2.75718,4.65298,
39,0.90736,0.509211,0.581607,0.74148,1.06774,1.68445,2.78509,4.6813,
40,0.936408,0.531743,0.60521,0.766505,1.09425,1.71207,2.81331,4.70995,
41,0.965793,0.554823,0.629079,0.791891,1.12112,1.74005,2.84185,4.73893,
