gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
0,0,0,0,0,0.100914,0.299032,0.573505,0.926439,
1,0.0185364,0,0,0,0.115041,0.315738,0.591064,0.944392,
2,0.0372875,0,0,0.000699587,0.129764,0.332689,0.60885,0.962565,
3,0.0562558,0,0,0.0149971,0.144919,0.349862,0.626829,0.980954,
4,0.0754439,0,0,0.0276348,0.160465,0.367254,0.645029,0.999568,
5,0.0948544,0,0,0.040034,0.176373,0.384883,0.663459,1.01843,
6,0.11449,0,0,0.0534,0.19267,0.40279,0.682155,1.03753,
7,0.134352,0,0,0.0673084,0.209339,0.420994,0.701086,1.05687,
8,0.154445,0,0,0.0815806,0.226457,0.439504,0.72025,1.07643,
9,0.174771,0,0.0052331,0.0961455,0.243953,0.458293,0.73965,1.09622,
10,0.195332,0,0.0198502,0.110818,0.261707,0.477342,0.759317,1.11626,
11,0.216131,0,0.0320722,0.126032,0.27967,0.49664,0.77924,1.13655,
12,0.237172,0,0.0449888,0.141755,0.298095,0.516184,0.799423,1.15709,
13,0.258456,0,0.0585438,0.158011,0.316919,0.535975,0.819874,1.17789,
14,0.279986,0.0101451,0.0726725,0.17485,0.336043,0.556067,0.840595,1.19893,
15,0.301766,0.024039,0.0871728,0.19225,0.355427,0.576497,0.861573,1.22021,
16,0.323799,0.0362971,0.101868,0.210086,0.375077,0.597213,0.882808,1.24169,
17,0.346087,0.0494362,0.11678,0.228529,0.395035,0.618186,0.90429,1.26344,
18,0.368632,0.0630082,0.132279,0.247401,0.415361,0.639406,0.926037,1.28547,
19,0.391439,0.0769923,0.148374,0.266545,0.436091,0.660899,0.948049,1.30781,
20,0.414511,0.0913623,0.165204,0.286052,0.457147,0.682716,0.970328,1.33043,
21,0.437849,0.105881,0.182759,0.306105,0.4785,0.704821,0.992878,1.35332,
22,0.461458,0.12074,0.200917,0.326616,0.500143,0.727216,1.01574,1.37648,
23,0.485341,0.136075,0.219637,0.347419,0.522082,0.74991,1.0389,1.39991,
24,0.5095,0.151994,0.239151,0.368512,0.54435,0.772914,1.06234,1.42362,
25,0.533939,0.168956,0.258937,0.389973,0.566991,0.796229,1.08606,1.44759,
26,0.558661,0.186737,0.279097,0.411874,0.590005,0.819856,1.11009,1.47185,
27,0.58367,0.205137,0.300008,0.434235,0.613338,0.843798,1.13442,1.49641,
28,0.608968,0.224253,0.321459,0.456983,0.636949,0.86805,1.15905,1.52128,
29,0.634559,0.2441,0.343218,0.480066,0.660875,0.892605,1.18398,1.54646,
30,0.660447,0.264299,0.365312,0.503479,0.685167,0.917466,1.20921,1.57194,
31,0.686635,0.285149,0.387817,0.52724,0.709804,0.942637,1.23471,1.59773,
32,0.713126,0.306883,0.410815,0.551409,0.734787,0.968117,1.2605,1.62382,
33,0.739924,0.329077,0.434349,0.576025,0.760126,0.993914,1.28663,1.6502,
34,0.767033,0.351572,0.458329,0.601046,0.785816,1.02007,1.31312,1.67687,
35,0.794456,0.374493,0.482669,0.626397,0.811852,1.04658,1.33995,1.70386,
36,0.822196,0.397901,0.507379,0.652084,0.838239,1.07341,1.3671,1.73119,
37,0.850258,0.421885,0.532495,0.678157,0.864983,1.10059,1.39457,1.75886,
38,0.878644,0.446449,0.558096,0.70463,0.892081,1.12811,1.42237,1.78688,
39,0.90736,0.471445,0.584223,0.731505,0.919534,1.15597,1.45049,1.81523,
40,0.936408,0.49682,0.610783,0.758781,0.947338,1.18418,1.47895,1.84391,
41,0.965793,0.52264,0.63769,0.786443,0.975491,1.21275,1.50778,1.87294,
42,0.995519,0.548977,0.664984,0.814481,1.00401,1.24161,1.53697,1.90231,
43,1.02559,0.575891,0.69272,0.842908,1.03293,1.27083,1.56651,1.93203,
44,1.05601,0.60333,0.720912,0.871735,1.06224,1.30046,1.59641,1.96209,
45,1.08678,0.631178,0.749556,0.900962,1.09192,1.33048,1.62667,1.9925,
46,1.1179,0.659424,0.778623,0.930588,1.12199,1.36086,1.65726,2.02327,
47,1.14939,0.688143,0.808092,0.960598,1.15244,1.39162,1.68821,2.05442,
48,1.18124,0.717378,0.837978,0.990999,1.18327,1.42275,1.71954,2.08593,
49,1.21346,0.747112,0.868302,1.02183,1.2145,1.45424,1.75126,2.11783,
50,1.24606,0.777299,0.899068,1.05308,1.24607,1.48612,1.78338,2.15011,
51,1.27903,0.807909,0.930275,1.08476,1.27804,1.51843,1.81589,2.18276,
52,1.31239,0.838968,0.961902,1.11685,1.31047,1.55113,1.84879,2.2158,
53,1.34613,0.870502,0.993952,1.14935,1.34331,1.58423,1.88208,2.24921,
54,1.38026,0.902519,1.02647,1.18227,1.37654,1.61773,1.91577,2.283,
55,1.41479,0.935011,1.05944,1.21563,1.41021,1.65161,1.94986,2.3172,
56,1.44971,0.967957,1.09287,1.24937,1.44427,1.6859,1.98434,2.35182,
57,1.48504,1.00137,1.12674,1.28356,1.47875,1.7206,2.01924,2.38686,
58,1.52078,1.03527,1.16105,1.31822,1.51369,1.75575,2.05456,2.42232,
59,1.55694,1.06966,1.19582,1.35331,1.54907,1.79133,2.0903,2.45821,
60,1.59351,1.10453,1.23104,1.38885,1.58488,1.82735,2.12648,2.49451,
