gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
0,0,0,0,0,0.100919,0.299036,0.573507,0.926436,
1,0.0185364,0,0,0,0.115046,0.315743,0.591067,0.944389,
2,0.0372875,0,0,0.000704461,0.129769,0.332694,0.608853,0.962563,
3,0.0562558,0,0,0.0150022,0.144924,0.349868,0.626833,0.980953,
4,0.0754439,0,0,0.0276394,0.16047,0.36726,0.645033,0.999566,
5,0.0948544,0,0,0.0400396,0.17638,0.384889,0.663463,1.01843,
6,0.11449,0,0,0.0534059,0.192677,0.402797,0.682159,1.03753,
7,0.134352,0,0,0.0673145,0.209347,0.421002,0.70109,1.05686,
8,0.154445,0,0,0.0815872,0.226465,0.439512,0.720255,1.07643,
9,0.174771,0,0.00524003,0.0961529,0.243962,0.458301,0.739656,1.09622,
10,0.195332,0,0.019856,0.110826,0.261715,0.47735,0.759323,1.11626,
11,0.216131,0,0.0320785,0.12604,0.27968,0.496649,0.779246,1.13655,
12,0.237172,0,0.0449959,0.141763,0.298105,0.516193,0.799429,1.15709,
13,0.258456,0,0.0585514,0.158019,0.31693,0.535985,0.81988,1.17789,
14,0.279986,0.0101534,0.0726801,0.17486,0.336054,0.556077,0.840601,1.19893,
15,0.301766,0.0240458,0.0871812,0.192261,0.355438,0.576507,0.86158,1.22021,
16,0.323799,0.0363043,0.101877,0.210097,0.375089,0.597224,0.882815,1.2417,
17,0.346087,0.0494442,0.116789,0.22854,0.395047,0.618197,0.904297,1.26344,
18,0.368632,0.0630166,0.132288,0.247413,0.415374,0.639418,0.926045,1.28547,
19,0.391439,0.0770008,0.148383,0.266558,0.436104,0.660911,0.948058,1.30782,
20,0.414511,0.0913716,0.165215,0.286066,0.45716,0.682728,0.970337,1.33044,
21,0.437849,0.105891,0.182772,0.306119,0.478514,0.704834,0.992888,1.35333,
22,0.461458,0.12075,0.20093,0.326631,0.500158,0.727229,1.01575,1.37648,
23,0.485341,0.136085,0.219651,0.347434,0.522097,0.749924,1.03891,1.39992,
24,0.5095,0.152004,0.239165,0.368528,0.544366,0.772928,1.06235,1.42362,
25,0.533939,0.168968,0.258952,0.389989,0.567007,0.796243,1.08608,1.44759,
26,0.558661,0.186751,0.279114,0.411891,0.590022,0.819871,1.1101,1.47185,
27,0.58367,0.205151,0.300025,0.434252,0.613355,0.843813,1.13443,1.49642,
28,0.608968,0.224268,0.321476,0.457001,0.636967,0.868065,1.15906,1.52129,
29,0.634559,0.244115,0.343236,0.480085,0.660893,0.892621,1.18399,1.54647,
30,0.660447,0.264316,0.36533,0.503499,0.685186,0.917482,1.20923,1.57195,
31,0.686635,0.285168,0.387835,0.52726,0.709823,0.942654,1.23472,1.59774,
32,0.713126,0.306902,0.410835,0.551429,0.734806,0.968134,1.26051,1.62383,
33,0.739924,0.329096,0.434369,0.576046,0.760146,0.993932,1.28664,1.65021,
34,0.767033,0.351592,0.45835,0.601067,0.785837,1.02009,1.31314,1.67688,
35,0.794456,0.374514,0.482691,0.626419,0.811873,1.0466,1.33997,1.70386,
36,0.822196,0.397922,0.507402,0.652107,0.83826,1.07343,1.36711,1.7312,
37,0.850258,0.421907,0.532518,0.67818,0.865004,1.10061,1.39459,1.75887,
38,0.878644,0.446472,0.55812,0.704654,0.892104,1.12813,1.42239,1.78689,
39,0.90736,0.471468,0.584248,0.731529,0.919557,1.15599,1.45051,1.81524,
40,0.936408,0.496844,0.610808,0.758806,0.947362,1.18421,1.47897,1.84392,
41,0.965793,0.522665,0.637716,0.786469,0.975515,1.21277,1.5078,1.87295,
42,0.995519,0.549003,0.66501,0.814507,1.00404,1.24164,1.53699,1.90232,
43,1.02559,0.575917,0.692747,0.842934,1.03296,1.27086,1.56653,1.93204,
44,1.05601,0.603357,0.72094,0.871762,1.06227,1.30049,1.59643,1.9621,
45,1.08678,0.631206,0.749584,0.900989,1.09195,1.3305,1.62669,1.99251,
46,1.1179,0.659453,0.778652,0.930616,1.12202,1.36089,1.65728,2.02328,
47,1.14939,0.688172,0.808122,0.960627,1.15246,1.39164,1.68823,2.05443,
48,1.18124,0.717408,0.838008,0.991029,1.1833,1.42277,1.71956,2.08594,
49,1.21346,0.747143,0.868332,1.02186,1.21452,1.45427,1.75128,2.11784,
50,1.24606,0.77733,0.8991,1.05312,1.2461,1.48615,1.7834,2.15012,
51,1.27903,0.807942,0.930307,1.08479,1.27807,1.51845,1.81591,2.18278,
52,1.31239,0.839001,0.961935,1.11688,1.3105,1.55115,1.84881,2.21581,
53,1.34613,0.870536,0.993986,1.14938,1.34334,1.58426,1.8821,2.24922,
54,1.38026,0.902553,1.0265,1.18231,1.37658,1.61776,1.91579,2.28302,
55,1.41479,0.935046,1.05948,1.21566,1.41024,1.65164,1.94988,2.31721,
56,1.44971,0.967993,1.09291,1.24941,1.4443,1.68592,1.98437,2.35183,
57,1.48504,1.0014,1.12678,1.28359,1.47879,1.72063,2.01926,2.38687,
58,1.52078,1.03531,1.16109,1.31826,1.51372,1.75578,2.05458,2.42234,
59,1.55694,1.0697,1.19586,1.35335,1.5491,1.79136,2.09033,2.45822,
60,1.59351,1.10457,1.23108,1.38888,1.58491,1.82738,2.1265,2.49452,
61,1.63051,1.1399,1.26675,1.42487,1.62116,1.86383,2.16311,2.53125,
62,1.66794,1.17571,1.30291,1.46131,1.65783,1.90072,2.20015,2.5684,
63,1.7058,1.21201,1.33953,1.49821,1.69495,1.93806,2.23761,2.606,
64,1.7441,1.2488,1.37661,1.53559,1.73254,1.97583,2.27551,2.64404,
65,1.78284,1.28607,1.41419,1.57344,1.77059,2.01406,2.31385,2.68252,
66,1.82203,1.32386,1.45224,1.61176,1.80912,2.05275,2.35267,2.72144,
67,1.86167,1.36211,1.49079,1.65054,1.84811,2.0919,2.39196,2.76083,
68,1.90178,1.40087,1.52984,1.6898,1.88758,2.13153,2.43173,2.80069,
69,1.94235,1.44014,1.56939,1.72955,1.92753,2.17164,2.47196,2.84102,
70,1.98339,1.47992,1.60943,1.76979,1.96797,2.21222,2.51267,2.88182,
71,2.0249,1.52024,1.64997,1.81054,2.00888,2.25326,2.55386,2.92311,
72,2.0669,1.56108,1.69101,1.85179,2.05029,2.29479,2.59554,2.96488,
73,2.10938,1.60244,1.73257,1.89354,2.09221,2.33682,2.63771,3.00715,
74,2.15235,1.64432,1.77464,1.93581,2.13464,2.37937,2.68037,3.04989,
75,2.19582,1.68672,1.81724,1.9786,2.17758,2.42245,2.72353,3.09313,
76,2.2398,1.72966,1.86037,2.0219,2.22102,2.46603,2.7672,3.13687,
77,2.28428,1.77314,1.90405,2.06573,2.26497,2.51012,2.8114,3.18113,
78,2.32928,1.81716,1.94826,2.11009,2.30944,2.55474,2.85611,3.22591,
79,2.37481,1.86174,1.99302,2.155,2.35446,2.59989,2.90136,3.27122,
80,2.42085,1.90689,2.03832,2.20045,2.40003,2.64558,2.94714,3.31708,
81,2.46744,1.9526,2.08418,2.24643,2.44616,2.6918,2.99346,3.36347,
82,2.51456,1.99888,2.1306,2.29295,2.49283,2.73857,3.04031,3.41041,
83,2.56223,2.04571,2.17759,2.34004,2.54005,2.78589,3.08771,3.4579,
84,2.61045,2.09314,2.22514,2.38772,2.58784,2.83378,3.13566,3.50593,
85,2.65923,2.14115,2.27325,2.43598,2.63621,2.88223,3.18418,3.55452,
86,2.70857,2.18975,2.32194,2.48481,2.68514,2.93126,3.23327,3.60369,
87,2.75849,2.23892,2.37123,2.53422,2.73466,2.98087,3.28295,3.65344,
88,2.80898,2.28868,2.42114,2.58423,2.78476,3.03106,3.33321,3.70377,
89,2.86006,2.33905,2.47165,2.63485,2.83546,3.08183,3.38407,3.75468,
90,2.91173,2.39005,2.52276,2.68606,2.88676,3.13319,3.43553,3.80617,
91,2.964,2.44168,2.57449,2.73788,2.93868,3.18517,3.48758,3.85827,
92,3.01688,2.49394,2.62684,2.79032,2.99121,3.23776,3.54024,3.91098,
93,3.07036,2.54682,2.67982,2.84338,3.04435,3.29098,3.59351,3.96431,
94,3.12447,2.60035,2.73344,2.89708,3.09811,3.34483,3.64742,4.01827,
95,3.1792,2.65452,2.78768,2.95142,3.15251,3.39931,3.70197,4.07286,
96,3.23457,2.70934,2.84258,3.00641,3.20756,3.45443,3.75714,4.12809,
97,3.29058,2.76481,2.89813,3.06203,3.26326,3.51019,3.81295,4.18396,
98,3.34724,2.82093,2.95436,3.11832,3.31963,3.5666,3.86941,4.24049,
99,3.40456,2.87774,3.01126,3.17527,3.37665,3.62368,3.92655,4.29767,
100,3.46253,2.93525,3.06882,3.23291,3.43435,3.68144,3.98435,4.35551,
101,3.52119,2.99344,3.12707,3.29122,3.49272,3.73987,4.04284,4.41402,
102,3.58052,3.05232,3.18601,3.35023,3.55177,3.79898,4.102,4.47321,
103,3.64053,3.1119,3.24565,3.40994,3.61152,3.85878,4.16186,4.53308,
104,3.70125,3.17219,3.306,3.47034,3.67198,3.91929,4.22242,4.59364,
105,3.76266,3.23319,3.36707,3.53143,3.73315,3.98051,4.28368,4.65491,
106,3.82479,3.29492,3.42885,3.59326,3.79503,4.04245,4.34565,4.71692,
107,3.88764,3.35739,3.49135,3.65583,3.85764,4.10511,4.40834,4.77965,
108,3.95121,3.42059,3.55458,3.71913,3.92099,4.16851,4.47176,4.84312,
109,4.01552,3.48452,3.61857,3.78317,3.98509,4.23264,4.53591,4.90732,
110,4.08058,3.5492,3.68333,3.84797,4.04994,4.29753,4.6008,4.97227,
111,4.14639,3.61467,3.74885,3.91353,4.11554,4.36317,4.66646,5.03797,
112,4.21297,3.68092,3.81513,3.97987,4.18192,4.42956,4.7329,5.10444,
113,4.28031,3.74794,3.8822,4.04698,4.24907,4.49674,4.80011,5.17168,
114,4.34843,3.81575,3.95006,4.11488,4.31701,4.56468,4.86811,5.2397,
115,4.41735,3.88437,4.01872,4.18358,4.38573,4.63342,4.93691,5.30852,
116,4.48706,3.9538,4.08819,4.25308,4.45525,4.70298,5.0065,5.37813,
117,4.55758,4.02404,4.15847,4.32339,4.52559,4.77335,5.0769,5.44855,
118,4.62892,4.09512,4.22958,4.39452,4.59673,4.84455,5.14812,5.51979,
119,4.70108,4.16703,4.30152,4.46648,4.66872,4.91658,5.22017,5.59185,
120,4.77408,4.23979,4.37429,4.53928,4.74155,4.98944,5.29305,5.66474,
121,4.84793,4.31339,4.44791,4.61293,4.81524,5.06316,5.36678,5.73847,
122,4.92263,4.38784,4.5224,4.68744,4.88979,5.13773,5.44137,5.81308,
123,4.99819,4.46317,4.59776,4.76284,4.96521,5.21317,5.51683,5.88857,
124,5.07463,4.53939,4.674,4.83911,5.04151,5.28949,5.59316,5.96493,
125,5.15196,4.6165,4.75114,4.91627,5.1187,5.36668,5.67036,6.04218,
126,5.23019,4.69452,4.82918,4.99434,5.19678,5.44478,5.74847,6.12033,
127,5.30931,4.77345,4.90813,5.07332,5.27578,5.52379,5.8275,6.19938,
128,5.38936,4.8533,4.98801,5.15321,5.35568,5.60371,5.90746,6.27936,
129,5.47033,4.93409,5.06882,5.23404,5.43651,5.68456,5.98834,6.36026,
130,5.55225,5.01583,5.15058,5.31581,5.51829,5.76635,6.07017,6.4421,
131,5.63511,5.09852,5.23328,5.39851,5.60102,5.84911,6.15295,6.52488,
132,5.71893,5.18217,5.31694,5.48218,5.6847,5.93283,6.23668,6.60862,
133,5.80372,5.2668,5.40157,5.56683,5.76937,6.01752,6.3214,6.69334,
134,5.88949,5.3524,5.48719,5.65246,5.85503,6.1032,6.40709,6.77904,
