==========================================
SLURM_JOB_ID = 9964669
SLURM_SUBMIT_DIR = /home/bcheng4/Aiyagari
SLURM_JOB_NODELIST = mcn55
==========================================
main18_test
Program starts Sat Sep 24 21:54:13 CDT 2022
Policy Computation Start
iteration=1, critV=1.30331763
iteration=2, critV=1.07280605
iteration=3, critV=0.92298454
iteration=4, critV=0.81161514
iteration=5, critV=0.72148309
iteration=6, critV=0.64488800
iteration=7, critV=0.57808339
iteration=8, critV=0.51900674
iteration=9, critV=0.46638740
iteration=10, critV=0.41932310
iteration=11, critV=0.37712834
iteration=12, critV=0.33924889
iteration=13, critV=0.30521617
iteration=14, critV=0.27462387
iteration=15, critV=0.24711477
iteration=16, critV=0.22237225
iteration=17, critV=0.20011434
iteration=18, critV=0.18008909
iteration=19, critV=0.16207093
iteration=20, critV=0.14585765
iteration=21, critV=0.13126774
iteration=22, critV=0.11813819
iteration=23, critV=0.10632251
iteration=24, critV=0.09568901
iteration=25, critV=0.08611927
iteration=26, critV=0.07750678
iteration=27, critV=0.06975573
iteration=28, critV=0.06277990
iteration=29, critV=0.05650174
iteration=30, critV=0.05085146
iteration=31, critV=0.04576623
iteration=32, critV=0.04118956
iteration=33, critV=0.03707057
iteration=34, critV=0.03336349
iteration=35, critV=0.03002713
iteration=36, critV=0.02702440
iteration=37, critV=0.02432196
iteration=38, critV=0.02188976
iteration=39, critV=0.01970078
iteration=40, critV=0.01773070
iteration=41, critV=0.01595763
iteration=42, critV=0.01436186
iteration=43, critV=0.01292568
iteration=44, critV=0.01163311
iteration=45, critV=0.01046980
iteration=46, critV=0.00942282
iteration=47, critV=0.00848053
iteration=48, critV=0.00763248
iteration=49, critV=0.00686923
iteration=50, critV=0.00618231
iteration=51, critV=0.00556408
iteration=52, critV=0.00500767
iteration=53, critV=0.00450690
iteration=54, critV=0.00405621
iteration=55, critV=0.00365059
iteration=56, critV=0.00328553
iteration=57, critV=0.00295698
iteration=58, critV=0.00266128
iteration=59, critV=0.00239515
iteration=60, critV=0.00215564
iteration=61, critV=0.00194007
iteration=62, critV=0.00174607
iteration=63, critV=0.00157146
iteration=64, critV=0.00144794
iteration=65, critV=0.00132875
iteration=66, critV=0.00114559
iteration=67, critV=0.00122209
iteration=68, critV=0.00112500
iteration=69, critV=0.00112730
iteration=70, critV=0.00104031
iteration=71, critV=0.00092060
iteration=72, critV=0.00096513
iteration=73, critV=0.00089285
iteration=74, critV=0.00089838
iteration=75, critV=0.00086715
iteration=76, critV=0.00080486
iteration=77, critV=0.00077857
iteration=78, critV=0.00075391
iteration=79, critV=0.00070294
iteration=80, critV=0.00071037
iteration=81, critV=0.00066411
iteration=82, critV=0.00067138
iteration=83, critV=0.00055743
iteration=84, critV=0.00056643
iteration=85, critV=0.00062287
iteration=86, critV=0.00056298
iteration=87, critV=0.00050853
iteration=88, critV=0.00045843
iteration=89, critV=0.00030047
